date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,1,1,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,2,1,0,0,0,0
2020-03-22,2,0,0,0,0,0
2020-03-23,2,0,0,0,0,0
2020-03-24,2,0,0,0,0,0
2020-03-25,2,0,0,0,0,0
2020-03-26,2,0,0,0,0,0
2020-03-27,2,0,0,0,0,0
2020-03-28,2,0,0,0,0,0
2020-03-29,3,1,0,0,0,0
2020-03-30,5,2,0,0,0,0
2020-03-31,5,0,0,0,0,0
2020-04-01,5,0,0,0,1,1
2020-04-02,5,0,0,0,1,0
2020-04-03,6,1,0,0,1,0
2020-04-04,12,6,0,0,2,1
2020-04-05,12,0,0,0,2,0
2020-04-06,17,5,0,0,2,0
2020-04-07,17,0,0,0,2,0
2020-04-08,32,15,0,0,2,0
2020-04-09,32,0,0,0,3,1
2020-04-10,38,6,0,0,3,0
2020-04-11,55,17,0,0,4,1
2020-04-12,71,16,0,0,4,0
2020-04-13,89,18,0,0,4,0
2020-04-14,116,27,0,0,4,0
2020-04-15,116,0,0,0,4,0
2020-04-16,154,38,0,0,4,0
2020-04-17,184,30,0,0,4,0
2020-04-18,225,41,0,0,9,5
2020-04-19,267,42,0,0,9,0
2020-04-20,289,22,0,0,9,0
2020-04-21,316,27,0,0,9,0
2020-04-22,392,76,0,0,15,6
2020-04-23,429,37,0,0,32,17
2020-04-24,475,46,0,0,32,0
2020-04-25,539,64,0,0,38,6
2020-04-26,602,63,0,0,47,9
2020-04-27,687,85,3,3,47,0
2020-04-28,788,101,3,0,47,0
2020-04-29,840,52,3,0,47,0
2020-04-30,880,40,3,0,47,0
2020-05-01,923,43,5,2,64,17
2020-05-02,1021,98,5,0,64,0
2020-05-03,1076,55,5,0,86,22
2020-05-04,1137,61,5,0,88,2
2020-05-05,1226,89,5,0,89,1
2020-05-06,1310,84,5,0,89,0
2020-05-07,1396,86,5,0,106,17
2020-05-08,1475,79,5,0,153,47
2020-05-09,1560,85,5,0,198,45
2020-05-10,1648,88,5,0,215,17
2020-05-11,1744,96,5,0,224,9
2020-05-12,1842,98,7,2,239,15
2020-05-13,1939,97,7,0,294,55
2020-05-14,2028,89,7,0,317,23
2020-05-15,2123,95,7,0,352,35
2020-05-16,2214,91,7,0,393,41
2020-05-17,2300,86,7,0,396,3
2020-05-18,2394,94,7,0,398,2
2020-05-19,2485,91,7,0,422,24
2020-05-20,2577,92,7,0,452,30
2020-05-21,2673,96,7,0,481,29
2020-05-22,2767,94,7,0,504,23
2020-05-23,2865,98,7,0,548,44
2020-05-24,2953,88,7,0,566,18
2020-05-25,3040,87,7,0,638,72
2020-05-26,3125,85,7,0,702,64
2020-05-27,3206,81,7,0,789,87
2020-05-28,3283,77,7,0,848,59
2020-05-29,3358,75,7,0,894,46
2020-05-30,3432,74,7,0,945,51
2020-05-31,3508,76,7,0,956,11
2020-06-01,3581,73,7,0,973,17
2020-06-02,3653,72,9,2,1075,102
2020-06-03,3728,75,9,0,1169,94
2020-06-04,3801,73,10,1,1229,60
2020-06-05,3872,71,10,0,1330,101
2020-06-06,3940,68,10,0,1433,103
2020-06-07,4013,73,10,0,1448,15
2020-06-08,4088,75,10,0,1458,10
2020-06-09,4164,76,10,0,1611,153
2020-06-10,4228,64,10,0,1747,136
2020-06-11,4287,59,11,1,1875,128
2020-06-12,4345,58,11,0,2007,132
2020-06-13,4401,56,12,1,2025,18
2020-06-14,4458,57,12,0,2046,21
2020-06-15,4507,49,12,0,2091,45
2020-06-16,4557,50,12,0,2316,225
2020-06-17,4606,49,14,2,2453,137
2020-06-18,4656,50,14,0,2619,166
2020-06-19,4708,52,15,1,2802,183
2020-06-20,4759,51,16,1,2936,134
2020-06-21,4808,49,17,1,2951,15
2020-06-22,4855,47,17,0,2959,8
2020-06-23,4900,45,17,0,3147,188
2020-06-24,4943,43,17,0,3281,134
2020-06-25,4984,41,17,0,3294,13
2020-06-26,5027,43,18,1,3350,56
2020-06-27,5069,42,18,0,3395,45
2020-06-28,5113,44,19,1,3396,1
2020-06-29,5154,41,19,0,3398,2
2020-06-30,5197,43,19,0,3506,108
2020-07-01,5237,40,19,0,3648,142
2020-07-02,5277,40,19,0,3671,23
2020-07-03,5315,38,19,0,3772,101
2020-07-04,5354,39,20,1,3895,123
2020-07-05,5394,40,20,0,3915,20
2020-07-06,5433,39,21,1,3923,8
2020-07-07,5469,36,21,0,4026,103
2020-07-08,5507,38,21,0,4123,97
2020-07-09,5547,40,21,0,4218,95
2020-07-10,5585,38,21,0,4375,157
2020-07-11,5621,36,21,0,4510,135
2020-07-12,5656,35,21,0,4522,12
2020-07-13,5694,38,22,1,4528,6
2020-07-14,5731,37,22,0,4611,83
2020-07-15,5766,35,22,0,4735,124
2020-07-16,5804,38,22,0,4844,109
2020-07-17,5843,39,23,1,4946,102
2020-07-18,5883,40,23,0,5035,89
2020-07-19,5921,38,24,1,5040,5
2020-07-20,5957,36,24,0,5049,9
2020-07-21,5992,35,24,0,5170,121
2020-07-22,6024,32,26,2,5313,143
2020-07-23,6058,34,26,0,5472,159
2020-07-24,6094,36,27,1,5608,136
2020-07-25,6126,32,27,0,5769,161
2020-07-26,6155,29,27,0,5784,15
2020-07-27,6183,28,27,0,5788,4
2020-07-28,6213,30,28,1,5803,15
2020-07-29,6240,27,28,0,5820,17
2020-07-30,6266,26,29,1,5833,13
2020-07-31,6295,29,30,1,5846,13
2020-08-01,6323,28,30,0,5859,13
2020-08-02,6352,29,30,0,5864,5
2020-08-03,6382,30,30,0,5864,0
2020-08-04,6411,29,30,0,5882,18
2020-08-05,6437,26,31,1,5891,9
2020-08-06,6464,27,32,1,5907,16
2020-08-07,6489,25,32,0,5920,13
2020-08-08,6518,29,34,2,5933,13
2020-08-09,6546,28,34,0,5933,0
2020-08-10,6570,24,34,0,5933,0
2020-08-11,6597,27,34,0,5947,14
2020-08-12,6625,28,34,0,5960,13
2020-08-13,6655,30,36,2,5976,16
2020-08-14,6684,29,37,1,5994,18
2020-08-15,6715,31,37,0,6015,21
2020-08-16,6742,27,38,1,6015,0
2020-08-17,6772,30,38,0,6015,0
2020-08-18,6798,26,38,0,6033,18
2020-08-19,6827,29,39,1,6049,16
2020-08-20,6855,28,39,0,6075,26
2020-08-21,6880,25,40,1,6098,23
2020-08-22,6907,27,41,1,6123,25
2020-08-23,6937,30,41,0,6123,0
2020-08-24,6966,29,41,0,6123,0
2020-08-25,6993,27,42,1,6146,23
2020-08-26,7019,26,42,0,6167,21
2020-08-27,7047,28,43,1,6192,25
2020-08-28,7078,31,43,0,6219,27
2020-08-29,7105,27,44,1,6251,32
2020-08-30,7135,30,44,0,6251,0
2020-08-31,7161,26,44,0,6251,0
2020-09-01,7190,29,44,0,6278,27
2020-09-02,7217,27,44,0,6296,18
2020-09-03,7246,29,45,1,6312,16
2020-09-04,7278,32,46,1,6333,21
2020-09-05,7308,30,46,0,6351,18
2020-09-06,7341,33,46,0,6351,0
2020-09-07,7372,31,46,0,6351,0
2020-09-08,7402,30,46,0,6370,19
2020-09-09,7431,29,47,1,6391,21
2020-09-10,7459,28,47,0,6414,23
2020-09-11,7490,31,47,0,6437,23
2020-09-12,7523,33,47,0,6458,21
2020-09-13,7552,29,47,0,6458,0
2020-09-14,7584,32,47,0,6458,0
2020-09-15,7614,30,47,0,6483,25
2020-09-16,7647,33,47,0,6506,23
2020-09-17,7678,31,47,0,6527,21
2020-09-18,7712,34,47,0,6547,20
2020-09-19,7747,35,47,0,6565,18
2020-09-20,7781,34,47,0,6565,0
2020-09-21,7816,35,47,0,6565,0
2020-09-22,7852,36,49,2,6589,24
2020-09-23,7891,39,49,0,6614,25
2020-09-24,7931,40,49,0,6638,24
2020-09-25,7973,42,49,0,6660,22
2020-09-26,8013,40,50,1,6681,21
2020-09-27,8052,39,50,0,6681,0
2020-09-28,8093,41,50,0,6681,0
2020-09-29,8133,40,50,0,6702,21
2020-09-30,8176,43,50,0,6722,20
2020-10-01,8221,45,51,1,6743,21
2020-10-02,8270,49,51,0,6765,22
2020-10-03,8319,49,52,1,6788,23
2020-10-04,8371,52,52,0,6792,4
2020-10-05,8422,51,52,0,6797,5
2020-10-06,8476,54,52,0,6819,22
2020-10-07,8531,55,52,0,6842,23
2020-10-08,8589,58,53,1,6864,22
2020-10-09,8654,65,53,0,6887,23
2020-10-10,8728,74,54,1,6910,23
2020-10-11,8811,83,54,0,6915,5
2020-10-12,8899,88,54,0,6921,6
2020-10-13,8990,91,54,0,6946,25
2020-10-14,9080,90,54,0,6969,23
