date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,1,1,0,0,0,0
2020-03-18,1,0,0,0,0,0
2020-03-19,1,0,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,6,5,0,0,0,0
2020-03-22,6,0,0,0,0,0
2020-03-23,6,0,0,0,0,0
2020-03-24,7,1,0,0,0,0
2020-03-25,7,0,0,0,0,0
2020-03-26,10,3,0,0,0,0
2020-03-27,11,1,0,0,0,0
2020-03-28,14,3,0,0,1,1
2020-03-29,14,0,0,0,1,0
2020-03-30,14,0,0,0,1,0
2020-03-31,19,5,0,0,1,0
2020-04-01,19,0,0,0,2,1
2020-04-02,19,0,0,0,2,0
2020-04-03,25,6,0,0,6,4
2020-04-04,25,0,0,0,6,0
2020-04-05,25,0,0,0,6,0
2020-04-06,41,16,0,0,6,0
2020-04-07,41,0,0,0,8,2
2020-04-08,41,0,0,0,10,2
2020-04-09,50,9,0,0,10,0
2020-04-10,50,0,0,0,11,1
2020-04-11,73,23,0,0,11,0
2020-04-12,73,0,0,0,14,3
2020-04-13,84,11,0,0,14,0
2020-04-14,107,23,0,0,14,0
2020-04-15,107,0,0,0,14,0
2020-04-16,128,21,0,0,14,0
2020-04-17,144,16,0,0,18,4
2020-04-18,160,16,0,0,25,7
2020-04-19,191,31,0,0,25,0
2020-04-20,230,39,0,0,25,0
2020-04-21,280,50,0,0,30,5
2020-04-22,355,75,0,0,33,3
2020-04-23,412,57,0,0,33,0
2020-04-24,426,14,0,0,37,4
2020-04-25,491,65,0,0,48,11
2020-04-26,562,71,0,0,51,3
2020-04-27,632,70,0,0,54,3
2020-04-28,697,65,0,0,72,18
2020-04-29,752,55,1,1,78,6
2020-04-30,823,71,1,0,83,5
2020-05-01,894,71,1,0,88,5
2020-05-02,960,66,2,1,100,12
2020-05-03,1031,71,2,0,115,15
2020-05-04,1117,86,3,1,130,15
2020-05-05,1208,91,3,0,149,19
2020-05-06,1310,102,3,0,168,19
2020-05-07,1415,105,4,1,184,16
2020-05-08,1498,83,4,0,228,44
2020-05-09,1586,88,5,1,340,112
2020-05-10,1671,85,5,0,360,20
2020-05-11,1761,90,5,0,460,100
2020-05-12,1832,71,6,1,640,180
2020-05-13,1919,87,6,0,740,100
2020-05-14,1980,61,6,0,890,150
2020-05-15,2064,84,6,0,1006,116
2020-05-16,2148,84,7,1,1108,102
2020-05-17,2232,84,7,0,1173,65
2020-05-18,2312,80,7,0,1195,22
2020-05-19,2400,88,8,1,1301,106
2020-05-20,2475,75,8,0,1452,151
2020-05-21,2546,71,8,0,1452,0
2020-05-22,2621,75,8,0,1698,246
2020-05-23,2697,76,9,1,1825,127
2020-05-24,2787,90,9,0,1907,82
2020-05-25,2849,62,9,0,1959,52
2020-05-26,2912,63,9,0,2092,133
2020-05-27,2966,54,9,0,2226,134
2020-05-28,3026,60,10,1,2350,124
2020-05-29,3079,53,10,0,2482,132
2020-05-30,3142,63,10,0,2585,103
2020-05-31,3194,52,10,0,2616,31
2020-06-01,3244,50,10,0,2690,74
2020-06-02,3297,53,10,0,2814,124
2020-06-03,3351,54,10,0,2991,177
2020-06-04,3402,51,10,0,3130,139
2020-06-05,3452,50,10,0,3235,105
2020-06-06,3504,52,10,0,3450,215
2020-06-07,3558,54,10,0,3477,27
2020-06-08,3611,53,10,0,3543,66
2020-06-09,3665,54,10,0,3563,20
2020-06-10,3720,55,10,0,3586,23
2020-06-11,3774,54,10,0,3607,21
2020-06-12,3823,49,10,0,3611,4
2020-06-13,3868,45,10,0,3614,3
2020-06-14,3914,46,10,0,3617,3
2020-06-15,3958,44,10,0,3621,4
2020-06-16,4001,43,10,0,3624,3
2020-06-17,4040,39,10,0,3628,4
2020-06-18,4078,38,10,0,3632,4
2020-06-19,4114,36,11,1,3635,3
2020-06-20,4152,38,11,0,3640,5
2020-06-21,4192,40,11,0,3645,5
2020-06-22,4231,39,11,0,3647,2
2020-06-23,4271,40,11,0,3652,5
2020-06-24,4310,39,11,0,3656,4
2020-06-25,4350,40,11,0,3661,5
2020-06-26,4390,40,11,0,3684,23
2020-06-27,4431,41,11,0,3690,6
2020-06-28,4472,41,11,0,3693,3
2020-06-29,4514,42,11,0,3695,2
2020-06-30,4555,41,11,0,3703,8
2020-07-01,4595,40,12,1,3710,7
2020-07-02,4634,39,12,0,3720,10
2020-07-03,4673,39,13,1,3743,23
2020-07-04,4711,38,13,0,3758,15
2020-07-05,4749,38,13,0,3764,6
2020-07-06,4787,38,13,0,3772,8
2020-07-07,4823,36,14,1,3786,14
2020-07-08,4858,35,14,0,3798,12
2020-07-09,4893,35,15,1,3808,10
2020-07-10,4929,36,15,0,3833,25
2020-07-11,4964,35,15,0,3912,79
2020-07-12,4997,33,15,0,3916,4
2020-07-13,5029,32,15,0,3916,0
2020-07-14,5061,32,16,1,3948,32
2020-07-15,5093,32,16,0,3979,31
2020-07-16,5126,33,17,1,4041,62
2020-07-17,5157,31,18,1,4073,32
2020-07-18,5186,29,19,1,4135,62
2020-07-19,5215,29,19,0,4140,5
2020-07-20,5248,33,19,0,4157,17
2020-07-21,5278,30,21,2,4205,48
2020-07-22,5309,31,21,0,4255,50
2020-07-23,5341,32,21,0,4327,72
2020-07-24,5372,31,21,0,4368,41
2020-07-25,5404,32,21,0,4410,42
2020-07-26,5436,32,21,0,4410,0
2020-07-27,5469,33,22,1,4412,2
2020-07-28,5501,32,22,0,4436,24
2020-07-29,5534,33,22,0,4472,36
2020-07-30,5569,35,22,0,4499,27
2020-07-31,5602,33,22,0,4559,60
2020-08-01,5633,31,22,0,4561,2
2020-08-02,5664,31,22,0,4565,4
2020-08-03,5694,30,23,1,4568,3
2020-08-04,5723,29,24,1,4597,29
2020-08-05,5751,28,25,1,4621,24
2020-08-06,5781,30,27,2,4671,50
2020-08-07,5810,29,27,0,4709,38
2020-08-08,5841,31,27,0,4743,34
2020-08-09,5872,31,27,0,4750,7
2020-08-10,5902,30,27,0,4750,0
2020-08-11,5930,28,27,0,4778,28
2020-08-12,5959,29,28,1,4820,42
2020-08-13,5988,29,28,0,4856,36
2020-08-14,6018,30,28,0,4887,31
2020-08-15,6046,28,29,1,4950,63
2020-08-16,6075,29,29,0,4954,4
2020-08-17,6103,28,29,0,4958,4
2020-08-18,6133,30,29,0,4983,25
2020-08-19,6161,28,31,2,5013,30
2020-08-20,6191,30,31,0,5062,49
2020-08-21,6220,29,31,0,5084,22
2020-08-22,6250,30,32,1,5128,44
2020-08-23,6279,29,32,0,5128,0
2020-08-24,6308,29,32,0,5128,0
2020-08-25,6338,30,32,0,5164,36
2020-08-26,6367,29,32,0,5207,43
2020-08-27,6396,29,32,0,5235,28
2020-08-28,6424,28,33,1,5258,23
2020-08-29,6453,29,34,1,5297,39
2020-08-30,6481,28,34,0,5297,0
2020-08-31,6509,28,34,0,5297,0
2020-09-01,6536,27,34,0,5356,59
2020-09-02,6563,27,34,0,5393,37
2020-09-03,6591,28,35,1,5443,50
2020-09-04,6618,27,35,0,5489,46
2020-09-05,6644,26,35,0,5512,23
2020-09-06,6669,25,35,0,5512,0
2020-09-07,6694,25,35,0,5512,0
2020-09-08,6718,24,35,0,5547,35
2020-09-09,6740,22,35,0,5568,21
2020-09-10,6761,21,36,1,5592,24
2020-09-11,6787,26,36,0,5602,10
2020-09-12,6812,25,37,1,5634,32
2020-09-13,6835,23,38,1,5636,2
2020-09-14,6858,23,38,0,5644,8
2020-09-15,6880,22,41,3,5662,18
2020-09-16,6900,20,44,3,5702,40
2020-09-17,6923,23,44,0,5742,40
2020-09-18,6949,26,45,1,5775,33
2020-09-19,6974,25,45,0,5898,123
2020-09-20,6997,23,46,1,5902,4
2020-09-21,7021,24,46,0,5905,3
2020-09-22,7044,23,46,0,5923,18
2020-09-23,7065,21,46,0,5959,36
2020-09-24,7087,22,47,1,5999,40
2020-09-25,7112,25,47,0,6005,6
2020-09-26,7135,23,48,1,6036,31
2020-09-27,7160,25,48,0,6048,12
2020-09-28,7183,23,48,0,6054,6
2020-09-29,7205,22,48,0,6065,11
2020-09-30,7230,25,48,0,6092,27
2020-10-01,7256,26,50,2,6113,21
2020-10-02,7284,28,50,0,6152,39
2020-10-03,7311,27,51,1,6240,88
2020-10-04,7337,26,51,0,6266,26
2020-10-05,7364,27,51,0,6270,4
2020-10-06,7389,25,51,0,6298,28
2020-10-07,7417,28,55,4,6318,20
2020-10-08,7448,31,55,0,6341,23
2020-10-09,7480,32,57,2,6362,21
2020-10-10,7515,35,59,2,6369,7
2020-10-11,7549,34,61,2,6374,5
2020-10-12,7584,35,64,3,6381,7
2020-10-13,7618,34,70,6,6421,40
2020-10-14,7654,36,75,5,6484,63
