date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,2,2,0,0,0,0
2020-03-15,2,0,0,0,0,0
2020-03-16,2,0,0,0,0,0
2020-03-17,2,0,0,0,0,0
2020-03-18,2,0,0,0,0,0
2020-03-19,2,0,0,0,0,0
2020-03-20,2,0,0,0,0,0
2020-03-21,2,0,0,0,0,0
2020-03-22,2,0,0,0,0,0
2020-03-23,2,0,0,0,0,0
2020-03-24,2,0,0,0,1,1
2020-03-25,2,0,0,0,1,0
2020-03-26,3,1,0,0,1,0
2020-03-27,3,0,0,0,1,0
2020-03-28,3,0,0,0,1,0
2020-03-29,3,0,0,0,2,1
2020-03-30,3,0,0,0,2,0
2020-03-31,3,0,0,0,2,0
2020-04-01,3,0,0,0,2,0
2020-04-02,3,0,0,0,2,0
2020-04-03,3,0,0,0,2,0
2020-04-04,3,0,0,0,2,0
2020-04-05,3,0,0,0,2,0
2020-04-06,5,2,0,0,2,0
2020-04-07,5,0,0,0,2,0
2020-04-08,7,2,0,0,2,0
2020-04-09,7,0,0,0,3,1
2020-04-10,11,4,0,0,3,0
2020-04-11,12,1,0,0,3,0
2020-04-12,12,0,0,0,3,0
2020-04-13,14,2,0,0,3,0
2020-04-14,14,0,0,0,3,0
2020-04-15,15,1,0,0,4,1
2020-04-16,18,3,0,0,5,1
2020-04-17,22,4,0,0,5,0
2020-04-18,26,4,1,1,6,1
2020-04-19,35,9,1,0,6,0
2020-04-20,41,6,1,0,6,0
2020-04-21,47,6,1,0,11,5
2020-04-22,56,9,1,0,11,0
2020-04-23,67,11,1,0,11,0
2020-04-24,76,9,1,0,11,0
2020-04-25,82,6,1,0,11,0
2020-04-26,103,21,1,0,11,0
2020-04-27,107,4,1,0,12,1
2020-04-28,111,4,2,1,12,0
2020-04-29,114,3,2,0,12,0
2020-04-30,126,12,2,0,18,6
2020-05-01,128,2,2,0,19,1
2020-05-02,142,14,2,0,19,0
2020-05-03,153,11,2,0,22,3
2020-05-04,166,13,4,2,22,0
2020-05-05,166,0,4,0,25,3
2020-05-06,180,14,4,0,26,1
2020-05-07,198,18,4,0,28,2
2020-05-08,204,6,5,1,50,22
2020-05-09,214,10,6,1,61,11
2020-05-10,233,19,6,0,72,11
2020-05-11,251,18,7,1,79,7
2020-05-12,260,9,7,0,80,1
2020-05-13,269,9,7,0,86,6
2020-05-14,282,13,7,0,92,6
2020-05-15,296,14,7,0,99,7
2020-05-16,307,11,7,0,106,7
2020-05-17,321,14,7,0,116,10
2020-05-18,328,7,7,0,118,2
2020-05-19,333,5,7,0,118,0
2020-05-20,342,9,7,0,126,8
2020-05-21,365,23,7,0,127,1
2020-05-22,377,12,7,0,128,1
2020-05-23,391,14,7,0,142,14
2020-05-24,406,15,7,0,148,6
2020-05-25,418,12,7,0,148,0
2020-05-26,431,13,7,0,162,14
2020-05-27,444,13,7,0,170,8
2020-05-28,462,18,7,0,189,19
2020-05-29,482,20,7,0,198,9
2020-05-30,495,13,7,0,228,30
2020-05-31,520,25,7,0,240,12
2020-06-01,545,25,7,0,240,0
2020-06-02,589,44,7,0,259,19
2020-06-03,616,27,7,0,261,2
2020-06-04,638,22,7,0,261,0
2020-06-05,666,28,7,0,270,9
2020-06-06,685,19,7,0,298,28
2020-06-07,721,36,7,0,316,18
2020-06-08,752,31,7,0,322,6
2020-06-09,786,34,7,0,332,10
2020-06-10,834,48,7,0,339,7
2020-06-11,868,34,7,0,351,12
2020-06-12,929,61,7,0,373,22
2020-06-13,997,68,7,0,397,24
2020-06-14,1019,22,7,0,412,15
2020-06-15,1042,23,7,0,424,12
2020-06-16,1062,20,7,0,437,13
2020-06-17,1079,17,7,0,442,5
2020-06-18,1099,20,7,0,466,24
2020-06-19,1157,58,7,0,470,4
2020-06-20,1218,61,7,0,510,40
2020-06-21,1277,59,7,0,532,22
2020-06-22,1352,75,8,1,533,1
2020-06-23,1396,44,8,0,583,50
2020-06-24,1424,28,8,0,622,39
2020-06-25,1454,30,9,1,651,29
2020-06-26,1488,34,9,0,683,32
2020-06-27,1532,44,9,0,701,18
2020-06-28,1579,47,9,0,713,12
2020-06-29,1622,43,9,0,713,0
2020-06-30,1662,40,9,0,734,21
2020-07-01,1703,41,9,0,768,34
2020-07-02,1744,41,9,0,788,20
2020-07-03,1806,62,9,0,815,27
2020-07-04,1873,67,10,1,852,37
2020-07-05,1944,71,10,0,884,32
2020-07-06,2018,74,10,0,936,52
2020-07-07,2085,67,10,0,957,21
2020-07-08,2134,49,10,0,993,36
2020-07-09,2203,69,11,1,1027,34
2020-07-10,2280,77,11,0,1066,39
2020-07-11,2354,74,12,1,1111,45
2020-07-12,2406,52,13,1,1136,25
2020-07-13,2457,51,13,0,1200,64
2020-07-14,2507,50,14,1,1260,60
2020-07-15,2553,46,14,0,1326,66
2020-07-16,2602,49,14,0,1373,47
2020-07-17,2650,48,15,1,1439,66
2020-07-18,2695,45,15,0,1501,62
2020-07-19,2740,45,15,0,1524,23
2020-07-20,2796,56,15,0,1561,37
2020-07-21,2857,61,15,0,1606,45
2020-07-22,2919,62,15,0,1669,63
2020-07-23,2983,64,15,0,1751,82
2020-07-24,3050,67,15,0,1832,81
2020-07-25,3118,68,16,1,1953,121
2020-07-26,3193,75,16,0,1970,17
2020-07-27,3260,67,16,0,2017,47
2020-07-28,3329,69,16,0,2131,114
2020-07-29,3408,79,18,2,2206,75
2020-07-30,3481,73,18,0,2328,122
2020-07-31,3555,74,18,0,2438,110
2020-08-01,3627,72,18,0,2512,74
2020-08-02,3702,75,18,0,2577,65
2020-08-03,3781,79,18,0,2622,45
2020-08-04,3871,90,18,0,2720,98
2020-08-05,3965,94,18,0,2795,75
2020-08-06,4062,97,18,0,2888,93
2020-08-07,4158,96,18,0,2957,69
2020-08-08,4244,86,19,1,3033,76
2020-08-09,4341,97,19,0,3038,5
2020-08-10,4435,94,19,0,3117,79
2020-08-11,4544,109,19,0,3200,83
2020-08-12,4638,94,19,0,3258,58
2020-08-13,4736,98,19,0,3355,97
2020-08-14,4830,94,19,0,3420,65
2020-08-15,4926,96,19,0,3489,69
2020-08-16,5025,99,19,0,3489,0
2020-08-17,5119,94,19,0,3516,27
2020-08-18,5215,96,20,1,3612,96
2020-08-19,5306,91,21,1,3723,111
2020-08-20,5398,92,21,0,3789,66
2020-08-21,5491,93,21,0,3888,99
2020-08-22,5582,91,21,0,3939,51
2020-08-23,5677,95,21,0,3962,23
2020-08-24,5769,92,21,0,4019,57
2020-08-25,5867,98,26,5,4079,60
2020-08-26,5962,95,30,4,4178,99
2020-08-27,6060,98,35,5,4245,67
2020-08-28,6156,96,41,6,4335,90
2020-08-29,6249,93,44,3,4373,38
2020-08-30,6345,96,44,0,4374,1
2020-08-31,6437,92,44,0,4396,22
2020-09-01,6527,90,45,1,4506,110
2020-09-02,6615,88,45,0,4657,151
2020-09-03,6701,86,45,0,4824,167
2020-09-04,6791,90,47,2,4975,151
2020-09-05,6880,89,48,1,5099,124
2020-09-06,6965,85,48,0,5099,0
2020-09-07,7048,83,48,0,5120,21
2020-09-08,7133,85,49,1,5323,203
2020-09-09,7217,84,49,0,5407,84
2020-09-10,7304,87,49,0,5501,94
2020-09-11,7399,95,49,0,5577,76
2020-09-12,7492,93,50,1,5661,84
2020-09-13,7589,97,50,0,5666,5
2020-09-14,7694,105,50,0,5762,96
2020-09-15,7809,115,55,5,5923,161
2020-09-16,7935,126,55,0,5989,66
2020-09-17,8060,125,56,1,6121,132
2020-09-18,8188,128,67,11,6198,77
2020-09-19,8323,135,67,0,6281,83
2020-09-20,8450,127,67,0,6330,49
2020-09-21,8580,130,67,0,6384,54
2020-09-22,8704,124,68,1,6560,176
2020-09-23,8829,125,75,7,6623,63
2020-09-24,8965,136,87,12,6789,166
2020-09-25,9103,138,87,0,6835,46
2020-09-26,9242,139,88,1,6911,76
2020-09-27,9383,141,91,3,6924,13
2020-09-28,9533,150,92,1,6997,73
2020-09-29,9686,153,95,3,7081,84
2020-09-30,9842,156,103,8,7236,155
2020-10-01,10004,162,106,3,7359,123
2020-10-02,10171,167,110,4,7442,83
2020-10-03,10339,168,110,0,7503,61
2020-10-04,10508,169,110,0,7526,23
2020-10-05,10681,173,113,3,7612,86
2020-10-06,10856,175,118,5,7784,172
2020-10-07,11025,169,123,5,7887,103
2020-10-08,11193,168,126,3,7971,84
2020-10-09,11361,168,133,7,8085,114
2020-10-10,11530,169,133,0,8148,63
2020-10-11,11700,170,137,4,8168,20
2020-10-12,11878,178,143,6,8190,22
2020-10-13,12057,179,146,3,8321,131
2020-10-14,12233,176,151,5,8508,187
