date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,1,1,0,0,0,0
2020-03-20,7,6,0,0,0,0
2020-03-21,7,0,0,0,0,0
2020-03-22,7,0,0,0,0,0
2020-03-23,7,0,0,0,0,0
2020-03-24,7,0,0,0,0,0
2020-03-25,10,3,0,0,0,0
2020-03-26,14,4,0,0,0,0
2020-03-27,14,0,0,0,0,0
2020-03-28,14,0,0,0,0,0
2020-03-29,15,1,0,0,0,0
2020-03-30,15,0,0,0,0,0
2020-03-31,15,0,0,0,0,0
2020-04-01,15,0,0,0,1,1
2020-04-02,15,0,0,0,4,3
2020-04-03,15,0,0,0,4,0
2020-04-04,15,0,0,0,4,0
2020-04-05,15,0,0,0,4,0
2020-04-06,15,0,0,0,4,0
2020-04-07,15,0,0,0,7,3
2020-04-08,16,1,0,0,7,0
2020-04-09,16,0,0,0,8,1
2020-04-10,16,0,0,0,10,2
2020-04-11,19,3,0,0,13,3
2020-04-12,22,3,0,0,13,0
2020-04-13,25,3,0,0,13,0
2020-04-14,26,1,0,0,13,0
2020-04-15,33,7,0,0,15,2
2020-04-16,35,2,0,0,15,0
2020-04-17,38,3,0,0,15,0
2020-04-18,47,9,0,0,16,1
2020-04-19,88,41,0,0,16,0
2020-04-20,107,19,0,0,16,0
2020-04-21,111,4,0,0,16,0
2020-04-22,116,5,0,0,16,0
2020-04-23,128,12,0,0,17,1
2020-04-24,137,9,0,0,17,0
2020-04-25,141,4,0,0,18,1
2020-04-26,152,11,0,0,18,0
2020-04-27,159,7,1,1,18,0
2020-04-28,166,7,1,0,18,0
2020-04-29,183,17,2,1,25,7
2020-04-30,207,24,3,1,27,2
2020-05-01,229,22,3,0,29,2
2020-05-02,263,34,3,0,35,6
2020-05-03,282,19,4,1,39,4
2020-05-04,311,29,4,0,43,4
2020-05-05,331,20,4,0,44,1
2020-05-06,348,17,4,0,46,2
2020-05-07,385,37,4,0,66,20
2020-05-08,437,52,4,0,66,0
2020-05-09,477,40,4,0,83,17
2020-05-10,510,33,4,0,106,23
2020-05-11,551,41,4,0,120,14
2020-05-12,606,55,4,0,139,19
2020-05-13,652,46,4,0,189,50
2020-05-14,687,35,4,0,211,22
2020-05-15,722,35,4,0,246,35
2020-05-16,785,63,4,0,278,32
2020-05-17,828,43,4,0,313,35
2020-05-18,869,41,4,0,320,7
2020-05-19,914,45,4,0,355,35
2020-05-20,960,46,5,1,372,17
2020-05-21,997,37,6,1,449,77
2020-05-22,1077,80,6,0,496,47
2020-05-23,1177,100,6,0,541,45
2020-05-24,1276,99,7,1,577,36
2020-05-25,1357,81,7,0,587,10
2020-05-26,1445,88,7,0,633,46
2020-05-27,1529,84,7,0,658,25
2020-05-28,1623,94,7,0,704,46
2020-05-29,1705,82,8,1,770,66
2020-05-30,1819,114,8,0,824,54
2020-05-31,1930,111,8,0,857,33
2020-06-01,2042,112,8,0,903,46
2020-06-02,2116,74,8,0,943,40
2020-06-03,2214,98,9,1,1015,72
2020-06-04,2308,94,11,2,1071,56
2020-06-05,2380,72,14,3,1177,106
2020-06-06,2453,73,15,1,1242,65
2020-06-07,2531,78,15,0,1311,69
2020-06-08,2611,80,15,0,1343,32
2020-06-09,2686,75,15,0,1428,85
2020-06-10,2753,67,19,4,1560,132
2020-06-11,2822,69,20,1,1634,74
2020-06-12,2898,76,20,0,1751,117
2020-06-13,2968,70,20,0,1826,75
2020-06-14,3037,69,20,0,1862,36
2020-06-15,3122,85,23,3,1899,37
2020-06-16,3199,77,23,0,2028,129
2020-06-17,3290,91,23,0,2148,120
2020-06-18,3389,99,23,0,2252,104
2020-06-19,3486,97,23,0,2328,76
2020-06-20,3570,84,23,0,2416,88
2020-06-21,3657,87,23,0,2452,36
2020-06-22,3742,85,24,1,2526,74
2020-06-23,3817,75,24,0,2587,61
2020-06-24,3891,74,24,0,2689,102
2020-06-25,3963,72,25,1,2757,68
2020-06-26,4013,50,27,2,2802,45
2020-06-27,4075,62,28,1,2844,42
2020-06-28,4128,53,28,0,2861,17
2020-06-29,4178,50,29,1,2866,5
2020-06-30,4223,45,30,1,2961,95
2020-07-01,4267,44,32,2,3033,72
2020-07-02,4315,48,32,0,3084,51
2020-07-03,4365,50,32,0,3247,163
2020-07-04,4422,57,32,0,3333,86
2020-07-05,4467,45,32,0,3393,60
2020-07-06,4504,37,32,0,3473,80
2020-07-07,4550,46,34,2,3626,153
2020-07-08,4598,48,34,0,3730,104
2020-07-09,4656,58,34,0,3883,153
2020-07-10,4710,54,35,1,3999,116
2020-07-11,4757,47,35,0,4069,70
2020-07-12,4799,42,35,0,4115,46
2020-07-13,4844,45,35,0,4205,90
2020-07-14,4904,60,35,0,4320,115
2020-07-15,4976,72,37,2,4428,108
2020-07-16,5034,58,38,1,4525,97
2020-07-17,5089,55,39,1,4623,98
2020-07-18,5142,53,39,0,4702,79
2020-07-19,5193,51,40,1,4735,33
2020-07-20,5239,46,40,0,4779,44
2020-07-21,5283,44,40,0,4884,105
2020-07-22,5324,41,40,0,4964,80
2020-07-23,5375,51,44,4,5022,58
2020-07-24,5424,49,47,3,5105,83
2020-07-25,5474,50,48,1,5172,67
2020-07-26,5521,47,50,2,5232,60
2020-07-27,5565,44,50,0,5253,21
2020-07-28,5614,49,50,0,5276,23
2020-07-29,5671,57,54,4,5294,18
2020-07-30,5727,56,57,3,5317,23
2020-07-31,5787,60,58,1,5348,31
2020-08-01,5845,58,58,0,5381,33
2020-08-02,5899,54,59,1,5389,8
2020-08-03,5950,51,59,0,5392,3
2020-08-04,6003,53,60,1,5413,21
2020-08-05,6058,55,60,0,5424,11
2020-08-06,6116,58,61,1,5438,14
2020-08-07,6172,56,62,1,5461,23
2020-08-08,6229,57,63,1,5479,18
2020-08-09,6294,65,63,0,5502,23
2020-08-10,6358,64,63,0,5518,16
2020-08-11,6413,55,64,1,5544,26
2020-08-12,6469,56,66,2,5567,23
2020-08-13,6531,62,66,0,5596,29
2020-08-14,6596,65,66,0,5622,26
2020-08-15,6651,55,66,0,5645,23
2020-08-16,6703,52,66,0,5657,12
2020-08-17,6752,49,66,0,5663,6
2020-08-18,6799,47,68,2,5679,16
2020-08-19,6847,48,69,1,5705,26
2020-08-20,6893,46,69,0,5726,21
2020-08-21,6938,45,69,0,5744,18
2020-08-22,6985,47,74,5,5766,22
2020-08-23,7031,46,74,0,5781,15
2020-08-24,7075,44,74,0,5788,7
2020-08-25,7120,45,79,5,5816,28
2020-08-26,7166,46,79,0,5839,23
2020-08-27,7210,44,79,0,5870,31
2020-08-28,7253,43,81,2,5908,38
2020-08-29,7295,42,81,0,5939,31
2020-08-30,7338,43,81,0,5951,12
2020-08-31,7379,41,83,2,5955,4
2020-09-01,7425,46,83,0,5987,32
2020-09-02,7473,48,83,0,6008,21
2020-09-03,7520,47,89,6,6046,38
2020-09-04,7572,52,90,1,6087,41
2020-09-05,7622,50,90,0,6126,39
2020-09-06,7681,59,90,0,6155,29
2020-09-07,7739,58,90,0,6163,8
2020-09-08,7797,58,90,0,6204,41
2020-09-09,7860,63,90,0,6249,45
2020-09-10,7925,65,90,0,6296,47
2020-09-11,7992,67,90,0,6341,45
2020-09-12,8061,69,90,0,6384,43
2020-09-13,8129,68,90,0,6404,20
2020-09-14,8198,69,90,0,6418,14
2020-09-15,8263,65,90,0,6458,40
2020-09-16,8331,68,90,0,6503,45
2020-09-17,8400,69,90,0,6549,46
2020-09-18,8467,67,90,0,6592,43
2020-09-19,8536,69,93,3,6632,40
2020-09-20,8604,68,93,0,6646,14
2020-09-21,8671,67,93,0,6658,12
2020-09-22,8737,66,93,0,6702,44
2020-09-23,8807,70,95,2,6748,46
2020-09-24,8882,75,95,0,6791,43
2020-09-25,8961,79,95,0,6832,41
2020-09-26,9044,83,95,0,6872,40
2020-09-27,9128,84,95,0,6875,3
2020-09-28,9215,87,95,0,6899,24
2020-09-29,9295,80,95,0,6957,58
2020-09-30,9380,85,95,0,7005,48
2020-10-01,9467,87,96,1,7052,47
2020-10-02,9557,90,97,1,7101,49
2020-10-03,9650,93,97,0,7151,50
2020-10-04,9745,95,97,0,7153,2
2020-10-05,9839,94,97,0,7178,25
2020-10-06,9936,97,99,2,7226,48
2020-10-07,10036,100,103,4,7276,50
2020-10-08,10142,106,105,2,7328,52
2020-10-09,10249,107,105,0,7381,53
2020-10-10,10359,110,105,0,7433,52
2020-10-11,10487,128,105,0,7436,3
2020-10-12,10607,120,105,0,7461,25
2020-10-13,10729,122,106,1,7514,53
2020-10-14,10856,127,106,0,7564,50
