date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,1,1,0,0,0,0
2020-03-17,1,0,0,0,0,0
2020-03-18,1,0,0,0,0,0
2020-03-19,1,0,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,1,0,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,3,2,0,0,0,0
2020-03-26,3,0,0,0,0,0
2020-03-27,3,0,0,0,0,0
2020-03-28,3,0,0,0,0,0
2020-03-29,7,4,0,0,0,0
2020-03-30,22,15,0,0,0,0
2020-03-31,22,0,0,0,0,0
2020-04-01,54,32,0,0,0,0
2020-04-02,56,2,0,0,1,1
2020-04-03,56,0,2,2,1,0
2020-04-04,59,3,2,0,1,0
2020-04-05,59,0,2,0,1,0
2020-04-06,90,31,3,1,1,0
2020-04-07,101,11,3,0,1,0
2020-04-08,119,18,3,0,1,0
2020-04-09,150,31,3,0,1,0
2020-04-10,208,58,3,0,1,0
2020-04-11,208,0,3,0,1,0
2020-04-12,208,0,3,0,1,0
2020-04-13,208,0,3,0,1,0
2020-04-14,305,97,3,0,1,0
2020-04-15,402,97,3,0,1,0
2020-04-16,441,39,3,0,6,5
2020-04-17,455,14,3,0,6,0
2020-04-18,474,19,3,0,6,0
2020-04-19,481,7,3,0,10,4
2020-04-20,491,10,3,0,21,11
2020-04-21,507,16,3,0,21,0
2020-04-22,527,20,4,1,21,0
2020-04-23,542,15,4,0,23,2
2020-04-24,553,11,4,0,28,5
2020-04-25,561,8,4,0,28,0
2020-04-26,578,17,5,1,52,24
2020-04-27,590,12,5,0,52,0
2020-04-28,597,7,5,0,52,0
2020-04-29,611,14,5,0,63,11
2020-04-30,621,10,5,0,64,1
2020-05-01,649,28,5,0,64,0
2020-05-02,656,7,5,0,91,27
2020-05-03,676,20,5,0,107,16
2020-05-04,682,6,7,2,111,4
2020-05-05,698,16,7,0,129,18
2020-05-06,726,28,7,0,129,0
2020-05-07,782,56,11,4,144,15
2020-05-08,793,11,11,0,194,50
2020-05-09,803,10,14,3,214,20
2020-05-10,823,20,14,0,219,5
2020-05-11,844,21,15,1,252,33
2020-05-12,847,3,15,0,287,35
2020-05-13,859,12,16,1,330,43
2020-05-14,867,8,16,0,360,30
2020-05-15,882,15,16,0,387,27
2020-05-16,911,29,17,1,413,26
2020-05-17,931,20,17,0,415,2
2020-05-18,968,37,17,0,418,3
2020-05-19,1007,39,18,1,425,7
2020-05-20,1019,12,18,0,446,21
2020-05-21,1032,13,19,1,484,38
2020-05-22,1067,35,19,0,513,29
2020-05-23,1105,38,19,0,541,28
2020-05-24,1129,24,19,0,556,15
2020-05-25,1135,6,19,0,568,12
2020-05-26,1144,9,20,1,592,24
2020-05-27,1188,44,21,1,625,33
2020-05-28,1238,50,22,1,644,19
2020-05-29,1262,24,23,1,667,23
2020-05-30,1293,31,23,0,685,18
2020-05-31,1322,29,24,1,704,19
2020-06-01,1352,30,24,0,704,0
2020-06-02,1393,41,24,0,748,44
2020-06-03,1426,33,25,1,801,53
2020-06-04,1455,29,25,0,816,15
2020-06-05,1480,25,25,0,855,39
2020-06-06,1518,38,26,1,875,20
2020-06-07,1564,46,26,0,885,10
2020-06-08,1600,36,26,0,890,5
2020-06-09,1626,26,27,1,911,21
2020-06-10,1693,67,27,0,939,28
2020-06-11,1804,111,28,1,960,21
2020-06-12,1929,125,28,0,1019,59
2020-06-13,2085,156,28,0,1024,5
2020-06-14,2266,181,28,0,1025,1
2020-06-15,2352,86,28,0,1026,1
2020-06-16,2437,85,28,0,1048,22
2020-06-17,2491,54,28,0,1101,53
2020-06-18,2573,82,28,0,1140,39
2020-06-19,2687,114,28,0,1189,49
2020-06-20,2744,57,28,0,1212,23
2020-06-21,2805,61,28,0,1216,4
2020-06-22,2864,59,29,1,1221,5
2020-06-23,2926,62,29,0,1254,33
2020-06-24,2986,60,29,0,1305,51
2020-06-25,3050,64,29,0,1343,38
2020-06-26,3108,58,29,0,1359,16
2020-06-27,3173,65,30,1,1501,142
2020-06-28,3287,114,30,0,1540,39
2020-06-29,3356,69,30,0,1549,9
2020-06-30,3409,53,30,0,1599,50
2020-07-01,3463,54,33,3,1731,132
2020-07-02,3513,50,33,0,1782,51
2020-07-03,3577,64,34,1,1870,88
2020-07-04,3640,63,35,1,1935,65
2020-07-05,3695,55,35,0,1972,37
2020-07-06,3762,67,35,0,1972,0
2020-07-07,3866,104,35,0,2022,50
2020-07-08,3949,83,35,0,2057,35
2020-07-09,4028,79,35,0,2124,67
2020-07-10,4107,79,35,0,2228,104
2020-07-11,4179,72,35,0,2288,60
2020-07-12,4249,70,36,1,2312,24
2020-07-13,4308,59,36,0,2319,7
2020-07-14,4366,58,38,2,2352,33
2020-07-15,4416,50,39,1,2444,92
2020-07-16,4469,53,39,0,2538,94
2020-07-17,4542,73,40,1,2639,101
2020-07-18,4610,68,40,0,2747,108
2020-07-19,4680,70,40,0,2759,12
2020-07-20,4761,81,40,0,2759,0
2020-07-21,4819,58,40,0,2866,107
2020-07-22,4866,47,40,0,2963,97
2020-07-23,4911,45,40,0,3035,72
2020-07-24,4964,53,40,0,3149,114
2020-07-25,5034,70,41,1,3290,141
2020-07-26,5100,66,41,0,3311,21
2020-07-27,5144,44,41,0,3316,5
2020-07-28,5185,41,45,4,3599,283
2020-07-29,5221,36,48,3,3820,221
2020-07-30,5259,38,50,2,3918,98
2020-07-31,5303,44,57,7,4023,105
2020-08-01,5351,48,58,1,4098,75
2020-08-02,5396,45,58,0,4137,39
2020-08-03,5447,51,58,0,4137,0
2020-08-04,5483,36,59,1,4244,107
2020-08-05,5530,47,61,2,4336,92
2020-08-06,5567,37,64,3,4457,121
2020-08-07,5619,52,64,0,4529,72
2020-08-08,5678,59,66,2,4586,57
2020-08-09,5738,60,69,3,4594,8
2020-08-10,5816,78,69,0,4632,38
2020-08-11,5871,55,71,2,4696,64
2020-08-12,5923,52,71,0,4764,68
2020-08-13,5968,45,73,2,4809,45
2020-08-14,6011,43,73,0,4844,35
2020-08-15,6052,41,76,3,4898,54
2020-08-16,6083,31,76,0,4898,0
2020-08-17,6117,34,76,0,4918,20
2020-08-18,6148,31,76,0,4992,74
2020-08-19,6191,43,76,0,5042,50
2020-08-20,6224,33,76,0,5116,74
2020-08-21,6261,37,77,1,5150,34
2020-08-22,6294,33,78,1,5237,87
2020-08-23,6330,36,79,1,5243,6
2020-08-24,6370,40,79,0,5243,0
2020-08-25,6407,37,79,0,5283,40
2020-08-26,6429,22,83,4,5341,58
2020-08-27,6453,24,83,0,5443,102
2020-08-28,6480,27,84,1,5477,34
2020-08-29,6504,24,85,1,5552,75
2020-08-30,6533,29,85,0,5552,0
2020-08-31,6563,30,85,0,5575,23
2020-09-01,6592,29,85,0,5643,68
2020-09-02,6620,28,85,0,5703,60
2020-09-03,6644,24,85,0,5751,48
2020-09-04,6679,35,85,0,5804,53
2020-09-05,6716,37,85,0,5854,50
2020-09-06,6754,38,85,0,5855,1
2020-09-07,6787,33,85,0,5874,19
2020-09-08,6816,29,86,1,5909,35
2020-09-09,6852,36,88,2,5974,65
2020-09-10,6898,46,89,1,6014,40
2020-09-11,6942,44,90,1,6060,46
2020-09-12,7003,61,91,1,6092,32
2020-09-13,7061,58,91,0,6094,2
2020-09-14,7114,53,91,0,6094,0
2020-09-15,7165,51,91,0,6147,53
2020-09-16,7223,58,92,1,6206,59
2020-09-17,7292,69,93,1,6273,67
2020-09-18,7359,67,96,3,6314,41
2020-09-19,7432,73,97,1,6376,62
2020-09-20,7507,75,97,0,6389,13
2020-09-21,7583,76,97,0,6391,2
2020-09-22,7662,79,101,4,6448,57
2020-09-23,7740,78,104,3,6515,67
2020-09-24,7811,71,105,1,6537,22
2020-09-25,7885,74,106,1,6558,21
2020-09-26,7960,75,108,2,6620,62
2020-09-27,8037,77,108,0,6632,12
2020-09-28,8120,83,108,0,6654,22
2020-09-29,8205,85,112,4,6755,101
2020-09-30,8296,91,112,0,6865,110
2020-10-01,8435,139,114,2,6951,86
2020-10-02,8533,98,118,4,7061,110
2020-10-03,8632,99,120,2,7168,107
2020-10-04,8738,106,120,0,7199,31
2020-10-05,8848,110,120,0,7207,8
2020-10-06,8961,113,121,1,7236,29
2020-10-07,9080,119,126,5,7336,100
2020-10-08,9207,127,129,3,7476,140
2020-10-09,9342,135,131,2,7654,178
2020-10-10,9481,139,136,5,7784,130
2020-10-11,9625,144,136,0,7828,44
2020-10-12,9773,148,136,0,7836,8
2020-10-13,9920,147,136,0,7911,75
2020-10-14,10072,152,139,3,8001,90
