date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,1,1,0,0,0,0
2020-03-13,1,0,0,0,0,0
2020-03-14,1,0,0,0,0,0
2020-03-15,1,0,0,0,0,0
2020-03-16,1,0,0,0,0,0
2020-03-17,2,1,0,0,0,0
2020-03-18,2,0,0,0,0,0
2020-03-19,3,1,0,0,0,0
2020-03-20,3,0,0,0,0,0
2020-03-21,7,4,0,0,0,0
2020-03-22,7,0,0,0,0,0
2020-03-23,7,0,0,0,0,0
2020-03-24,7,0,0,0,0,0
2020-03-25,8,1,0,0,1,1
2020-03-26,8,0,0,0,1,0
2020-03-27,8,0,0,0,1,0
2020-03-28,11,3,0,0,1,0
2020-03-29,11,0,0,0,1,0
2020-03-30,11,0,0,0,1,0
2020-03-31,12,1,0,0,1,0
2020-04-01,12,0,0,0,1,0
2020-04-02,25,13,0,0,1,0
2020-04-03,25,0,0,0,1,0
2020-04-04,25,0,0,0,1,0
2020-04-05,47,22,0,0,1,0
2020-04-06,56,9,0,0,4,3
2020-04-07,56,0,0,0,8,4
2020-04-08,80,24,0,0,13,5
2020-04-09,87,7,0,0,13,0
2020-04-10,119,32,1,1,14,1
2020-04-11,152,33,1,0,14,0
2020-04-12,194,42,1,0,14,0
2020-04-13,224,30,4,3,20,6
2020-04-14,292,68,4,0,20,0
2020-04-15,339,47,4,0,21,1
2020-04-16,404,65,4,0,21,0
2020-04-17,458,54,4,0,21,0
2020-04-18,517,59,4,0,21,0
2020-04-19,646,129,4,0,21,0
2020-04-20,759,113,5,1,26,5
2020-04-21,860,101,5,0,28,2
2020-04-22,929,69,6,1,49,21
2020-04-23,1002,73,7,1,60,11
2020-04-24,1096,94,8,1,77,17
2020-04-25,1214,118,8,0,92,15
2020-04-26,1367,153,8,0,109,17
2020-04-27,1574,207,9,1,109,0
2020-04-28,1663,89,9,0,109,0
2020-04-29,1794,131,11,2,177,68
2020-04-30,1944,150,12,1,226,49
2020-05-01,2123,179,14,2,289,63
2020-05-02,2443,320,14,0,318,29
2020-05-03,2695,252,16,2,346,28
2020-05-04,2852,157,16,0,383,37
2020-05-05,3026,174,16,0,398,15
2020-05-06,3298,272,16,0,422,24
2020-05-07,3610,312,23,7,493,71
2020-05-08,3886,276,23,0,510,17
2020-05-09,4180,294,26,3,649,139
2020-05-10,4442,262,29,3,661,12
2020-05-11,4733,291,31,2,694,33
2020-05-12,5087,354,32,1,744,50
2020-05-13,5358,271,35,3,764,20
2020-05-14,5596,238,37,2,1085,321
2020-05-15,5903,307,40,3,1220,135
2020-05-16,6132,229,42,2,1323,103
2020-05-17,6413,281,43,1,1373,50
2020-05-18,6692,279,43,0,1410,37
2020-05-19,6952,260,45,2,1539,129
2020-05-20,7209,257,49,4,1637,98
2020-05-21,7413,204,53,4,1756,119
2020-05-22,7615,202,57,4,2006,250
2020-05-23,7826,211,60,3,2257,251
2020-05-24,8047,221,65,5,2398,141
2020-05-25,8276,229,65,0,2470,72
2020-05-26,8504,228,72,7,2652,182
2020-05-27,8735,231,78,6,2905,253
2020-05-28,8963,228,84,6,3244,339
2020-05-29,9244,281,89,5,3466,222
2020-05-30,9533,289,93,4,3637,171
2020-05-31,9834,301,98,5,3693,56
2020-06-01,10149,315,104,6,3747,54
2020-06-02,10503,354,111,7,3980,233
2020-06-03,10850,347,116,5,4252,272
2020-06-04,11169,319,122,6,4451,199
2020-06-05,11499,330,125,3,4612,161
2020-06-06,11820,321,131,6,4795,183
2020-06-07,12137,317,136,5,4837,42
2020-06-08,12442,305,140,4,4878,41
2020-06-09,12734,292,145,5,5696,818
2020-06-10,13038,304,150,5,5975,279
2020-06-11,13341,303,152,2,6219,244
2020-06-12,13562,221,159,7,6580,361
2020-06-13,13780,218,165,6,6633,53
2020-06-14,13995,215,168,3,6758,125
2020-06-15,14204,209,173,5,6811,53
2020-06-16,14410,206,175,2,7004,193
2020-06-17,14648,238,179,4,7342,338
2020-06-18,14881,233,181,2,7773,431
2020-06-19,15100,219,188,7,8052,279
2020-06-20,15328,228,193,5,8334,282
2020-06-21,15555,227,198,5,8400,66
2020-06-22,15774,219,201,3,8438,38
2020-06-23,15990,216,205,4,8864,426
2020-06-24,16197,207,207,2,9481,617
2020-06-25,16414,217,212,5,9566,85
2020-06-26,16624,210,215,3,9944,378
2020-06-27,16838,214,223,8,10400,456
2020-06-28,17060,222,226,3,10484,84
2020-06-29,17278,218,229,3,10658,174
2020-06-30,17481,203,234,5,11061,403
2020-07-01,17709,228,242,8,11369,308
2020-07-02,17943,234,249,7,11589,220
2020-07-03,18172,229,254,5,11840,251
2020-07-04,18397,225,259,5,12134,294
2020-07-05,18614,217,263,4,12157,23
2020-07-06,18826,212,268,5,12309,152
2020-07-07,19024,198,271,3,12606,297
2020-07-08,19241,217,275,4,13063,457
2020-07-09,19465,224,279,4,13379,316
2020-07-10,19684,219,282,3,13734,355
2020-07-11,19907,223,288,6,14087,353
2020-07-12,20129,222,293,5,14184,97
2020-07-13,20341,212,299,6,14274,90
2020-07-14,20534,193,305,6,14642,368
2020-07-15,20763,229,312,7,15022,380
2020-07-16,20984,221,318,6,15320,298
2020-07-17,21200,216,325,7,15532,212
2020-07-18,21405,205,330,5,15831,299
2020-07-19,21623,218,336,6,15914,83
2020-07-20,21814,191,340,4,15993,79
2020-07-21,22010,196,346,6,16238,245
2020-07-22,22227,217,351,5,16668,430
2020-07-23,22429,202,354,3,16967,299
2020-07-24,22623,194,358,4,17232,265
2020-07-25,22807,184,362,4,17621,389
2020-07-26,22984,177,365,3,17647,26
2020-07-27,23172,188,368,3,17689,42
2020-07-28,23335,163,374,6,18031,342
2020-07-29,23489,154,377,3,18567,536
2020-07-30,23647,158,379,2,19078,511
2020-07-31,23792,145,384,5,19479,401
2020-08-01,23951,159,388,4,19918,439
2020-08-02,24097,146,390,2,20024,106
2020-08-03,24236,139,393,3,20096,72
2020-08-04,24345,109,397,4,20372,276
2020-08-05,24446,101,399,2,20647,275
2020-08-06,24551,105,401,2,20938,291
2020-08-07,24654,103,403,2,21198,260
2020-08-08,24771,117,405,2,21490,292
2020-08-09,24889,118,408,3,21576,86
2020-08-10,25009,120,410,2,21602,26
2020-08-11,25128,119,414,4,21759,157
2020-08-12,25252,124,418,4,21955,196
2020-08-13,25382,130,421,3,22197,242
2020-08-14,25510,128,426,5,22362,165
2020-08-15,25635,125,429,3,22577,215
2020-08-16,25758,123,431,2,22666,89
2020-08-17,25878,120,433,2,22704,38
2020-08-18,25994,116,436,3,22819,115
2020-08-19,26132,138,438,2,23139,320
2020-08-20,26264,132,441,3,23322,183
2020-08-21,26391,127,443,2,23446,124
2020-08-22,26513,122,445,2,23642,196
2020-08-23,26630,117,447,2,23683,41
2020-08-24,26744,114,449,2,23715,32
2020-08-25,26866,122,451,2,23901,186
2020-08-26,26995,129,453,2,24060,159
2020-08-27,27129,134,456,3,24248,188
2020-08-28,27262,133,460,4,24474,226
2020-08-29,27407,145,465,5,24595,121
2020-08-30,27550,143,469,4,24639,44
2020-08-31,27688,138,473,4,24655,16
2020-09-01,27820,132,477,4,24811,156
2020-09-02,27967,147,481,4,24967,156
2020-09-03,28110,143,485,4,25077,110
2020-09-04,28255,145,488,3,25196,119
2020-09-05,28409,154,492,4,25331,135
2020-09-06,28562,153,494,2,25364,33
2020-09-07,28713,151,497,3,25394,30
2020-09-08,28859,146,501,4,25573,179
2020-09-09,29018,159,504,3,25744,171
2020-09-10,29181,163,506,2,25935,191
2020-09-11,29342,161,509,3,26150,215
2020-09-12,29498,156,515,6,26318,168
2020-09-13,29657,159,520,5,26398,80
2020-09-14,29804,147,526,6,26426,28
2020-09-15,29943,139,529,3,26513,87
2020-09-16,30108,165,532,3,26714,201
2020-09-17,30274,166,535,3,26844,130
2020-09-18,30435,161,538,3,26988,144
2020-09-19,30599,164,543,5,27156,168
2020-09-20,30764,165,543,0,27194,38
2020-09-21,30926,162,546,3,27199,5
2020-09-22,31083,157,550,4,27313,114
2020-09-23,31230,147,553,3,27459,146
2020-09-24,31390,160,556,3,27612,153
2020-09-25,31558,168,561,5,27677,65
2020-09-26,31724,166,564,3,27873,196
2020-09-27,31891,167,568,4,27932,59
2020-09-28,32056,165,571,3,27938,6
2020-09-29,32224,168,575,4,28113,175
2020-09-30,32399,175,578,3,28263,150
2020-10-01,32585,186,581,3,28323,60
2020-10-02,32776,191,583,2,28584,261
2020-10-03,32975,199,586,3,28659,75
2020-10-04,33176,201,588,2,28709,50
2020-10-05,33374,198,590,2,28720,11
2020-10-06,33578,204,592,2,28777,57
2020-10-07,33805,227,596,4,28965,188
2020-10-08,34039,234,600,4,29085,120
2020-10-09,34286,247,605,5,29312,227
2020-10-10,34543,257,609,4,29443,131
2020-10-11,34805,262,613,4,29487,44
2020-10-12,35076,271,618,5,29528,41
2020-10-13,35350,274,624,6,29714,186
2020-10-14,35627,277,631,7,29917,203
