date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,3,3,0,0,0,0
2020-03-25,4,1,0,0,0,0
2020-03-26,4,0,0,0,0,0
2020-03-27,4,0,0,0,0,0
2020-03-28,4,0,0,0,0,0
2020-03-29,5,1,0,0,0,0
2020-03-30,5,0,0,0,0,0
2020-03-31,7,2,0,0,0,0
2020-04-01,8,1,0,0,1,1
2020-04-02,10,2,0,0,1,0
2020-04-03,10,0,0,0,5,4
2020-04-04,10,0,0,0,5,0
2020-04-05,10,0,0,0,5,0
2020-04-06,10,0,0,0,5,0
2020-04-07,12,2,0,0,5,0
2020-04-08,16,4,0,0,5,0
2020-04-09,22,6,0,0,5,0
2020-04-10,40,18,0,0,6,1
2020-04-11,65,25,0,0,7,1
2020-04-12,84,19,1,1,7,0
2020-04-13,107,23,1,0,7,0
2020-04-14,129,22,3,2,9,2
2020-04-15,149,20,5,2,9,0
2020-04-16,191,42,5,0,9,0
2020-04-17,213,22,8,3,14,5
2020-04-18,252,39,8,0,14,0
2020-04-19,252,0,10,2,14,0
2020-04-20,297,45,14,4,14,0
2020-04-21,371,74,14,0,20,6
2020-04-22,396,25,14,0,34,14
2020-04-23,422,26,14,0,38,4
2020-04-24,455,33,14,0,57,19
2020-04-25,490,35,14,0,57,0
2020-04-26,527,37,14,0,59,2
2020-04-27,570,43,14,0,72,13
2020-04-28,631,61,14,0,80,8
2020-04-29,691,60,14,0,80,0
2020-04-30,766,75,14,0,120,40
2020-05-01,843,77,14,0,167,47
2020-05-02,935,92,14,0,176,9
2020-05-03,1022,87,14,0,183,7
2020-05-04,1102,80,14,0,185,2
2020-05-05,1136,34,14,0,255,70
2020-05-06,1160,24,14,0,259,4
2020-05-07,1243,83,14,0,289,30
2020-05-08,1332,89,14,0,361,72
2020-05-09,1416,84,15,1,409,48
2020-05-10,1491,75,15,0,435,26
2020-05-11,1567,76,15,0,435,0
2020-05-12,1647,80,16,1,436,1
2020-05-13,1696,49,16,0,466,30
2020-05-14,1784,88,16,0,518,52
2020-05-15,1874,90,16,0,524,6
2020-05-16,1963,89,17,1,580,56
2020-05-17,2061,98,17,0,599,19
2020-05-18,2155,94,17,0,651,52
2020-05-19,2247,92,17,0,669,18
2020-05-20,2335,88,18,1,714,45
2020-05-21,2424,89,18,0,763,49
2020-05-22,2514,90,18,0,792,29
2020-05-23,2602,88,18,0,793,1
2020-05-24,2683,81,18,0,832,39
2020-05-25,2772,89,18,0,882,50
2020-05-26,2851,79,18,0,884,2
2020-05-27,2942,91,18,0,902,18
2020-05-28,3021,79,18,0,948,46
2020-05-29,3105,84,18,0,1007,59
2020-05-30,3185,80,18,0,1028,21
2020-05-31,3260,75,18,0,1116,88
2020-06-01,3337,77,18,0,1132,16
2020-06-02,3409,72,18,0,1138,6
2020-06-03,3501,92,18,0,1192,54
2020-06-04,3608,107,18,0,1249,57
2020-06-05,3727,119,18,0,1286,37
2020-06-06,3832,105,18,0,1322,36
2020-06-07,3928,96,18,0,1437,115
2020-06-08,4017,89,18,0,1453,16
2020-06-09,4113,96,18,0,1505,52
2020-06-10,4194,81,18,0,1640,135
2020-06-11,4273,79,18,0,1741,101
2020-06-12,4348,75,18,0,1759,18
2020-06-13,4418,70,18,0,1839,80
2020-06-14,4486,68,18,0,1853,14
2020-06-15,4547,61,18,0,1874,21
2020-06-16,4611,64,18,0,1940,66
2020-06-17,4670,59,18,0,2070,130
2020-06-18,4730,60,18,0,2182,112
2020-06-19,4792,62,18,0,2267,85
2020-06-20,4850,58,18,0,2358,91
2020-06-21,4906,56,18,0,2380,22
2020-06-22,4959,53,18,0,2385,5
2020-06-23,5011,52,18,0,2482,97
2020-06-24,5068,57,18,0,2574,92
2020-06-25,5121,53,18,0,2643,69
2020-06-26,5171,50,18,0,2783,140
2020-06-27,5220,49,18,0,2843,60
2020-06-28,5267,47,18,0,2853,10
2020-06-29,5315,48,18,0,2870,17
2020-06-30,5361,46,18,0,2995,125
2020-07-01,5405,44,18,0,3104,109
2020-07-02,5450,45,18,0,3144,40
2020-07-03,5497,47,18,0,3201,57
2020-07-04,5543,46,19,1,3261,60
2020-07-05,5591,48,19,0,3301,40
2020-07-06,5638,47,19,0,3333,32
2020-07-07,5686,48,19,0,3446,113
2020-07-08,5731,45,19,0,3595,149
2020-07-09,5778,47,19,0,3759,164
2020-07-10,5826,48,19,0,3919,160
2020-07-11,5875,49,19,0,3962,43
2020-07-12,5921,46,19,0,3994,32
2020-07-13,5967,46,19,0,4015,21
2020-07-14,6014,47,19,0,4176,161
2020-07-15,6077,63,19,0,4255,79
2020-07-16,6134,57,19,0,4320,65
2020-07-17,6194,60,20,1,4572,252
2020-07-18,6249,55,20,0,4627,55
2020-07-19,6307,58,20,0,4630,3
2020-07-20,6348,41,21,1,4637,7
2020-07-21,6386,38,21,0,4697,60
2020-07-22,6426,40,21,0,4763,66
2020-07-23,6463,37,21,0,4775,12
2020-07-24,6500,37,21,0,4781,6
2020-07-25,6536,36,21,0,4825,44
2020-07-26,6571,35,21,0,4830,5
2020-07-27,6607,36,21,0,4861,31
2020-07-28,6640,33,21,0,4964,103
2020-07-29,6675,35,21,0,5019,55
2020-07-30,6711,36,22,1,5108,89
2020-07-31,6745,34,22,0,5173,65
2020-08-01,6780,35,22,0,5180,7
2020-08-02,6815,35,23,1,5200,20
2020-08-03,6851,36,23,0,5209,9
2020-08-04,6886,35,23,0,5300,91
2020-08-05,6920,34,23,0,5315,15
2020-08-06,6955,35,24,1,5351,36
2020-08-07,6990,35,24,0,5385,34
2020-08-08,7024,34,25,1,5406,21
2020-08-09,7059,35,25,0,5406,0
2020-08-10,7093,34,25,0,5406,0
2020-08-11,7127,34,25,0,5424,18
2020-08-12,7162,35,25,0,5530,106
2020-08-13,7197,35,25,0,5786,256
2020-08-14,7230,33,26,1,5869,83
2020-08-15,7264,34,26,0,6055,186
2020-08-16,7298,34,26,0,6227,172
2020-08-17,7333,35,26,0,6370,143
2020-08-18,7367,34,26,0,6491,121
2020-08-19,7402,35,27,1,6554,63
2020-08-20,7435,33,27,0,6586,32
2020-08-21,7469,34,27,0,6614,28
2020-08-22,7500,31,27,0,6642,28
2020-08-23,7534,34,27,0,6652,10
2020-08-24,7567,33,28,1,6652,0
2020-08-25,7601,34,28,0,6680,28
2020-08-26,7634,33,28,0,6781,101
2020-08-27,7667,33,28,0,6837,56
2020-08-28,7698,31,28,0,6872,35
2020-08-29,7731,33,29,1,6894,22
2020-08-30,7763,32,29,0,6894,0
2020-08-31,7795,32,29,0,6894,0
2020-09-01,7825,30,29,0,6906,12
2020-09-02,7856,31,29,0,6918,12
2020-09-03,7888,32,29,0,6925,7
2020-09-04,7918,30,29,0,6991,66
2020-09-05,7949,31,29,0,7081,90
2020-09-06,7981,32,29,0,7082,1
2020-09-07,8011,30,29,0,7094,12
2020-09-08,8042,31,29,0,7214,120
2020-09-09,8072,30,29,0,7311,97
2020-09-10,8101,29,30,1,7523,212
2020-09-11,8131,30,30,0,7611,88
2020-09-12,8161,30,30,0,7710,99
2020-09-13,8193,32,31,1,7719,9
2020-09-14,8223,30,31,0,7827,108
2020-09-15,8254,31,31,0,7899,72
2020-09-16,8286,32,31,0,7964,65
2020-09-17,8317,31,31,0,8010,46
2020-09-18,8350,33,31,0,8075,65
2020-09-19,8384,34,33,2,8158,83
2020-09-20,8417,33,33,0,8172,14
2020-09-21,8452,35,33,0,8177,5
2020-09-22,8487,35,36,3,8247,70
2020-09-23,8521,34,36,0,8327,80
2020-09-24,8556,35,36,0,8422,95
2020-09-25,8592,36,36,0,8528,106
2020-09-26,8630,38,36,0,8528,0
2020-09-27,8669,39,37,1,8529,1
2020-09-28,8708,39,39,2,8529,0
2020-09-29,8748,40,41,2,8533,4
2020-09-30,8790,42,41,0,8538,5
2020-10-01,8831,41,41,0,8544,6
2020-10-02,8873,42,41,0,8551,7
2020-10-03,8917,44,41,0,8557,6
2020-10-04,8961,44,42,1,8557,0
2020-10-05,9007,46,42,0,8560,3
2020-10-06,9051,44,42,0,8567,7
2020-10-07,9098,47,42,0,8576,9
2020-10-08,9144,46,43,1,8581,5
2020-10-09,9191,47,43,0,8591,10
2020-10-10,9240,49,44,1,8602,11
2020-10-11,9290,50,45,1,8610,8
2020-10-12,9340,50,46,1,8616,6
2020-10-13,9398,58,46,0,8618,2
2020-10-14,9463,65,46,0,8623,5
