date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,2,2,0,0,0,0
2020-03-23,2,0,0,0,0,0
2020-03-24,2,0,0,0,0,0
2020-03-25,2,0,0,0,0,0
2020-03-26,2,0,0,0,0,0
2020-03-27,4,2,0,0,0,0
2020-03-28,4,0,0,0,0,0
2020-03-29,4,0,0,0,0,0
2020-03-30,4,0,0,0,0,0
2020-03-31,4,0,0,0,0,0
2020-04-01,4,0,0,0,3,3
2020-04-02,4,0,0,0,3,0
2020-04-03,4,0,0,0,3,0
2020-04-04,5,1,0,0,3,0
2020-04-05,5,0,0,0,3,0
2020-04-06,5,0,0,0,3,0
2020-04-07,9,4,0,0,3,0
2020-04-08,9,0,0,0,3,0
2020-04-09,9,0,0,0,3,0
2020-04-10,11,2,0,0,3,0
2020-04-11,11,0,0,0,3,0
2020-04-12,13,2,0,0,3,0
2020-04-13,13,0,0,0,3,0
2020-04-14,19,6,0,0,3,0
2020-04-15,27,8,0,0,4,1
2020-04-16,42,15,0,0,4,0
2020-04-17,58,16,3,3,6,2
2020-04-18,62,4,3,0,6,0
2020-04-19,66,4,3,0,7,1
2020-04-20,92,26,3,0,7,0
2020-04-21,118,26,3,0,7,0
2020-04-22,152,34,3,0,8,1
2020-04-23,161,9,3,0,18,10
2020-04-24,178,17,4,1,19,1
2020-04-25,193,15,4,0,19,0
2020-04-26,202,9,4,0,19,0
2020-04-27,207,5,5,1,19,0
2020-04-28,212,5,6,1,19,0
2020-04-29,217,5,6,0,28,9
2020-04-30,228,11,8,2,31,3
2020-05-01,237,9,8,0,31,0
2020-05-02,244,7,9,1,45,14
2020-05-03,271,27,9,0,56,11
2020-05-04,314,43,10,1,63,7
2020-05-05,332,18,10,0,66,3
2020-05-06,344,12,10,0,69,3
2020-05-07,344,0,10,0,69,0
2020-05-08,345,1,11,1,91,22
2020-05-09,352,7,11,0,106,15
2020-05-10,370,18,11,0,129,23
2020-05-11,389,19,12,1,129,0
2020-05-12,395,6,12,0,151,22
2020-05-13,395,0,12,0,166,15
2020-05-14,402,7,12,0,180,14
2020-05-15,408,6,12,0,202,22
2020-05-16,422,14,12,0,227,25
2020-05-17,436,14,12,0,229,2
2020-05-18,441,5,12,0,233,4
2020-05-19,452,11,12,0,253,20
2020-05-20,458,6,12,0,270,17
2020-05-21,463,5,12,0,296,26
2020-05-22,477,14,12,0,307,11
2020-05-23,492,15,12,0,323,16
2020-05-24,510,18,12,0,324,1
2020-05-25,529,19,12,0,330,6
2020-05-26,549,20,12,0,354,24
2020-05-27,559,10,12,0,367,13
2020-05-28,583,24,12,0,381,14
2020-05-29,605,22,12,0,395,14
2020-05-30,629,24,12,0,410,15
2020-05-31,652,23,12,0,411,1
2020-06-01,682,30,12,0,412,1
2020-06-02,717,35,12,0,425,13
2020-06-03,770,53,12,0,438,13
2020-06-04,822,52,12,0,455,17
2020-06-05,865,43,12,0,460,5
2020-06-06,904,39,12,0,466,6
2020-06-07,936,32,12,0,467,1
2020-06-08,963,27,12,0,467,0
2020-06-09,987,24,12,0,478,11
2020-06-10,1011,24,12,0,502,24
2020-06-11,1031,20,12,0,516,14
2020-06-12,1053,22,12,0,551,35
2020-06-13,1073,20,12,0,557,6
2020-06-14,1094,21,12,0,559,2
2020-06-15,1114,20,12,0,560,1
2020-06-16,1133,19,12,0,626,66
2020-06-17,1153,20,12,0,693,67
2020-06-18,1175,22,12,0,720,27
2020-06-19,1195,20,13,1,778,58
2020-06-20,1216,21,15,2,827,49
2020-06-21,1235,19,15,0,834,7
2020-06-22,1254,19,15,0,848,14
2020-06-23,1272,18,15,0,884,36
2020-06-24,1294,22,15,0,941,57
2020-06-25,1314,20,15,0,945,4
2020-06-26,1334,20,15,0,969,24
2020-06-27,1357,23,16,1,998,29
2020-06-28,1379,22,16,0,999,1
2020-06-29,1400,21,16,0,1000,1
2020-06-30,1420,20,16,0,1028,28
2020-07-01,1440,20,16,0,1068,40
2020-07-02,1459,19,16,0,1069,1
2020-07-03,1476,17,16,0,1098,29
2020-07-04,1499,23,17,1,1137,39
2020-07-05,1519,20,17,0,1139,2
2020-07-06,1537,18,17,0,1139,0
2020-07-07,1554,17,17,0,1210,71
2020-07-08,1592,38,17,0,1252,42
2020-07-09,1623,31,19,2,1300,48
2020-07-10,1652,29,19,0,1329,29
2020-07-11,1701,49,19,0,1358,29
2020-07-12,1747,46,19,0,1360,2
2020-07-13,1792,45,19,0,1360,0
2020-07-14,1834,42,19,0,1380,20
2020-07-15,1880,46,19,0,1394,14
2020-07-16,1923,43,19,0,1406,12
2020-07-17,1966,43,19,0,1420,14
2020-07-18,2006,40,19,0,1456,36
2020-07-19,2044,38,19,0,1456,0
2020-07-20,2079,35,19,0,1456,0
2020-07-21,2111,32,22,3,1493,37
2020-07-22,2142,31,22,0,1560,67
2020-07-23,2173,31,23,1,1597,37
2020-07-24,2202,29,23,0,1662,65
2020-07-25,2229,27,23,0,1717,55
2020-07-26,2254,25,23,0,1725,8
2020-07-27,2279,25,23,0,1742,17
2020-07-28,2303,24,23,0,1768,26
2020-07-29,2323,20,24,1,1859,91
2020-07-30,2341,18,24,0,1898,39
2020-07-31,2360,19,25,1,1918,20
2020-08-01,2378,18,26,1,1975,57
2020-08-02,2398,20,26,0,1975,0
2020-08-03,2420,22,27,1,1975,0
2020-08-04,2442,22,27,0,2021,46
2020-08-05,2463,21,31,4,2056,35
2020-08-06,2492,29,31,0,2099,43
2020-08-07,2520,28,33,2,2128,29
2020-08-08,2547,27,33,0,2149,21
2020-08-09,2574,27,33,0,2149,0
2020-08-10,2602,28,34,1,2155,6
2020-08-11,2628,26,34,0,2180,25
2020-08-12,2654,26,34,0,2207,27
2020-08-13,2681,27,34,0,2236,29
2020-08-14,2706,25,34,0,2262,26
2020-08-15,2735,29,34,0,2279,17
2020-08-16,2764,29,34,0,2282,3
2020-08-17,2792,28,34,0,2286,4
2020-08-18,2819,27,36,2,2314,28
2020-08-19,2849,30,36,0,2347,33
2020-08-20,2876,27,36,0,2387,40
2020-08-21,2903,27,38,2,2404,17
2020-08-22,2931,28,38,0,2444,40
2020-08-23,2961,30,38,0,2444,0
2020-08-24,2990,29,38,0,2444,0
2020-08-25,3013,23,42,4,2497,53
2020-08-26,3040,27,45,3,2534,37
2020-08-27,3062,22,45,0,2561,27
2020-08-28,3092,30,45,0,2587,26
2020-08-29,3123,31,45,0,2611,24
2020-08-30,3150,27,45,0,2621,10
2020-08-31,3179,29,45,0,2621,0
2020-09-01,3211,32,45,0,2656,35
2020-09-02,3249,38,45,0,2698,42
2020-09-03,3294,45,45,0,2715,17
2020-09-04,3343,49,45,0,2764,49
2020-09-05,3392,49,49,4,2788,24
2020-09-06,3443,51,49,0,2788,0
2020-09-07,3491,48,49,0,2788,0
2020-09-08,3543,52,51,2,2824,36
2020-09-09,3593,50,51,0,2842,18
2020-09-10,3648,55,54,3,2855,13
2020-09-11,3712,64,54,0,2910,55
2020-09-12,3773,61,54,0,2957,47
2020-09-13,3836,63,54,0,2957,0
2020-09-14,3896,60,54,0,2971,14
2020-09-15,3961,65,55,1,3028,57
2020-09-16,4033,72,57,2,3098,70
2020-09-17,4103,70,59,2,3163,65
2020-09-18,4170,67,59,0,3208,45
2020-09-19,4245,75,62,3,3261,53
2020-09-20,4327,82,62,0,3282,21
2020-09-21,4408,81,62,0,3292,10
2020-09-22,4493,85,62,0,3347,55
2020-09-23,4577,84,65,3,3423,76
2020-09-24,4658,81,65,0,3508,85
2020-09-25,4739,81,65,0,3545,37
2020-09-26,4828,89,65,0,3625,80
2020-09-27,4923,95,65,0,3638,13
2020-09-28,5023,100,65,0,3643,5
2020-09-29,5131,108,66,1,3676,33
2020-09-30,5245,114,66,0,3713,37
2020-10-01,5363,118,70,4,3791,78
2020-10-02,5476,113,70,0,3835,44
2020-10-03,5594,118,73,3,3903,68
2020-10-04,5709,115,73,0,3961,58
2020-10-05,5826,117,73,0,3984,23
2020-10-06,5932,106,73,0,4031,47
2020-10-07,6042,110,73,0,4090,59
2020-10-08,6159,117,73,0,4196,106
2020-10-09,6275,116,76,3,4328,132
2020-10-10,6391,116,79,3,4407,79
2020-10-11,6503,112,83,4,4433,26
2020-10-12,6613,110,86,3,4443,10
2020-10-13,6721,108,90,4,4584,141
2020-10-14,6838,117,94,4,4689,105
