date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,1,1,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,1,0,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,1,0,0,0,0,0
2020-03-26,1,0,0,0,0,0
2020-03-27,1,0,0,0,0,0
2020-03-28,1,0,0,0,0,0
2020-03-29,3,2,0,0,0,0
2020-03-30,5,2,0,0,1,1
2020-03-31,11,6,0,0,1,0
2020-04-01,11,0,0,0,1,0
2020-04-02,15,4,0,0,1,0
2020-04-03,15,0,0,0,1,0
2020-04-04,15,0,0,0,1,0
2020-04-05,15,0,0,0,1,0
2020-04-06,18,3,0,0,1,0
2020-04-07,18,0,0,0,1,0
2020-04-08,43,25,0,0,2,1
2020-04-09,44,1,0,0,5,3
2020-04-10,67,23,0,0,5,0
2020-04-11,67,0,0,0,6,1
2020-04-12,128,61,0,0,10,4
2020-04-13,128,0,1,1,10,0
2020-04-14,128,0,1,0,10,0
2020-04-15,265,137,1,0,14,4
2020-04-16,306,41,1,0,15,1
2020-04-17,314,8,1,0,21,6
2020-04-18,321,7,2,1,27,6
2020-04-19,354,33,3,1,28,1
2020-04-20,400,46,3,0,28,0
2020-04-21,435,35,3,0,32,4
2020-04-22,506,71,3,0,56,24
2020-04-23,603,97,3,0,61,5
2020-04-24,663,60,4,1,64,3
2020-04-25,856,193,4,0,70,6
2020-04-26,961,105,4,0,71,1
2020-04-27,989,28,4,0,73,2
2020-04-28,1056,67,4,0,88,15
2020-04-29,1126,70,4,0,98,10
2020-04-30,1227,101,4,0,98,0
2020-05-01,1313,86,4,0,113,15
2020-05-02,1456,143,4,0,116,3
2020-05-03,1694,238,4,0,122,6
2020-05-04,1974,280,4,0,154,32
2020-05-05,2101,127,4,0,154,0
2020-05-06,2237,136,4,0,161,7
2020-05-07,2272,35,4,0,186,25
2020-05-08,2322,50,4,0,234,48
2020-05-09,2340,18,4,0,257,23
2020-05-10,2371,31,5,1,270,13
2020-05-11,2416,45,5,0,291,21
2020-05-12,2428,12,5,0,312,21
2020-05-13,2471,43,5,0,357,45
2020-05-14,2492,21,6,1,448,91
2020-05-15,2551,59,6,0,489,41
2020-05-16,2644,93,6,0,737,248
2020-05-17,2654,10,6,0,1282,545
2020-05-18,2666,12,6,0,1288,6
2020-05-19,2684,18,6,0,1340,52
2020-05-20,2714,30,7,1,1425,85
2020-05-21,2781,67,7,0,1496,71
2020-05-22,2834,53,7,0,1595,99
2020-05-23,2868,34,7,0,1617,22
2020-05-24,2900,32,7,0,1627,10
2020-05-25,2936,36,7,0,1631,4
2020-05-26,2981,45,7,0,1656,25
2020-05-27,3030,49,7,0,1676,20
2020-05-28,3076,46,7,0,1728,52
2020-05-29,3136,60,7,0,1886,158
2020-05-30,3181,45,7,0,2034,148
2020-05-31,3222,41,7,0,2072,38
2020-06-01,3264,42,7,0,2081,9
2020-06-02,3296,32,7,0,2192,111
2020-06-03,3342,46,7,0,2375,183
2020-06-04,3375,33,7,0,2401,26
2020-06-05,3422,47,7,0,2427,26
2020-06-06,3472,50,7,0,2468,41
2020-06-07,3530,58,7,0,2477,9
2020-06-08,3576,46,7,0,2480,3
2020-06-09,3674,98,7,0,2535,55
2020-06-10,3700,26,7,0,2569,34
2020-06-11,3760,60,7,0,2633,64
2020-06-12,3818,58,7,0,2663,30
2020-06-13,3889,71,7,0,2669,6
2020-06-14,3946,57,7,0,2677,8
2020-06-15,4011,65,7,0,2690,13
2020-06-16,4083,72,7,0,2810,120
2020-06-17,4155,72,9,2,2877,67
2020-06-18,4219,64,9,0,2910,33
2020-06-19,4280,61,9,0,2952,42
2020-06-20,4346,66,9,0,3020,68
2020-06-21,4431,85,9,0,3036,16
2020-06-22,4516,85,9,0,3120,84
2020-06-23,4586,70,9,0,3165,45
2020-06-24,4660,74,11,2,3217,52
2020-06-25,4732,72,11,0,3362,145
2020-06-26,4811,79,12,1,3439,77
2020-06-27,4901,90,12,0,3497,58
2020-06-28,4994,93,13,1,3510,13
2020-06-29,5093,99,13,0,3514,4
2020-06-30,5211,118,15,2,3529,15
2020-07-01,5346,135,16,1,3591,62
2020-07-02,5485,139,16,0,3609,18
2020-07-03,5632,147,18,2,3632,23
2020-07-04,5766,134,19,1,3695,63
2020-07-05,5903,137,21,2,3704,9
2020-07-06,6038,135,21,0,3704,0
2020-07-07,6196,158,21,0,3735,31
2020-07-08,6359,163,21,0,3785,50
2020-07-09,6512,153,23,2,3831,46
2020-07-10,6685,173,26,3,3889,58
2020-07-11,6866,181,28,2,3948,59
2020-07-12,7049,183,29,1,3971,23
2020-07-13,7228,179,32,3,3991,20
2020-07-14,7410,182,35,3,4061,70
2020-07-15,7597,187,39,4,4149,88
2020-07-16,7780,183,42,3,4238,89
2020-07-17,7943,163,44,2,4296,58
2020-07-18,8105,162,47,3,4371,75
2020-07-19,8272,167,49,2,4387,16
2020-07-20,8444,172,52,3,4394,7
2020-07-21,8616,172,55,3,4471,77
2020-07-22,8799,183,57,2,4655,184
2020-07-23,8976,177,59,2,4835,180
2020-07-24,9146,170,61,2,4909,74
2020-07-25,9311,165,64,3,5163,254
2020-07-26,9469,158,66,2,5233,70
2020-07-27,9627,158,68,2,5275,42
2020-07-28,9791,164,68,0,5477,202
2020-07-29,9947,156,71,3,5697,220
2020-07-30,10093,146,74,3,5943,246
2020-07-31,10232,139,77,3,6202,259
2020-08-01,10370,138,79,2,6409,207
2020-08-02,10507,137,79,0,6489,80
2020-08-03,10640,133,81,2,6594,105
2020-08-04,10769,129,84,3,6904,310
2020-08-05,10895,126,86,2,7207,303
2020-08-06,11017,122,88,2,7450,243
2020-08-07,11136,119,90,2,7659,209
2020-08-08,11252,116,94,4,7825,166
2020-08-09,11350,98,96,2,7905,80
2020-08-10,11439,89,98,2,7961,56
2020-08-11,11517,78,101,3,8150,189
2020-08-12,11589,72,104,3,8320,170
2020-08-13,11656,67,107,3,8469,149
2020-08-14,11720,64,109,2,8573,104
2020-08-15,11787,67,112,3,8710,137
2020-08-16,11849,62,116,4,8730,20
2020-08-17,11914,65,121,5,8751,21
2020-08-18,11981,67,125,4,8966,215
2020-08-19,12046,65,129,4,9134,168
2020-08-20,12108,62,133,4,9287,153
2020-08-21,12171,63,133,0,9406,119
2020-08-22,12236,65,140,7,9533,127
2020-08-23,12302,66,144,4,9633,100
2020-08-24,12364,62,148,4,9638,5
2020-08-25,12428,64,152,4,9825,187
2020-08-26,12496,68,154,2,9970,145
2020-08-27,12565,69,157,3,10104,134
2020-08-28,12631,66,157,0,10188,84
2020-08-29,12696,65,158,1,10295,107
2020-08-30,12760,64,159,1,10321,26
2020-08-31,12827,67,159,0,10352,31
2020-09-01,12892,65,162,3,10454,102
2020-09-02,12967,75,165,3,10501,47
2020-09-03,13040,73,166,1,10555,54
2020-09-04,13110,70,168,2,10603,48
2020-09-05,13173,63,169,1,10682,79
2020-09-06,13233,60,170,1,10763,81
2020-09-07,13295,62,171,1,10764,1
2020-09-08,13358,63,173,2,10876,112
2020-09-09,13424,66,175,2,10960,84
2020-09-10,13493,69,176,1,11029,69
2020-09-11,13560,67,177,1,11073,44
2020-09-12,13628,68,180,3,11207,134
2020-09-13,13695,67,183,3,11212,5
2020-09-14,13764,69,185,2,11214,2
2020-09-15,13836,72,185,0,11346,132
2020-09-16,13911,75,188,3,11512,166
2020-09-17,13984,73,189,1,11579,67
2020-09-18,14060,76,192,3,11623,44
2020-09-19,14138,78,194,2,11694,71
2020-09-20,14215,77,196,2,11707,13
2020-09-21,14290,75,197,1,11744,37
2020-09-22,14362,72,199,2,11863,119
2020-09-23,14435,73,202,3,11944,81
2020-09-24,14510,75,205,3,12012,68
2020-09-25,14586,76,205,0,12030,18
2020-09-26,14661,75,208,3,12140,110
2020-09-27,14738,77,208,0,12171,31
2020-09-28,14819,81,208,0,12211,40
2020-09-29,14902,83,209,1,12323,112
2020-09-30,14989,87,214,5,12407,84
2020-10-01,15082,93,218,4,12482,75
2020-10-02,15174,92,222,4,12582,100
2020-10-03,15270,96,225,3,12642,60
2020-10-04,15375,105,225,0,12658,16
2020-10-05,15486,111,225,0,12707,49
2020-10-06,15610,124,228,3,12800,93
2020-10-07,15743,133,228,0,12916,116
2020-10-08,15885,142,228,0,13060,144
2020-10-09,16028,143,231,3,13163,103
2020-10-10,16176,148,234,3,13233,70
2020-10-11,16328,152,234,0,13241,8
2020-10-12,16479,151,234,0,13282,41
2020-10-13,16629,150,237,3,13387,105
2020-10-14,16788,159,238,1,13525,138
