date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,1,1,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,1,0,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,1,0,0,0,0,0
2020-03-26,1,0,0,0,0,0
2020-03-27,2,1,0,0,0,0
2020-03-28,7,5,0,0,0,0
2020-03-29,7,0,0,0,0,0
2020-03-30,9,2,0,0,0,0
2020-03-31,9,0,0,0,0,0
2020-04-01,11,2,0,0,0,0
2020-04-02,11,0,0,0,1,1
2020-04-03,13,2,0,0,1,0
2020-04-04,23,10,0,0,1,0
2020-04-05,23,0,0,0,1,0
2020-04-06,33,10,0,0,1,0
2020-04-07,47,14,0,0,1,0
2020-04-08,47,0,0,0,1,0
2020-04-09,60,13,0,0,7,6
2020-04-10,60,0,0,0,7,0
2020-04-11,62,2,0,0,7,0
2020-04-12,80,18,0,0,7,0
2020-04-13,86,6,0,0,7,0
2020-04-14,96,10,0,0,8,1
2020-04-15,121,25,0,0,8,0
2020-04-16,136,15,0,0,8,0
2020-04-17,149,13,0,0,10,2
2020-04-18,164,15,1,1,12,2
2020-04-19,183,19,1,0,12,0
2020-04-20,203,20,2,1,12,0
2020-04-21,213,10,2,0,12,0
2020-04-22,225,12,2,0,12,0
2020-04-23,239,14,2,0,12,0
2020-04-24,247,8,2,0,41,29
2020-04-25,263,16,2,0,41,0
2020-04-26,274,11,2,0,70,29
2020-04-27,282,8,2,0,70,0
2020-04-28,296,14,2,0,70,0
2020-04-29,327,31,2,0,70,0
2020-04-30,359,32,3,1,79,9
2020-05-01,403,44,3,0,79,0
2020-05-02,434,31,3,0,85,6
2020-05-03,456,22,4,1,87,2
2020-05-04,485,29,5,1,92,5
2020-05-05,517,32,6,1,99,7
2020-05-06,537,20,7,1,102,3
2020-05-07,595,58,7,0,119,17
2020-05-08,653,58,7,0,133,14
2020-05-09,679,26,10,3,164,31
2020-05-10,758,79,10,0,177,13
2020-05-11,843,85,11,1,180,3
2020-05-12,911,68,12,1,186,6
2020-05-13,921,10,12,0,232,46
2020-05-14,1023,102,12,0,272,40
2020-05-15,1124,101,13,1,307,35
2020-05-16,1192,68,13,0,333,26
2020-05-17,1245,53,13,0,334,1
2020-05-18,1291,46,13,0,343,9
2020-05-19,1313,22,15,2,397,54
2020-05-20,1360,47,16,1,426,29
2020-05-21,1415,55,16,0,444,18
2020-05-22,1463,48,16,0,478,34
2020-05-23,1505,42,17,1,509,31
2020-05-24,1566,61,17,0,514,5
2020-05-25,1602,36,17,0,516,2
2020-05-26,1639,37,18,1,551,35
2020-05-27,1686,47,18,0,599,48
2020-05-28,1745,59,18,0,646,47
2020-05-29,1813,68,18,0,707,61
2020-05-30,1900,87,18,0,783,76
2020-05-31,1977,77,18,0,783,0
2020-06-01,2057,80,18,0,786,3
2020-06-02,2140,83,18,0,864,78
2020-06-03,2205,65,18,0,928,64
2020-06-04,2322,117,20,2,963,35
2020-06-05,2447,125,20,0,997,34
2020-06-06,2577,130,22,2,1063,66
2020-06-07,2705,128,22,0,1064,1
2020-06-08,2822,117,22,0,1091,27
2020-06-09,2930,108,25,3,1196,105
2020-06-10,3031,101,25,0,1238,42
2020-06-11,3130,99,25,0,1307,69
2020-06-12,3228,98,27,2,1348,41
2020-06-13,3323,95,27,0,1351,3
2020-06-14,3417,94,27,0,1378,27
2020-06-15,3508,91,27,0,1388,10
2020-06-16,3599,91,30,3,1511,123
2020-06-17,3685,86,31,1,1676,165
2020-06-18,3768,83,32,1,1756,80
2020-06-19,3853,85,34,2,2035,279
2020-06-20,3934,81,35,1,2275,240
2020-06-21,4017,83,35,0,2276,1
2020-06-22,4098,81,35,0,2340,64
2020-06-23,4176,78,35,0,2498,158
2020-06-24,4253,77,37,2,2630,132
2020-06-25,4330,77,39,2,2643,13
2020-06-26,4405,75,40,1,2763,120
2020-06-27,4479,74,40,0,2836,73
2020-06-28,4550,71,43,3,2838,2
2020-06-29,4621,71,43,0,2869,31
2020-06-30,4691,70,44,1,2923,54
2020-07-01,4761,70,45,1,2967,44
2020-07-02,4829,68,45,0,2973,6
2020-07-03,4898,69,48,3,3073,100
2020-07-04,4965,67,49,1,3113,40
2020-07-05,5034,69,49,0,3116,3
2020-07-06,5102,68,49,0,3131,15
2020-07-07,5168,66,49,0,3177,46
2020-07-08,5232,64,51,2,3255,78
2020-07-09,5304,72,53,2,3331,76
2020-07-10,5371,67,55,2,3350,19
2020-07-11,5436,65,57,2,3436,86
2020-07-12,5501,65,58,1,3438,2
2020-07-13,5565,64,59,1,3464,26
2020-07-14,5629,64,59,0,3628,164
2020-07-15,5691,62,59,0,4015,387
2020-07-16,5752,61,61,2,4088,73
2020-07-17,5813,61,63,2,4153,65
2020-07-18,5876,63,64,1,4232,79
2020-07-19,5938,62,64,0,4241,9
2020-07-20,5998,60,64,0,4262,21
2020-07-21,6059,61,65,1,4387,125
2020-07-22,6116,57,65,0,4470,83
2020-07-23,6172,56,69,4,4510,40
2020-07-24,6222,50,74,5,4618,108
2020-07-25,6265,43,79,5,4682,64
2020-07-26,6303,38,83,4,4690,8
2020-07-27,6330,27,86,3,4693,3
2020-07-28,6352,22,88,2,4753,60
2020-07-29,6377,25,90,2,4906,153
2020-07-30,6401,24,91,1,4990,84
2020-07-31,6426,25,94,3,5052,62
2020-08-01,6452,26,97,3,5125,73
2020-08-02,6479,27,99,2,5132,7
2020-08-03,6500,21,102,3,5136,4
2020-08-04,6522,22,104,2,5158,22
2020-08-05,6546,24,107,3,5224,66
2020-08-06,6572,26,107,0,5275,51
2020-08-07,6597,25,107,0,5321,46
2020-08-08,6623,26,107,0,5350,29
2020-08-09,6650,27,107,0,5373,23
2020-08-10,6676,26,107,0,5373,0
2020-08-11,6700,24,108,1,5401,28
2020-08-12,6756,56,108,0,5426,25
2020-08-13,6785,29,109,1,5475,49
2020-08-14,6813,28,110,1,5509,34
2020-08-15,6845,32,111,1,5565,56
2020-08-16,6876,31,111,0,5568,3
2020-08-17,6909,33,111,0,5580,12
2020-08-18,6941,32,112,1,5701,121
2020-08-19,6974,33,112,0,5734,33
2020-08-20,7009,35,112,0,5797,63
2020-08-21,7042,33,112,0,5858,61
2020-08-22,7075,33,112,0,5878,20
2020-08-23,7110,35,112,0,5889,11
2020-08-24,7143,33,114,2,5890,1
2020-08-25,7175,32,115,1,5931,41
2020-08-26,7210,35,115,0,5979,48
2020-08-27,7248,38,117,2,6004,25
2020-08-28,7285,37,117,0,6060,56
2020-08-29,7321,36,118,1,6105,45
2020-08-30,7360,39,118,0,6105,0
2020-08-31,7397,37,118,0,6110,5
2020-09-01,7433,36,119,1,6156,46
2020-09-02,7471,38,119,0,6184,28
2020-09-03,7509,38,119,0,6257,73
2020-09-04,7549,40,120,1,6293,36
2020-09-05,7591,42,121,1,6305,12
2020-09-06,7634,43,121,0,6305,0
2020-09-07,7675,41,122,1,6309,4
2020-09-08,7715,40,122,0,6416,107
2020-09-09,7757,42,123,1,6435,19
2020-09-10,7800,43,123,0,6459,24
2020-09-11,7842,42,123,0,6496,37
2020-09-12,7883,41,125,2,6509,13
2020-09-13,7925,42,125,0,6509,0
2020-09-14,7968,43,125,0,6515,6
2020-09-15,8009,41,126,1,6561,46
2020-09-16,8052,43,126,0,6612,51
2020-09-17,8096,44,128,2,6650,38
2020-09-18,8138,42,129,1,6684,34
2020-09-19,8184,46,130,1,6708,24
2020-09-20,8228,44,130,0,6711,3
2020-09-21,8271,43,130,0,6711,0
2020-09-22,8315,44,130,0,6753,42
2020-09-23,8360,45,132,2,6776,23
2020-09-24,8407,47,132,0,6845,69
2020-09-25,8452,45,132,0,6857,12
2020-09-26,8500,48,132,0,6891,34
2020-09-27,8550,50,134,2,6892,1
2020-09-28,8603,53,134,0,6892,0
2020-09-29,8654,51,134,0,6935,43
2020-09-30,8708,54,134,0,6970,35
2020-10-01,8764,56,134,0,6991,21
2020-10-02,8822,58,136,2,7026,35
2020-10-03,8881,59,137,1,7061,35
2020-10-04,8946,65,138,1,7078,17
2020-10-05,9014,68,138,0,7078,0
2020-10-06,9081,67,138,0,7127,49
2020-10-07,9151,70,141,3,7181,54
2020-10-08,9222,71,141,0,7272,91
2020-10-09,9295,73,143,2,7298,26
2020-10-10,9370,75,144,1,7317,19
2020-10-11,9448,78,144,0,7317,0
2020-10-12,9531,83,145,1,7329,12
2020-10-13,9616,85,148,3,7383,54
2020-10-14,9702,86,151,3,7415,32
