date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,1,1,0,0,0,0
2020-03-18,1,0,0,0,0,0
2020-03-19,1,0,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,1,0,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,1,0,0,0,0,0
2020-03-26,2,1,0,0,0,0
2020-03-27,2,0,0,0,0,0
2020-03-28,2,0,0,0,0,0
2020-03-29,2,0,0,0,0,0
2020-03-30,3,1,0,0,0,0
2020-03-31,3,0,0,0,0,0
2020-04-01,3,0,0,0,0,0
2020-04-02,3,0,0,0,0,0
2020-04-03,3,0,0,0,0,0
2020-04-04,3,0,0,0,1,1
2020-04-05,3,0,0,0,1,0
2020-04-06,5,2,0,0,1,0
2020-04-07,5,0,0,0,1,0
2020-04-08,6,1,0,0,1,0
2020-04-09,6,0,0,0,1,0
2020-04-10,9,3,0,0,3,2
2020-04-11,12,3,0,0,3,0
2020-04-12,12,0,0,0,3,0
2020-04-13,12,0,0,0,3,0
2020-04-14,20,8,0,0,3,0
2020-04-15,26,6,0,0,3,0
2020-04-16,27,1,0,0,3,0
2020-04-17,38,11,0,0,3,0
2020-04-18,46,8,0,0,3,0
2020-04-19,68,22,0,0,3,0
2020-04-20,76,8,0,0,3,0
2020-04-21,84,8,0,0,4,1
2020-04-22,87,3,0,0,4,0
2020-04-23,99,12,0,0,8,4
2020-04-24,102,3,1,1,10,2
2020-04-25,151,49,2,1,10,0
2020-04-26,176,25,2,0,15,5
2020-04-27,184,8,2,0,15,0
2020-04-28,206,22,7,5,17,2
2020-04-29,228,22,7,0,20,3
2020-04-30,232,4,7,0,20,0
2020-05-01,257,25,7,0,22,2
2020-05-02,266,9,7,0,22,0
2020-05-03,272,6,7,0,22,0
2020-05-04,302,30,7,0,25,3
2020-05-05,318,16,8,1,32,7
2020-05-06,340,22,8,0,35,3
2020-05-07,352,12,8,0,50,15
2020-05-08,367,15,8,0,50,0
2020-05-09,403,36,8,0,94,44
2020-05-10,425,22,8,0,96,2
2020-05-11,466,41,8,0,96,0
2020-05-12,503,37,8,0,102,6
2020-05-13,524,21,9,1,146,44
2020-05-14,532,8,9,0,154,8
2020-05-15,557,25,9,0,192,38
2020-05-16,595,38,10,1,228,36
2020-05-17,618,23,10,0,237,9
2020-05-18,642,24,10,0,249,12
2020-05-19,667,25,10,0,299,50
2020-05-20,695,28,10,0,329,30
2020-05-21,724,29,10,0,366,37
2020-05-22,747,23,10,0,394,28
2020-05-23,778,31,10,0,426,32
2020-05-24,789,11,10,0,429,3
2020-05-25,813,24,10,0,430,1
2020-05-26,836,23,10,0,465,35
2020-05-27,856,20,10,0,489,24
2020-05-28,878,22,10,0,511,22
2020-05-29,910,32,10,0,531,20
2020-05-30,940,30,10,0,558,27
2020-05-31,964,24,10,0,563,5
2020-06-01,985,21,10,0,564,1
2020-06-02,1020,35,10,0,585,21
2020-06-03,1052,32,10,0,609,24
2020-06-04,1077,25,10,0,655,46
2020-06-05,1102,25,10,0,680,25
2020-06-06,1111,9,10,0,711,31
2020-06-07,1128,17,10,0,757,46
2020-06-08,1141,13,10,0,782,25
2020-06-09,1165,24,10,0,822,40
2020-06-10,1191,26,10,0,851,29
2020-06-11,1229,38,10,0,871,20
2020-06-12,1266,37,10,0,902,31
2020-06-13,1299,33,10,0,905,3
2020-06-14,1332,33,10,0,913,8
2020-06-15,1356,24,10,0,947,34
2020-06-16,1381,25,10,0,1058,111
2020-06-17,1409,28,12,2,1099,41
2020-06-18,1444,35,12,0,1131,32
2020-06-19,1490,46,13,1,1148,17
2020-06-20,1537,47,13,0,1159,11
2020-06-21,1583,46,13,0,1161,2
2020-06-22,1612,29,13,0,1161,0
2020-06-23,1631,19,15,2,1218,57
2020-06-24,1661,30,15,0,1255,37
2020-06-25,1696,35,15,0,1257,2
2020-06-26,1735,39,15,0,1286,29
2020-06-27,1771,36,15,0,1310,24
2020-06-28,1812,41,15,0,1322,12
2020-06-29,1844,32,15,0,1322,0
2020-06-30,1872,28,15,0,1340,18
2020-07-01,1904,32,15,0,1356,16
2020-07-02,1935,31,15,0,1361,5
2020-07-03,1973,38,17,2,1373,12
2020-07-04,2013,40,17,0,1389,16
2020-07-05,2055,42,17,0,1389,0
2020-07-06,2083,28,18,1,1450,61
2020-07-07,2109,26,18,0,1532,82
2020-07-08,2142,33,19,1,1615,83
2020-07-09,2187,45,19,0,1634,19
2020-07-10,2236,49,19,0,1678,44
2020-07-11,2285,49,19,0,1737,59
2020-07-12,2329,44,19,0,1738,1
2020-07-13,2374,45,19,0,1748,10
2020-07-14,2415,41,19,0,1796,48
2020-07-15,2450,35,19,0,1844,48
2020-07-16,2484,34,23,4,1909,65
2020-07-17,2520,36,25,2,1969,60
2020-07-18,2558,38,25,0,2016,47
2020-07-19,2595,37,25,0,2043,27
2020-07-20,2628,33,26,1,2067,24
2020-07-21,2649,21,27,1,2139,72
2020-07-22,2668,19,28,1,2179,40
2020-07-23,2689,21,29,1,2212,33
2020-07-24,2709,20,30,1,2249,37
2020-07-25,2730,21,30,0,2274,25
2020-07-26,2749,19,30,0,2282,8
2020-07-27,2769,20,30,0,2294,12
2020-07-28,2786,17,31,1,2342,48
2020-07-29,2802,16,31,0,2392,50
2020-07-30,2818,16,32,1,2444,52
2020-07-31,2836,18,32,0,2491,47
2020-08-01,2855,19,32,0,2516,25
2020-08-02,2876,21,32,0,2517,1
2020-08-03,2899,23,32,0,2521,4
2020-08-04,2922,23,32,0,2570,49
2020-08-05,2944,22,32,0,2603,33
2020-08-06,2965,21,33,1,2635,32
2020-08-07,2984,19,33,0,2667,32
2020-08-08,3002,18,35,2,2679,12
2020-08-09,3019,17,35,0,2679,0
2020-08-10,3036,17,35,0,2685,6
2020-08-11,3052,16,35,0,2713,28
2020-08-12,3071,19,37,2,2751,38
2020-08-13,3089,18,37,0,2787,36
2020-08-14,3107,18,37,0,2797,10
2020-08-15,3126,19,37,0,2834,37
2020-08-16,3144,18,37,0,2834,0
2020-08-17,3161,17,37,0,2840,6
2020-08-18,3177,16,37,0,2874,34
2020-08-19,3195,18,38,1,2932,58
2020-08-20,3214,19,39,1,2952,20
2020-08-21,3234,20,39,0,2988,36
2020-08-22,3253,19,39,0,3004,16
2020-08-23,3271,18,39,0,3004,0
2020-08-24,3289,18,39,0,3004,0
2020-08-25,3308,19,39,0,3034,30
2020-08-26,3326,18,39,0,3063,29
2020-08-27,3345,19,41,2,3079,16
2020-08-28,3362,17,42,1,3097,18
2020-08-29,3379,17,42,0,3113,16
2020-08-30,3396,17,42,0,3115,2
2020-08-31,3415,19,42,0,3118,3
2020-09-01,3434,19,43,1,3145,27
2020-09-02,3455,21,45,2,3153,8
2020-09-03,3478,23,45,0,3168,15
2020-09-04,3503,25,45,0,3180,12
2020-09-05,3529,26,47,2,3195,15
2020-09-06,3556,27,47,0,3196,1
2020-09-07,3583,27,47,0,3196,0
2020-09-08,3611,28,47,0,3215,19
2020-09-09,3641,30,47,0,3224,9
2020-09-10,3674,33,47,0,3235,11
2020-09-11,3708,34,47,0,3252,17
2020-09-12,3741,33,47,0,3266,14
2020-09-13,3774,33,47,0,3274,8
2020-09-14,3806,32,47,0,3278,4
2020-09-15,3835,29,47,0,3294,16
2020-09-16,3865,30,47,0,3311,17
2020-09-17,3896,31,47,0,3341,30
2020-09-18,3928,32,47,0,3355,14
2020-09-19,3963,35,47,0,3366,11
2020-09-20,3999,36,47,0,3387,21
2020-09-21,4034,35,47,0,3414,27
2020-09-22,4068,34,48,1,3478,64
2020-09-23,4104,36,48,0,3520,42
2020-09-24,4141,37,48,0,3550,30
2020-09-25,4179,38,48,0,3555,5
2020-09-26,4218,39,48,0,3587,32
2020-09-27,4258,40,48,0,3589,2
2020-09-28,4298,40,48,0,3601,12
2020-09-29,4339,41,48,0,3662,61
2020-09-30,4381,42,48,0,3719,57
2020-10-01,4423,42,48,0,3770,51
2020-10-02,4466,43,48,0,3843,73
2020-10-03,4513,47,48,0,3873,30
2020-10-04,4561,48,48,0,3875,2
2020-10-05,4611,50,48,0,3927,52
2020-10-06,4660,49,48,0,3976,49
2020-10-07,4712,52,48,0,4038,62
2020-10-08,4771,59,48,0,4078,40
2020-10-09,4836,65,48,0,4131,53
2020-10-10,4899,63,48,0,4163,32
2020-10-11,4963,64,48,0,4164,1
2020-10-12,5028,65,48,0,4185,21
2020-10-13,5094,66,48,0,4230,45
2020-10-14,5161,67,51,3,4275,45
