date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,3,3,0,0,0,0
2020-03-30,3,0,0,0,0,0
2020-03-31,3,0,0,0,0,0
2020-04-01,7,4,0,0,0,0
2020-04-02,9,2,0,0,0,0
2020-04-03,9,0,0,0,0,0
2020-04-04,10,1,0,0,0,0
2020-04-05,10,0,0,0,0,0
2020-04-06,10,0,0,0,0,0
2020-04-07,14,4,0,0,0,0
2020-04-08,15,1,0,0,0,0
2020-04-09,15,0,0,0,0,0
2020-04-10,17,2,0,0,3,3
2020-04-11,17,0,0,0,3,0
2020-04-12,19,2,0,0,5,2
2020-04-13,20,1,0,0,5,0
2020-04-14,20,0,0,0,6,1
2020-04-15,22,2,0,0,9,3
2020-04-16,23,1,0,0,9,0
2020-04-17,26,3,0,0,9,0
2020-04-18,31,5,0,0,13,4
2020-04-19,33,2,0,0,14,1
2020-04-20,36,3,0,0,16,2
2020-04-21,41,5,0,0,16,0
2020-04-22,45,4,0,0,17,1
2020-04-23,53,8,0,0,19,2
2020-04-24,54,1,0,0,19,0
2020-04-25,58,4,1,1,19,0
2020-04-26,62,4,1,0,20,1
2020-04-27,71,9,1,0,20,0
2020-04-28,82,11,1,0,21,1
2020-04-29,87,5,2,1,22,1
2020-04-30,97,10,3,1,24,2
2020-05-01,107,10,3,0,26,2
2020-05-02,116,9,3,0,26,0
2020-05-03,127,11,3,0,27,1
2020-05-04,161,34,3,0,31,4
2020-05-05,191,30,3,0,39,8
2020-05-06,197,6,3,0,40,1
2020-05-07,208,11,4,1,46,6
2020-05-08,223,15,6,2,46,0
2020-05-09,245,22,6,0,54,8
2020-05-10,279,34,6,0,54,0
2020-05-11,302,23,7,1,58,4
2020-05-12,332,30,7,0,59,1
2020-05-13,355,23,7,0,68,9
2020-05-14,389,34,7,0,70,2
2020-05-15,436,47,7,0,74,4
2020-05-16,476,40,7,0,88,14
2020-05-17,534,58,7,0,88,0
2020-05-18,599,65,7,0,91,3
2020-05-19,652,53,7,0,104,13
2020-05-20,717,65,7,0,115,11
2020-05-21,764,47,7,0,120,5
2020-05-22,838,74,7,0,131,11
2020-05-23,925,87,16,9,192,61
2020-05-24,985,60,18,2,228,36
2020-05-25,1044,59,18,0,228,0
2020-05-26,1097,53,18,0,265,37
2020-05-27,1139,42,18,0,288,23
2020-05-28,1226,87,18,0,301,13
2020-05-29,1268,42,18,0,313,12
2020-05-30,1318,50,18,0,340,27
2020-05-31,1387,69,18,0,349,9
2020-06-01,1411,24,18,0,359,10
2020-06-02,1437,26,18,0,386,27
2020-06-03,1482,45,18,0,437,51
2020-06-04,1540,58,18,0,566,129
2020-06-05,1595,55,18,0,605,39
2020-06-06,1676,81,18,0,664,59
2020-06-07,1718,42,18,0,684,20
2020-06-08,1776,58,18,0,689,5
2020-06-09,1851,75,18,0,758,69
2020-06-10,1930,79,18,0,968,210
2020-06-11,1977,47,23,5,1098,130
2020-06-12,2063,86,23,0,1189,91
2020-06-13,2148,85,23,0,1213,24
2020-06-14,2247,99,23,0,1218,5
2020-06-15,2340,93,23,0,1226,8
2020-06-16,2437,97,24,1,1281,55
2020-06-17,2535,98,24,0,1335,54
2020-06-18,2624,89,24,0,1504,169
2020-06-19,2727,103,24,0,1558,54
2020-06-20,2821,94,25,1,1602,44
2020-06-21,2920,99,25,0,1638,36
2020-06-22,3018,98,25,0,1660,22
2020-06-23,3100,82,27,2,1767,107
2020-06-24,3184,84,27,0,1814,47
2020-06-25,3236,52,27,0,1851,37
2020-06-26,3297,61,27,0,1910,59
2020-06-27,3372,75,27,0,1955,45
2020-06-28,3455,83,27,0,1976,21
2020-06-29,3533,78,30,3,1984,8
2020-06-30,3615,82,30,0,2005,21
2020-07-01,3701,86,30,0,2023,18
2020-07-02,3780,79,30,0,2028,5
2020-07-03,3863,83,30,0,2079,51
2020-07-04,3950,87,30,0,2157,78
2020-07-05,4036,86,33,3,2173,16
2020-07-06,4120,84,35,2,2209,36
2020-07-07,4202,82,37,2,2322,113
2020-07-08,4285,83,38,1,2394,72
2020-07-09,4374,89,38,0,2512,118
2020-07-10,4469,95,40,2,2581,69
2020-07-11,4563,94,40,0,2626,45
2020-07-12,4656,93,40,0,2649,23
2020-07-13,4751,95,40,0,2697,48
2020-07-14,4844,93,42,2,2756,59
2020-07-15,4949,105,44,2,2849,93
2020-07-16,5066,117,46,2,2901,52
2020-07-17,5172,106,47,1,2972,71
2020-07-18,5286,114,50,3,3095,123
2020-07-19,5395,109,50,0,3141,46
2020-07-20,5503,108,52,2,3182,41
2020-07-21,5607,104,54,2,3290,108
2020-07-22,5725,118,54,0,3420,130
2020-07-23,5854,129,56,2,3572,152
2020-07-24,5969,115,56,0,3707,135
2020-07-25,6077,108,60,4,3967,260
2020-07-26,6184,107,62,2,3969,2
2020-07-27,6298,114,62,0,3972,3
2020-07-28,6413,115,62,0,4003,31
2020-07-29,6524,111,64,2,4042,39
2020-07-30,6643,119,68,4,4176,134
2020-07-31,6768,125,68,0,4300,124
2020-08-01,6882,114,68,0,4444,144
2020-08-02,6990,108,68,0,4450,6
2020-08-03,7102,112,71,3,4517,67
2020-08-04,7209,107,76,5,4678,161
2020-08-05,7318,109,79,3,4897,219
2020-08-06,7424,106,79,0,5141,244
2020-08-07,7531,107,82,3,5282,141
2020-08-08,7636,105,85,3,5374,92
2020-08-09,7748,112,88,3,5392,18
2020-08-10,7856,108,92,4,5410,18
2020-08-11,7961,105,94,2,5592,182
2020-08-12,8067,106,101,7,5724,132
2020-08-13,8175,108,106,5,5913,189
2020-08-14,8281,106,111,5,6024,111
2020-08-15,8388,107,116,5,6164,140
2020-08-16,8491,103,122,6,6222,58
2020-08-17,8590,99,122,0,6265,43
2020-08-18,8684,94,130,8,6371,106
2020-08-19,8776,92,136,6,6541,170
2020-08-20,8839,63,141,5,6696,155
2020-08-21,8893,54,145,4,6800,104
2020-08-22,8950,57,150,5,6930,130
2020-08-23,8999,49,155,5,6937,7
2020-08-24,9043,44,159,4,6966,29
2020-08-25,9070,27,163,4,7042,76
2020-08-26,9085,15,167,4,7143,101
2020-08-27,9115,30,171,4,7240,97
2020-08-28,9154,39,175,4,7356,116
2020-08-29,9197,43,180,5,7438,82
2020-08-30,9241,44,180,0,7444,6
2020-08-31,9282,41,187,7,7444,0
2020-09-01,9324,42,193,6,7627,183
2020-09-02,9369,45,198,5,7766,139
2020-09-03,9412,43,203,5,7877,111
2020-09-04,9458,46,207,4,7930,53
2020-09-05,9507,49,211,4,7974,44
2020-09-06,9560,53,215,4,7974,0
2020-09-07,9614,54,220,5,7974,0
2020-09-08,9670,56,224,4,8124,150
2020-09-09,9724,54,228,4,8229,105
2020-09-10,9779,55,232,4,8298,69
2020-09-11,9830,51,235,3,8387,89
2020-09-12,9885,55,239,4,8469,82
2020-09-13,9930,45,242,3,8469,0
2020-09-14,9962,32,242,0,8475,6
2020-09-15,10006,44,248,6,8576,101
2020-09-16,10040,34,252,4,8638,62
2020-09-17,10088,48,255,3,8733,95
2020-09-18,10140,52,255,0,8801,68
2020-09-19,10190,50,261,6,8917,116
2020-09-20,10249,59,265,4,8918,1
2020-09-21,10307,58,268,3,8925,7
2020-09-22,10376,69,271,3,9036,111
2020-09-23,10449,73,271,0,9113,77
2020-09-24,10521,72,275,4,9216,103
2020-09-25,10597,76,275,0,9250,34
2020-09-26,10679,82,281,6,9348,98
2020-09-27,10765,86,284,3,9352,4
2020-09-28,10853,88,284,0,9360,8
2020-09-29,10938,85,289,5,9464,104
2020-09-30,11028,90,293,4,9587,123
2020-10-01,11117,89,297,4,9776,189
2020-10-02,11213,96,301,4,9943,167
2020-10-03,11311,98,305,4,10111,168
2020-10-04,11410,99,308,3,10115,4
2020-10-05,11509,99,312,4,10145,30
2020-10-06,11610,101,316,4,10213,68
2020-10-07,11719,109,320,4,10307,94
2020-10-08,11836,117,324,4,10381,74
2020-10-09,11968,132,328,4,10469,88
2020-10-10,12111,143,328,0,10583,114
2020-10-11,12258,147,335,7,10609,26
2020-10-12,12407,149,341,6,10637,28
2020-10-13,12559,152,346,5,10733,96
2020-10-14,12714,155,350,4,10804,71
