date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,2,2,0,0,0,0
2020-03-28,2,0,0,0,0,0
2020-03-29,3,1,0,0,0,0
2020-03-30,3,0,0,0,0,0
2020-03-31,3,0,0,0,0,0
2020-04-01,4,1,0,0,0,0
2020-04-02,4,0,0,0,0,0
2020-04-03,4,0,0,0,0,0
2020-04-04,5,1,0,0,0,0
2020-04-05,5,0,0,0,2,2
2020-04-06,6,1,0,0,2,0
2020-04-07,6,0,0,0,3,1
2020-04-08,13,7,0,0,3,0
2020-04-09,17,4,0,0,3,0
2020-04-10,19,2,0,0,3,0
2020-04-11,19,0,0,0,4,1
2020-04-12,42,23,0,0,4,0
2020-04-13,58,16,0,0,4,0
2020-04-14,71,13,0,0,4,0
2020-04-15,71,0,0,0,5,1
2020-04-16,71,0,1,1,5,0
2020-04-17,136,65,1,0,5,0
2020-04-18,198,62,1,0,5,0
2020-04-19,258,60,1,0,5,0
2020-04-20,293,35,1,0,5,0
2020-04-21,327,34,1,0,10,5
2020-04-22,357,30,1,0,11,1
2020-04-23,385,28,1,0,13,2
2020-04-24,424,39,2,1,18,5
2020-04-25,469,45,2,0,18,0
2020-04-26,518,49,2,0,36,18
2020-04-27,560,42,2,0,36,0
2020-04-28,592,32,2,0,36,0
2020-04-29,659,67,3,1,49,13
2020-04-30,698,39,3,0,72,23
2020-05-01,728,30,3,0,86,14
2020-05-02,765,37,3,0,94,8
2020-05-03,808,43,3,0,97,3
2020-05-04,867,59,4,1,98,1
2020-05-05,923,56,5,1,121,23
2020-05-06,977,54,5,0,140,19
2020-05-07,1018,41,6,1,145,5
2020-05-08,1055,37,8,2,160,15
2020-05-09,1102,47,8,0,197,37
2020-05-10,1148,46,8,0,216,19
2020-05-11,1190,42,8,0,237,21
2020-05-12,1225,35,8,0,237,0
2020-05-13,1262,37,9,1,252,15
2020-05-14,1296,34,9,0,312,60
2020-05-15,1323,27,9,0,350,38
2020-05-16,1348,25,9,0,357,7
2020-05-17,1376,28,9,0,412,55
2020-05-18,1409,33,9,0,418,6
2020-05-19,1443,34,9,0,434,16
2020-05-20,1477,34,9,0,463,29
2020-05-21,1512,35,9,0,478,15
2020-05-22,1548,36,11,2,493,15
2020-05-23,1580,32,12,1,531,38
2020-05-24,1612,32,12,0,542,11
2020-05-25,1646,34,12,0,542,0
2020-05-26,1684,38,12,0,553,11
2020-05-27,1727,43,12,0,568,15
2020-05-28,1776,49,12,0,636,68
2020-05-29,1820,44,12,0,738,102
2020-05-30,1860,40,12,0,777,39
2020-05-31,1895,35,12,0,799,22
2020-06-01,1931,36,12,0,827,28
2020-06-02,1970,39,13,1,898,71
2020-06-03,2012,42,14,1,954,56
2020-06-04,2051,39,14,0,1016,62
2020-06-05,2098,47,15,1,1064,48
2020-06-06,2138,40,18,3,1111,47
2020-06-07,2185,47,18,0,1123,12
2020-06-08,2230,45,18,0,1155,32
2020-06-09,2296,66,18,0,1191,36
2020-06-10,2360,64,18,0,1225,34
2020-06-11,2418,58,20,2,1297,72
2020-06-12,2480,62,20,0,1327,30
2020-06-13,2538,58,20,0,1351,24
2020-06-14,2596,58,21,1,1470,119
2020-06-15,2652,56,21,0,1471,1
2020-06-16,2707,55,22,1,1680,209
2020-06-17,2762,55,22,0,1697,17
2020-06-18,2818,56,22,0,1755,58
2020-06-19,2874,56,23,1,1812,57
2020-06-20,2931,57,23,0,1817,5
2020-06-21,2986,55,23,0,1858,41
2020-06-22,3040,54,23,0,1862,4
2020-06-23,3094,54,24,1,1915,53
2020-06-24,3143,49,24,0,2007,92
2020-06-25,3192,49,24,0,2029,22
2020-06-26,3240,48,25,1,2083,54
2020-06-27,3284,44,26,1,2106,23
2020-06-28,3324,40,26,0,2119,13
2020-06-29,3359,35,26,0,2158,39
2020-06-30,3394,35,26,0,2200,42
2020-07-01,3431,37,27,1,2250,50
2020-07-02,3467,36,27,0,2303,53
2020-07-03,3505,38,27,0,2370,67
2020-07-04,3542,37,27,0,2397,27
2020-07-05,3577,35,27,0,2408,11
2020-07-06,3611,34,27,0,2437,29
2020-07-07,3646,35,27,0,2495,58
2020-07-08,3680,34,27,0,2559,64
2020-07-09,3717,37,28,1,2605,46
2020-07-10,3755,38,28,0,2660,55
2020-07-11,3792,37,28,0,2708,48
2020-07-12,3829,37,29,1,2741,33
2020-07-13,3865,36,29,0,2755,14
2020-07-14,3901,36,29,0,2799,44
2020-07-15,3938,37,29,0,2847,48
2020-07-16,3976,38,30,1,2887,40
2020-07-17,4014,38,30,0,2926,39
2020-07-18,4051,37,32,2,2950,24
2020-07-19,4086,35,32,0,2973,23
2020-07-20,4121,35,32,0,2990,17
2020-07-21,4157,36,32,0,3046,56
2020-07-22,4192,35,32,0,3087,41
2020-07-23,4227,35,32,0,3132,45
2020-07-24,4261,34,32,0,3173,41
2020-07-25,4295,34,33,1,3213,40
2020-07-26,4328,33,33,0,3237,24
2020-07-27,4360,32,33,0,3270,33
2020-07-28,4392,32,34,1,3309,39
2020-07-29,4424,32,34,0,3348,39
2020-07-30,4457,33,34,0,3389,41
2020-07-31,4490,33,34,0,3429,40
2020-08-01,4522,32,38,4,3474,45
2020-08-02,4553,31,38,0,3478,4
2020-08-03,4585,32,38,0,3502,24
2020-08-04,4616,31,38,0,3542,40
2020-08-05,4647,31,38,0,3574,32
2020-08-06,4679,32,38,0,3606,32
2020-08-07,4709,30,38,0,3627,21
2020-08-08,4739,30,38,0,3642,15
2020-08-09,4768,29,38,0,3671,29
2020-08-10,4798,30,38,0,3697,26
2020-08-11,4828,30,38,0,3713,16
2020-08-12,4857,29,38,0,3737,24
2020-08-13,4888,31,38,0,3768,31
2020-08-14,4920,32,38,0,3809,41
2020-08-15,4952,32,38,0,3827,18
2020-08-16,4983,31,38,0,3877,50
2020-08-17,5015,32,38,0,3901,24
2020-08-18,5047,32,38,0,3916,15
2020-08-19,5078,31,38,0,3952,36
2020-08-20,5109,31,38,0,3987,35
2020-08-21,5141,32,38,0,4028,41
2020-08-22,5174,33,38,0,4062,34
2020-08-23,5207,33,38,0,4093,31
2020-08-24,5238,31,38,0,4099,6
2020-08-25,5269,31,38,0,4139,40
2020-08-26,5301,32,38,0,4165,26
2020-08-27,5334,33,38,0,4192,27
2020-08-28,5367,33,38,0,4218,26
2020-08-29,5399,32,38,0,4239,21
2020-08-30,5430,31,38,0,4263,24
2020-08-31,5462,32,38,0,4287,24
2020-09-01,5493,31,38,0,4310,23
2020-09-02,5524,31,38,0,4330,20
2020-09-03,5556,32,38,0,4365,35
2020-09-04,5587,31,38,0,4403,38
2020-09-05,5620,33,38,0,4433,30
2020-09-06,5652,32,38,0,4476,43
2020-09-07,5683,31,38,0,4522,46
2020-09-08,5714,31,38,0,4562,40
2020-09-09,5745,31,38,0,4584,22
2020-09-10,5776,31,38,0,4600,16
2020-09-11,5808,32,39,1,4659,59
2020-09-12,5838,30,39,0,4671,12
2020-09-13,5870,32,39,0,4736,65
2020-09-14,5901,31,39,0,4795,59
2020-09-15,5931,30,39,0,4843,48
2020-09-16,5961,30,39,0,4892,49
2020-09-17,5992,31,39,0,4944,52
2020-09-18,6024,32,40,1,4998,54
2020-09-19,6057,33,40,0,5025,27
2020-09-20,6090,33,40,0,5049,24
2020-09-21,6122,32,40,0,5096,47
2020-09-22,6155,33,40,0,5136,40
2020-09-23,6188,33,40,0,5170,34
2020-09-24,6220,32,40,0,5199,29
2020-09-25,6254,34,40,0,5202,3
2020-09-26,6288,34,40,0,5242,40
2020-09-27,6324,36,41,1,5267,25
2020-09-28,6361,37,41,0,5285,18
2020-09-29,6400,39,41,0,5316,31
2020-09-30,6438,38,41,0,5349,33
2020-10-01,6477,39,41,0,5382,33
2020-10-02,6514,37,41,0,5430,48
2020-10-03,6553,39,42,1,5466,36
2020-10-04,6594,41,42,0,5510,44
2020-10-05,6636,42,42,0,5513,3
2020-10-06,6681,45,42,0,5555,42
2020-10-07,6728,47,42,0,5601,46
2020-10-08,6777,49,43,1,5642,41
2020-10-09,6827,50,43,0,5684,42
2020-10-10,6885,58,44,1,5724,40
2020-10-11,6946,61,44,0,5773,49
2020-10-12,7011,65,44,0,5818,45
2020-10-13,7076,65,44,0,5865,47
2020-10-14,7142,66,45,1,5913,48
