date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,1,1,0,0,0,0
2020-03-30,1,0,0,0,0,0
2020-03-31,1,0,0,0,0,0
2020-04-01,1,0,0,0,0,0
2020-04-02,1,0,0,0,0,0
2020-04-03,1,0,0,0,0,0
2020-04-04,4,3,0,0,0,0
2020-04-05,4,0,0,0,0,0
2020-04-06,4,0,0,0,0,0
2020-04-07,4,0,0,0,0,0
2020-04-08,4,0,0,0,0,0
2020-04-09,4,0,0,0,1,1
2020-04-10,4,0,0,0,1,0
2020-04-11,6,2,0,0,1,0
2020-04-12,6,0,0,0,1,0
2020-04-13,6,0,0,0,1,0
2020-04-14,6,0,0,0,1,0
2020-04-15,6,0,0,0,1,0
2020-04-16,9,3,0,0,1,0
2020-04-17,11,2,0,0,3,2
2020-04-18,14,3,0,0,4,1
2020-04-19,16,2,0,0,4,0
2020-04-20,20,4,0,0,4,0
2020-04-21,20,0,0,0,4,0
2020-04-22,23,3,0,0,4,0
2020-04-23,25,2,0,0,5,1
2020-04-24,28,3,0,0,5,0
2020-04-25,33,5,0,0,5,0
2020-04-26,36,3,0,0,5,0
2020-04-27,40,4,0,0,5,0
2020-04-28,41,1,0,0,10,5
2020-04-29,46,5,0,0,10,0
2020-04-30,56,10,1,1,10,0
2020-05-01,67,11,1,0,12,2
2020-05-02,72,5,1,0,13,1
2020-05-03,79,7,1,0,13,0
2020-05-04,84,5,1,0,14,1
2020-05-05,98,14,1,0,14,0
2020-05-06,106,8,1,0,16,2
2020-05-07,112,6,1,0,16,0
2020-05-08,123,11,1,0,20,4
2020-05-09,135,12,1,0,20,0
2020-05-10,140,5,1,0,24,4
2020-05-11,152,12,1,0,24,0
2020-05-12,169,17,1,0,30,6
2020-05-13,182,13,1,0,35,5
2020-05-14,194,12,1,0,41,6
2020-05-15,204,10,1,0,44,3
2020-05-16,212,8,1,0,49,5
2020-05-17,222,10,1,0,51,2
2020-05-18,238,16,1,0,54,3
2020-05-19,247,9,1,0,65,11
2020-05-20,277,30,1,0,71,6
2020-05-21,294,17,1,0,75,4
2020-05-22,317,23,1,0,84,9
2020-05-23,340,23,1,0,95,11
2020-05-24,355,15,5,4,95,0
2020-05-25,385,30,5,0,95,0
2020-05-26,401,16,5,0,113,18
2020-05-27,414,13,5,0,133,20
2020-05-28,433,19,5,0,139,6
2020-05-29,461,28,5,0,151,12
2020-05-30,486,25,5,0,161,10
2020-05-31,506,20,5,0,163,2
2020-06-01,528,22,5,0,167,4
2020-06-02,546,18,5,0,188,21
2020-06-03,566,20,5,0,198,10
2020-06-04,588,22,5,0,216,18
2020-06-05,615,27,5,0,228,12
2020-06-06,657,42,5,0,249,21
2020-06-07,702,45,5,0,252,3
2020-06-08,748,46,5,0,252,0
2020-06-09,796,48,5,0,261,9
2020-06-10,835,39,5,0,296,35
2020-06-11,873,38,5,0,325,29
2020-06-12,914,41,5,0,345,20
2020-06-13,973,59,5,0,350,5
2020-06-14,1018,45,6,1,359,9
2020-06-15,1062,44,6,0,371,12
2020-06-16,1100,38,6,0,409,38
2020-06-17,1138,38,7,1,449,40
2020-06-18,1181,43,7,0,480,31
2020-06-19,1230,49,7,0,491,11
2020-06-20,1283,53,7,0,515,24
2020-06-21,1340,57,7,0,520,5
2020-06-22,1399,59,7,0,540,20
2020-06-23,1444,45,7,0,575,35
2020-06-24,1490,46,7,0,597,22
2020-06-25,1528,38,9,2,609,12
2020-06-26,1572,44,9,0,667,58
2020-06-27,1610,38,9,0,690,23
2020-06-28,1651,41,9,0,702,12
2020-06-29,1682,31,9,0,704,2
2020-06-30,1707,25,11,2,786,82
2020-07-01,1734,27,13,2,825,39
2020-07-02,1765,31,13,0,842,17
2020-07-03,1795,30,13,0,899,57
2020-07-04,1826,31,13,0,920,21
2020-07-05,1860,34,16,3,927,7
2020-07-06,1889,29,16,0,937,10
2020-07-07,1917,28,16,0,978,41
2020-07-08,1944,27,20,4,1002,24
2020-07-09,1975,31,22,2,1049,47
2020-07-10,2019,44,23,1,1091,42
2020-07-11,2057,38,23,0,1119,28
2020-07-12,2097,40,23,0,1127,8
2020-07-13,2143,46,23,0,1149,22
2020-07-14,2185,42,27,4,1194,45
2020-07-15,2227,42,30,3,1234,40
2020-07-16,2271,44,30,0,1302,68
2020-07-17,2314,43,31,1,1373,71
2020-07-18,2354,40,31,0,1427,54
2020-07-19,2393,39,33,2,1456,29
2020-07-20,2423,30,33,0,1486,30
2020-07-21,2451,28,33,0,1562,76
2020-07-22,2478,27,33,0,1599,37
2020-07-23,2506,28,42,9,1676,77
2020-07-24,2534,28,45,3,1730,54
2020-07-25,2566,32,47,2,1769,39
2020-07-26,2600,34,47,0,1773,4
2020-07-27,2632,32,47,0,1805,32
2020-07-28,2660,28,47,0,1866,61
2020-07-29,2689,29,47,0,1907,41
2020-07-30,2724,35,47,0,1945,38
2020-07-31,2752,28,47,0,1986,41
2020-08-01,2776,24,47,0,2028,42
2020-08-02,2801,25,47,0,2041,13
2020-08-03,2824,23,47,0,2054,13
2020-08-04,2845,21,47,0,2101,47
2020-08-05,2866,21,47,0,2154,53
2020-08-06,2887,21,47,0,2199,45
2020-08-07,2909,22,47,0,2293,94
2020-08-08,2929,20,47,0,2321,28
2020-08-09,2948,19,47,0,2327,6
2020-08-10,2966,18,47,0,2357,30
2020-08-11,2981,15,47,0,2405,48
2020-08-12,2997,16,47,0,2461,56
2020-08-13,3010,13,47,0,2528,67
2020-08-14,3025,15,47,0,2555,27
2020-08-15,3042,17,47,0,2590,35
2020-08-16,3060,18,47,0,2611,21
2020-08-17,3081,21,47,0,2630,19
2020-08-18,3098,17,47,0,2678,48
2020-08-19,3118,20,47,0,2688,10
2020-08-20,3140,22,47,0,2711,23
2020-08-21,3157,17,47,0,2756,45
2020-08-22,3172,15,47,0,2794,38
2020-08-23,3189,17,47,0,2795,1
2020-08-24,3208,19,47,0,2799,4
2020-08-25,3228,20,47,0,2898,99
2020-08-26,3250,22,47,0,2919,21
2020-08-27,3274,24,47,0,2939,20
2020-08-28,3299,25,47,0,2974,35
2020-08-29,3326,27,47,0,2988,14
2020-08-30,3355,29,47,0,2991,3
2020-08-31,3386,31,47,0,3008,17
2020-09-01,3418,32,47,0,3039,31
2020-09-02,3449,31,47,0,3068,29
2020-09-03,3479,30,47,0,3082,14
2020-09-04,3508,29,47,0,3101,19
2020-09-05,3537,29,47,0,3119,18
2020-09-06,3572,35,47,0,3120,1
2020-09-07,3608,36,47,0,3126,6
2020-09-08,3641,33,47,0,3162,36
2020-09-09,3671,30,49,2,3233,71
2020-09-10,3700,29,50,1,3260,27
2020-09-11,3731,31,50,0,3283,23
2020-09-12,3761,30,50,0,3306,23
2020-09-13,3789,28,50,0,3310,4
2020-09-14,3816,27,50,0,3341,31
2020-09-15,3842,26,50,0,3376,35
2020-09-16,3867,25,50,0,3399,23
2020-09-17,3895,28,50,0,3455,56
2020-09-18,3928,33,50,0,3486,31
2020-09-19,3959,31,50,0,3514,28
2020-09-20,3989,30,50,0,3519,5
2020-09-21,4021,32,50,0,3553,34
2020-09-22,4050,29,50,0,3571,18
2020-09-23,4078,28,50,0,3610,39
2020-09-24,4108,30,50,0,3657,47
2020-09-25,4139,31,52,2,3667,10
2020-09-26,4171,32,52,0,3703,36
2020-09-27,4201,30,52,0,3709,6
2020-09-28,4229,28,52,0,3724,15
2020-09-29,4259,30,52,0,3778,54
2020-09-30,4291,32,52,0,3817,39
2020-10-01,4326,35,52,0,3858,41
2020-10-02,4362,36,52,0,3900,42
2020-10-03,4401,39,52,0,3919,19
2020-10-04,4437,36,52,0,3934,15
2020-10-05,4477,40,52,0,3966,32
2020-10-06,4519,42,52,0,4042,76
2020-10-07,4562,43,54,2,4082,40
2020-10-08,4611,49,57,3,4122,40
2020-10-09,4664,53,57,0,4171,49
2020-10-10,4721,57,57,0,4225,54
2020-10-11,4776,55,57,0,4259,34
2020-10-12,4833,57,57,0,4300,41
2020-10-13,4887,54,57,0,4340,40
2020-10-14,4945,58,57,0,4390,50
