date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,1,1,0,0,0,0
2020-03-13,1,0,0,0,0,0
2020-03-14,1,0,0,0,0,0
2020-03-15,1,0,0,0,0,0
2020-03-16,1,0,0,0,0,0
2020-03-17,1,0,0,0,0,0
2020-03-18,1,0,0,0,0,0
2020-03-19,1,0,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,1,0,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,1,0,0,0,0,0
2020-03-26,1,0,0,0,0,0
2020-03-27,1,0,0,0,0,0
2020-03-28,1,0,0,0,0,0
2020-03-29,2,1,0,0,0,0
2020-03-30,5,3,0,0,0,0
2020-03-31,5,0,0,0,0,0
2020-04-01,5,0,0,0,0,0
2020-04-02,6,1,0,0,0,0
2020-04-03,6,0,0,0,0,0
2020-04-04,7,1,0,0,0,0
2020-04-05,7,0,0,0,0,0
2020-04-06,11,4,0,0,0,0
2020-04-07,14,3,0,0,1,1
2020-04-08,18,4,0,0,1,0
2020-04-09,18,0,0,0,1,0
2020-04-10,26,8,0,0,1,0
2020-04-11,26,0,0,0,2,1
2020-04-12,31,5,0,0,3,1
2020-04-13,31,0,0,0,3,0
2020-04-14,41,10,0,0,3,0
2020-04-15,45,4,1,1,3,0
2020-04-16,58,13,2,1,3,0
2020-04-17,70,12,2,0,9,6
2020-04-18,81,11,2,0,9,0
2020-04-19,90,9,2,0,11,2
2020-04-20,112,22,2,0,11,0
2020-04-21,122,10,2,0,11,0
2020-04-22,144,22,2,0,12,1
2020-04-23,176,32,2,0,13,1
2020-04-24,202,26,2,0,16,3
2020-04-25,221,19,2,0,28,12
2020-04-26,242,21,2,0,31,3
2020-04-27,269,27,2,0,31,0
2020-04-28,299,30,3,1,31,0
2020-04-29,327,28,3,0,38,7
2020-04-30,355,28,4,1,40,2
2020-05-01,383,28,5,1,47,7
2020-05-02,419,36,5,0,47,0
2020-05-03,454,35,5,0,59,12
2020-05-04,485,31,5,0,66,7
2020-05-05,524,39,5,0,71,5
2020-05-06,540,16,5,0,71,0
2020-05-07,574,34,6,1,91,20
2020-05-08,613,39,6,0,118,27
2020-05-09,659,46,6,0,183,65
2020-05-10,707,48,6,0,208,25
2020-05-11,798,91,6,0,208,0
2020-05-12,852,54,8,2,208,0
2020-05-13,942,90,8,0,228,20
2020-05-14,994,52,8,0,269,41
2020-05-15,1073,79,9,1,299,30
2020-05-16,1149,76,9,0,347,48
2020-05-17,1222,73,9,0,361,14
2020-05-18,1292,70,9,0,367,6
2020-05-19,1361,69,11,2,395,28
2020-05-20,1428,67,12,1,443,48
2020-05-21,1499,71,12,0,464,21
2020-05-22,1581,82,12,0,520,56
2020-05-23,1654,73,12,0,583,63
2020-05-24,1736,82,13,1,588,5
2020-05-25,1825,89,15,2,602,14
2020-05-26,1901,76,15,0,658,56
2020-05-27,1980,79,15,0,716,58
2020-05-28,2059,79,15,0,771,55
2020-05-29,2140,81,18,3,805,34
2020-05-30,2223,83,18,0,876,71
2020-05-31,2310,87,19,1,910,34
2020-06-01,2392,82,19,0,915,5
2020-06-02,2471,79,20,1,999,84
2020-06-03,2548,77,22,2,1082,83
2020-06-04,2624,76,22,0,1151,69
2020-06-05,2695,71,22,0,1236,85
2020-06-06,2769,74,25,3,1326,90
2020-06-07,2840,71,27,2,1337,11
2020-06-08,2913,73,27,0,1356,19
2020-06-09,2988,75,28,1,1467,111
2020-06-10,3061,73,32,4,1608,141
2020-06-11,3137,76,33,1,1878,270
2020-06-12,3207,70,33,0,2035,157
2020-06-13,3284,77,34,1,2056,21
2020-06-14,3364,80,36,2,2083,27
2020-06-15,3442,78,36,0,2106,23
2020-06-16,3514,72,36,0,2264,158
2020-06-17,3592,78,36,0,2397,133
2020-06-18,3666,74,38,2,2504,107
2020-06-19,3747,81,38,0,2596,92
2020-06-20,3820,73,38,0,2678,82
2020-06-21,3896,76,38,0,2698,20
2020-06-22,3976,80,39,1,2711,13
2020-06-23,4048,72,41,2,2824,113
2020-06-24,4120,72,42,1,3103,279
2020-06-25,4189,69,42,0,3116,13
2020-06-26,4261,72,42,0,3211,95
2020-06-27,4331,70,42,0,3267,56
2020-06-28,4399,68,42,0,3279,12
2020-06-29,4464,65,42,0,3294,15
2020-06-30,4524,60,42,0,3453,159
2020-07-01,4583,59,42,0,3636,183
2020-07-02,4637,54,42,0,3663,27
2020-07-03,4697,60,42,0,3797,134
2020-07-04,4749,52,42,0,3942,145
2020-07-05,4806,57,42,0,3966,24
2020-07-06,4857,51,42,0,3982,16
2020-07-07,4906,49,42,0,4133,151
2020-07-08,4950,44,42,0,4221,88
2020-07-09,4998,48,42,0,4355,134
2020-07-10,5038,40,42,0,4436,81
2020-07-11,5085,47,42,0,4520,84
2020-07-12,5128,43,42,0,4548,28
2020-07-13,5176,48,42,0,4583,35
2020-07-14,5227,51,42,0,4596,13
2020-07-15,5271,44,42,0,4687,91
2020-07-16,5319,48,42,0,4807,120
2020-07-17,5360,41,43,1,4891,84
2020-07-18,5398,38,43,0,4985,94
2020-07-19,5441,43,43,0,5004,19
2020-07-20,5486,45,43,0,5021,17
2020-07-21,5527,41,43,0,5072,51
2020-07-22,5571,44,45,2,5167,95
2020-07-23,5617,46,46,1,5267,100
2020-07-24,5656,39,46,0,5349,82
2020-07-25,5703,47,46,0,5444,95
2020-07-26,5745,42,46,0,5482,38
2020-07-27,5784,39,46,0,5491,9
2020-07-28,5829,45,46,0,5507,16
2020-07-29,5871,42,46,0,5518,11
2020-07-30,5910,39,47,1,5528,10
2020-07-31,5952,42,47,0,5547,19
2020-08-01,5998,46,47,0,5565,18
2020-08-02,6042,44,47,0,5567,2
2020-08-03,6083,41,47,0,5567,0
2020-08-04,6123,40,47,0,5575,8
2020-08-05,6169,46,49,2,5579,4
2020-08-06,6220,51,49,0,5586,7
2020-08-07,6269,49,50,1,5592,6
2020-08-08,6314,45,51,1,5600,8
2020-08-09,6360,46,51,0,5600,0
2020-08-10,6410,50,51,0,5600,0
2020-08-11,6461,51,51,0,5611,11
2020-08-12,6509,48,51,0,5687,76
2020-08-13,6562,53,51,0,5723,36
2020-08-14,6613,51,51,0,5771,48
2020-08-15,6665,52,51,0,5828,57
2020-08-16,6714,49,51,0,5846,18
2020-08-17,6762,48,51,0,5852,6
2020-08-18,6807,45,51,0,5927,75
2020-08-19,6854,47,51,0,5985,58
2020-08-20,6901,47,51,0,6022,37
2020-08-21,6944,43,51,0,6086,64
2020-08-22,6990,46,51,0,6142,56
2020-08-23,7033,43,51,0,6172,30
2020-08-24,7074,41,51,0,6185,13
2020-08-25,7117,43,51,0,6257,72
2020-08-26,7157,40,51,0,6317,60
2020-08-27,7195,38,51,0,6418,101
2020-08-28,7239,44,51,0,6493,75
2020-08-29,7279,40,53,2,6571,78
2020-08-30,7320,41,53,0,6590,19
2020-08-31,7365,45,53,0,6590,0
2020-09-01,7405,40,53,0,6682,92
2020-09-02,7449,44,53,0,6776,94
2020-09-03,7491,42,54,1,6860,84
2020-09-04,7531,40,54,0,6918,58
2020-09-05,7569,38,54,0,6956,38
2020-09-06,7610,41,54,0,6969,13
2020-09-07,7654,44,54,0,6975,6
2020-09-08,7699,45,54,0,7007,32
2020-09-09,7742,43,55,1,7078,71
2020-09-10,7786,44,55,0,7120,42
2020-09-11,7832,46,55,0,7185,65
2020-09-12,7874,42,55,0,7254,69
2020-09-13,7919,45,55,0,7341,87
2020-09-14,7962,43,55,0,7348,7
2020-09-15,8008,46,55,0,7389,41
2020-09-16,8056,48,57,2,7459,70
2020-09-17,8103,47,57,0,7512,53
2020-09-18,8152,49,57,0,7520,8
2020-09-19,8208,56,57,0,7521,1
2020-09-20,8260,52,57,0,7521,0
2020-09-21,8311,51,57,0,7528,7
2020-09-22,8365,54,57,0,7584,56
2020-09-23,8422,57,57,0,7643,59
2020-09-24,8483,61,57,0,7739,96
2020-09-25,8546,63,57,0,7748,9
2020-09-26,8607,61,58,1,7838,90
2020-09-27,8674,67,58,0,7845,7
2020-09-28,8735,61,58,0,7853,8
2020-09-29,8798,63,58,0,7940,87
2020-09-30,8864,66,58,0,7978,38
2020-10-01,8933,69,58,0,8035,57
2020-10-02,9000,67,58,0,8075,40
2020-10-03,9067,67,58,0,8161,86
2020-10-04,9135,68,58,0,8188,27
2020-10-05,9200,65,58,0,8192,4
2020-10-06,9267,67,58,0,8269,77
2020-10-07,9336,69,58,0,8335,66
2020-10-08,9410,74,58,0,8447,112
2020-10-09,9488,78,58,0,8524,77
2020-10-10,9564,76,58,0,8592,68
2020-10-11,9642,78,58,0,8612,20
2020-10-12,9719,77,58,0,8619,7
2020-10-13,9803,84,58,0,8654,35
2020-10-14,9895,92,58,0,8688,34
