date,cases_total,cases_new,cured_total,cured_new
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,0,0,0
2020-03-25,0,0,0,0
2020-03-26,0,0,0,0
2020-03-27,0,0,0,0
2020-03-28,4,4,0,0
2020-03-29,4,0,0,0
2020-03-30,4,0,0,0
2020-03-31,4,0,0,0
2020-04-01,5,1,0,0
2020-04-02,5,0,0,0
2020-04-03,5,0,0,0
2020-04-04,6,1,0,0
2020-04-05,6,0,0,0
2020-04-06,6,0,0,0
2020-04-07,6,0,4,4
2020-04-08,11,5,4,0
2020-04-09,11,0,4,0
2020-04-10,11,0,4,0
2020-04-11,11,0,4,0
2020-04-12,11,0,4,0
2020-04-13,11,0,6,2
2020-04-14,11,0,6,0
2020-04-15,12,1,6,0
2020-04-16,12,0,6,0
2020-04-17,19,7,6,0
2020-04-18,19,0,6,0
2020-04-19,19,0,8,2
2020-04-20,19,0,8,0
2020-04-21,19,0,8,0
2020-04-22,19,0,8,0
2020-04-23,19,0,8,0
2020-04-24,20,1,8,0
2020-04-25,20,0,13,5
2020-04-26,20,0,13,0
2020-04-27,21,1,15,2
2020-04-28,22,1,17,2
2020-04-29,22,0,19,2
2020-04-30,23,1,19,0
2020-05-01,24,1,19,0
2020-05-02,24,0,19,0
2020-05-03,26,2,19,0
2020-05-04,28,2,19,0
2020-05-05,29,1,20,1
2020-05-06,29,0,20,0
2020-05-07,31,2,20,0
2020-05-08,31,0,20,0
2020-05-09,37,6,20,0
2020-05-10,37,0,20,0
2020-05-11,38,1,20,0
2020-05-12,41,3,20,0
2020-05-13,42,1,22,2
2020-05-14,44,2,25,3
2020-05-15,45,1,27,2
2020-05-16,48,3,28,1
2020-05-17,50,2,28,0
2020-05-18,50,0,29,1
2020-05-19,56,6,29,0
2020-05-20,57,1,29,0
2020-05-21,59,2,33,4
2020-05-22,63,4,35,2
2020-05-23,66,3,36,1
2020-05-24,68,2,36,0
2020-05-25,69,1,37,1
2020-05-26,74,5,47,10
2020-05-27,76,2,47,0
2020-05-28,80,4,49,2
2020-05-29,94,14,53,4
2020-05-30,101,7,53,0
2020-05-31,115,14,53,0
2020-06-01,118,3,53,0
2020-06-02,133,15,54,1
2020-06-03,143,10,62,8
2020-06-04,147,4,62,0
2020-06-05,160,13,63,1
2020-06-06,170,10,63,0
2020-06-07,188,18,71,8
2020-06-08,204,16,71,0
2020-06-09,216,12,71,0
2020-06-10,250,34,71,0
2020-06-11,264,14,71,0
2020-06-12,305,41,71,0
2020-06-13,320,15,98,27
2020-06-14,330,10,98,0
2020-06-15,343,13,98,0
2020-06-16,362,19,98,0
2020-06-17,394,32,98,0
2020-06-18,423,29,100,2
2020-06-19,447,24,100,0
2020-06-20,495,48,102,2
2020-06-21,525,30,102,0
2020-06-22,566,41,103,1
2020-06-23,567,1,103,0
2020-06-24,628,61,115,12
2020-06-25,663,35,119,4
2020-06-26,702,39,120,1
2020-06-27,721,19,120,0
2020-06-28,742,21,245,125
2020-06-29,771,29,275,30
2020-06-30,800,29,332,57
2020-07-01,828,28,338,6
2020-07-02,853,25,339,1
2020-07-03,885,32,348,9
2020-07-04,918,33,357,9
2020-07-05,953,35,360,3
2020-07-06,993,40,364,4
2020-07-07,1035,42,385,21
2020-07-08,1103,68,436,51
2020-07-09,1172,69,451,15
2020-07-10,1240,68,472,21
2020-07-11,1307,67,510,38
2020-07-12,1376,69,513,3
2020-07-13,1443,67,521,8
2020-07-14,1507,64,542,21
2020-07-15,1568,61,564,22
2020-07-16,1628,60,568,4
2020-07-17,1687,59,572,4
2020-07-18,1747,60,584,12
2020-07-19,1806,59,584,0
2020-07-20,1863,57,599,15
2020-07-21,1926,63,627,28
2020-07-22,1994,68,651,24
2020-07-23,2061,67,685,34
2020-07-24,2126,65,701,16
2020-07-25,2185,59,771,70
2020-07-26,2235,50,788,17
2020-07-27,2294,59,822,34
2020-07-28,2362,68,893,71
2020-07-29,2431,69,932,39
2020-07-30,2498,67,970,38
2020-07-31,2559,61,1031,61
2020-08-01,2625,66,1098,67
2020-08-02,2685,60,1233,135
2020-08-03,2744,59,1238,5
2020-08-04,2811,67,1340,102
2020-08-05,2876,65,1418,78
2020-08-06,2944,68,1506,88
2020-08-07,3010,66,1548,42
2020-08-08,3075,65,1569,21
2020-08-09,3137,62,1579,10
2020-08-10,3204,67,1585,6
2020-08-11,3267,63,1670,85
2020-08-12,3326,59,1720,50
2020-08-13,3390,64,1778,58
2020-08-14,3458,68,1855,77
2020-08-15,3519,61,1913,58
2020-08-16,3578,59,1924,11
2020-08-17,3635,57,1934,10
2020-08-18,3695,60,2074,140
2020-08-19,3752,57,2113,39
2020-08-20,3811,59,2141,28
2020-08-21,3867,56,2180,39
2020-08-22,3925,58,2228,48
2020-08-23,3980,55,2235,7
2020-08-24,4037,57,2251,16
2020-08-25,4096,59,2315,64
2020-08-26,4152,56,2379,64
2020-08-27,4210,58,2485,106
2020-08-28,4265,55,2519,34
2020-08-29,4319,54,2581,62
2020-08-30,4371,52,2602,21
2020-08-31,4420,49,2617,15
2020-09-01,4473,53,2650,33
2020-09-02,4524,51,2693,43
2020-09-03,4572,48,2744,51
2020-09-04,4622,50,2795,51
2020-09-05,4671,49,2858,63
2020-09-06,4718,47,2870,12
2020-09-07,4762,44,2886,16
2020-09-08,4808,46,2991,105
2020-09-09,4851,43,3104,113
2020-09-10,4892,41,3171,67
2020-09-11,4931,39,3226,55
2020-09-12,4968,37,3290,64
2020-09-13,5008,40,3343,53
2020-09-14,5046,38,3363,20
