date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,1,1,0,0,0,0
2020-03-28,1,0,0,0,0,0
2020-03-29,1,0,0,0,0,0
2020-03-30,4,3,0,0,0,0
2020-03-31,13,9,0,0,0,0
2020-04-01,15,2,0,0,0,0
2020-04-02,25,10,0,0,0,0
2020-04-03,25,0,0,0,0,0
2020-04-04,25,0,0,0,0,0
2020-04-05,25,0,0,0,0,0
2020-04-06,30,5,0,0,4,4
2020-04-07,43,13,0,0,4,0
2020-04-08,44,1,0,0,4,0
2020-04-09,57,13,0,0,4,0
2020-04-10,58,1,0,0,4,0
2020-04-11,84,26,0,0,4,0
2020-04-12,84,0,0,0,9,5
2020-04-13,84,0,0,0,9,0
2020-04-14,100,16,0,0,9,0
2020-04-15,105,5,3,3,9,0
2020-04-16,154,49,6,3,9,0
2020-04-17,213,59,9,3,9,0
2020-04-18,257,44,9,0,28,19
2020-04-19,292,35,9,0,28,0
2020-04-20,331,39,9,0,28,0
2020-04-21,371,40,11,2,43,15
2020-04-22,417,46,11,0,43,0
2020-04-23,454,37,11,0,43,0
2020-04-24,567,113,11,0,43,0
2020-04-25,724,157,11,0,43,0
2020-04-26,827,103,11,0,48,5
2020-04-27,994,167,11,0,48,0
2020-04-28,1147,153,11,0,76,28
2020-04-29,1231,84,12,1,88,12
2020-04-30,1389,158,12,0,112,24
2020-05-01,1553,164,12,0,114,2
2020-05-02,1662,109,12,0,170,56
2020-05-03,1798,136,13,1,183,13
2020-05-04,1958,160,13,0,226,43
2020-05-05,2086,128,14,1,325,99
2020-05-06,2267,181,15,1,356,31
2020-05-07,2372,105,16,1,391,35
2020-05-08,2468,96,17,1,508,117
2020-05-09,2560,92,18,1,679,171
2020-05-10,2653,93,18,0,772,93
2020-05-11,2772,119,20,2,968,196
2020-05-12,2888,116,23,3,1008,40
2020-05-13,2997,109,26,3,1107,99
2020-05-14,3095,98,26,0,1318,211
2020-05-15,3192,97,27,1,1490,172
2020-05-16,3280,88,27,0,1570,80
2020-05-17,3371,91,29,2,1705,135
2020-05-18,3460,89,29,0,1807,102
2020-05-19,3553,93,32,3,2003,196
2020-05-20,3643,90,36,4,2266,263
2020-05-21,3746,103,41,5,2489,223
2020-05-22,3855,109,65,24,2882,393
2020-05-23,3982,127,70,5,3002,120
2020-05-24,4095,113,84,14,3267,265
2020-05-25,4205,110,97,13,3353,86
2020-05-26,4294,89,118,21,3809,456
2020-05-27,4455,161,130,12,4161,352
2020-05-28,4579,124,151,21,4402,241
2020-05-29,4704,125,201,50,4412,10
2020-05-30,4830,126,226,25,4422,10
2020-05-31,4955,125,235,9,4427,5
2020-06-01,5096,141,260,25,4442,15
2020-06-02,5228,132,271,11,4457,15
2020-06-03,5341,113,287,16,4477,20
2020-06-04,5463,122,287,0,4497,20
2020-06-05,5587,124,288,1,4520,23
2020-06-06,5743,156,298,10,4537,17
2020-06-07,5858,115,303,5,4562,25
2020-06-08,5970,112,308,5,4587,25
2020-06-09,6077,107,309,1,4611,24
2020-06-10,6175,98,309,0,4636,25
2020-06-11,6272,97,309,0,4662,26
2020-06-12,6367,95,309,0,4688,26
2020-06-13,6463,96,313,4,4710,22
2020-06-14,6557,94,316,3,4731,21
2020-06-15,6652,95,319,3,4754,23
2020-06-16,6745,93,328,9,4780,26
2020-06-17,6837,92,335,7,4802,22
2020-06-18,6927,90,338,3,4824,22
2020-06-19,7015,88,341,3,4854,30
2020-06-20,7103,88,344,3,4905,51
2020-06-21,7188,85,348,4,4936,31
2020-06-22,7267,79,351,3,4956,20
2020-06-23,7340,73,357,6,4997,41
2020-06-24,7415,75,360,3,5465,468
2020-06-25,7488,73,364,4,5468,3
2020-06-26,7561,73,367,3,5491,23
2020-06-27,7636,75,369,2,5525,34
2020-06-28,7707,71,371,2,5615,90
2020-06-29,7775,68,373,2,5682,67
2020-06-30,7840,65,374,1,5775,93
2020-07-01,7905,65,380,6,5824,49
2020-07-02,7968,63,383,3,5902,78
2020-07-03,8025,57,386,3,5997,95
2020-07-04,8080,55,389,3,6067,70
2020-07-05,8132,52,391,2,6124,57
2020-07-06,8184,52,393,2,6187,63
2020-07-07,8232,48,397,4,6273,86
2020-07-08,8280,48,400,3,6354,81
2020-07-09,8327,47,404,4,6468,114
2020-07-10,8374,47,407,3,6571,103
2020-07-11,8422,48,410,3,6670,99
2020-07-12,8468,46,413,3,6761,91
2020-07-13,8514,46,415,2,6849,88
2020-07-14,8560,46,417,2,6931,82
2020-07-15,8602,42,419,2,7019,88
2020-07-16,8647,45,419,0,7150,131
2020-07-17,8691,44,422,3,7238,88
2020-07-18,8735,44,424,2,7371,133
2020-07-19,8778,43,426,2,7467,96
2020-07-20,8819,41,427,1,7554,87
2020-07-21,8860,41,428,1,7638,84
2020-07-22,8901,41,430,2,7727,89
2020-07-23,8941,40,431,1,7806,79
2020-07-24,8981,40,433,2,7857,51
2020-07-25,9021,40,436,3,7908,51
2020-07-26,9062,41,439,3,7971,63
2020-07-27,9103,41,442,3,8029,58
2020-07-28,9143,40,442,0,8051,22
2020-07-29,9183,40,444,2,8111,60
2020-07-30,9223,40,445,1,8174,63
2020-07-31,9266,43,445,0,8229,55
2020-08-01,9308,42,445,0,8288,59
2020-08-02,9350,42,445,0,8338,50
2020-08-03,9392,42,445,0,8389,51
2020-08-04,9435,43,446,1,8443,54
2020-08-05,9475,40,447,1,8501,58
2020-08-06,9517,42,449,2,8551,50
2020-08-07,9565,48,451,2,8598,47
2020-08-08,9613,48,453,2,8644,46
2020-08-09,9665,52,454,1,8686,42
2020-08-10,9714,49,455,1,8730,44
2020-08-11,9763,49,458,3,8775,45
2020-08-12,9812,49,461,3,8819,44
2020-08-13,9861,49,464,3,8869,50
2020-08-14,9917,56,467,3,8914,45
2020-08-15,9974,57,469,2,8957,43
2020-08-16,10032,58,469,0,9001,44
2020-08-17,10091,59,470,1,9043,42
2020-08-18,10151,60,470,0,9087,44
2020-08-19,10210,59,474,4,9130,43
2020-08-20,10272,62,477,3,9175,45
2020-08-21,10334,62,478,1,9219,44
2020-08-22,10395,61,482,4,9261,42
2020-08-23,10458,63,483,1,9307,46
2020-08-24,10521,63,485,2,9350,43
2020-08-25,10586,65,485,0,9391,41
2020-08-26,10651,65,487,2,9433,42
2020-08-27,10716,65,489,2,9479,46
2020-08-28,10788,72,494,5,9525,46
2020-08-29,10858,70,495,1,9569,44
2020-08-30,10928,70,495,0,9611,42
2020-08-31,10999,71,497,2,9650,39
2020-09-01,11073,74,499,2,9697,47
2020-09-02,11145,72,502,3,9745,48
2020-09-03,11219,74,505,3,9786,41
2020-09-04,11292,73,506,1,9829,43
2020-09-05,11367,75,507,1,9877,48
2020-09-06,11442,75,507,0,9928,51
2020-09-07,11520,78,510,3,9977,49
2020-09-08,11598,78,512,2,10025,48
2020-09-09,11678,80,514,2,10080,55
2020-09-10,11760,82,515,1,10138,58
2020-09-11,11842,82,517,2,10204,66
2020-09-12,11925,83,521,4,10268,64
2020-09-13,12008,83,523,2,10331,63
2020-09-14,12092,84,524,1,10401,70
2020-09-15,12175,83,528,4,10468,67
2020-09-16,12260,85,529,1,10533,65
2020-09-17,12345,85,533,4,10597,64
2020-09-18,12429,84,538,5,10669,72
2020-09-19,12514,85,543,5,10744,75
2020-09-20,12600,86,547,4,10823,79
2020-09-21,12685,85,552,5,10891,68
2020-09-22,12768,83,557,5,10958,67
2020-09-23,12851,83,564,7,11033,75
2020-09-24,12933,82,571,7,11110,77
2020-09-25,13016,83,580,9,11186,76
2020-09-26,13100,84,589,9,11261,75
2020-09-27,13182,82,597,8,11336,75
2020-09-28,13264,82,604,7,11412,76
2020-09-29,13347,83,612,8,11481,69
2020-09-30,13429,82,621,9,11563,82
2020-10-01,13514,85,629,8,11642,79
2020-10-02,13599,85,638,9,11729,87
2020-10-03,13684,85,640,2,11809,80
2020-10-04,13768,84,642,2,11899,90
2020-10-05,13852,84,647,5,11980,81
2020-10-06,13935,83,656,9,12056,76
2020-10-07,14018,83,663,7,12148,92
2020-10-08,14100,82,666,3,12238,90
2020-10-09,14182,82,672,6,12327,89
2020-10-10,14264,82,678,6,12421,94
2020-10-11,14345,81,681,3,12523,102
2020-10-12,14427,82,684,3,12615,92
2020-10-13,14512,85,690,6,12693,78
2020-10-14,14597,85,696,6,12782,89
