date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,2,2,0,0,0,0
2020-03-18,2,0,0,0,0,0
2020-03-19,3,1,0,0,0,0
2020-03-20,3,0,0,0,0,0
2020-03-21,3,0,0,0,0,0
2020-03-22,3,0,0,0,0,0
2020-03-23,3,0,0,0,0,0
2020-03-24,3,0,0,0,0,0
2020-03-25,3,0,0,0,0,0
2020-03-26,3,0,0,0,0,0
2020-03-27,3,0,0,0,0,0
2020-03-28,3,0,0,0,0,0
2020-03-29,3,0,0,0,2,2
2020-03-30,4,1,0,0,2,0
2020-03-31,4,0,0,0,2,0
2020-04-01,5,1,0,0,2,0
2020-04-02,5,0,0,0,2,0
2020-04-03,6,1,0,0,2,0
2020-04-04,6,0,0,0,2,0
2020-04-05,6,0,0,0,2,0
2020-04-06,8,2,0,0,2,0
2020-04-07,8,0,0,0,2,0
2020-04-08,12,4,0,0,2,0
2020-04-09,19,7,0,0,2,0
2020-04-10,24,5,0,0,3,1
2020-04-11,31,7,0,0,3,0
2020-04-12,31,0,0,0,3,0
2020-04-13,75,44,0,0,3,0
2020-04-14,75,0,0,0,3,0
2020-04-15,117,42,0,0,3,0
2020-04-16,151,34,0,0,9,6
2020-04-17,188,37,0,0,9,0
2020-04-18,237,49,0,0,9,0
2020-04-19,270,33,0,0,12,3
2020-04-20,296,26,0,0,12,0
2020-04-21,329,33,0,0,15,3
2020-04-22,356,27,0,0,15,0
2020-04-23,383,27,0,0,15,0
2020-04-24,412,29,0,0,15,0
2020-04-25,441,29,0,0,24,9
2020-04-26,464,23,1,1,24,0
2020-04-27,498,34,1,0,24,0
2020-04-28,507,9,1,0,35,11
2020-04-29,518,11,1,0,39,4
2020-04-30,535,17,3,2,51,12
2020-05-01,564,29,3,0,74,23
2020-05-02,610,46,3,0,74,0
2020-05-03,661,51,3,0,74,0
2020-05-04,680,19,6,3,115,41
2020-05-05,709,29,8,2,183,68
2020-05-06,753,44,8,0,197,14
2020-05-07,769,16,8,0,226,29
2020-05-08,784,15,8,0,263,37
2020-05-09,822,38,10,2,316,53
2020-05-10,867,45,10,0,316,0
2020-05-11,898,31,10,0,344,28
2020-05-12,932,34,10,0,373,29
2020-05-13,942,10,10,0,417,44
2020-05-14,962,20,10,0,440,23
2020-05-15,1006,44,10,0,447,7
2020-05-16,1059,53,10,0,475,28
2020-05-17,1085,26,10,0,500,25
2020-05-18,1112,27,10,0,509,9
2020-05-19,1131,19,11,1,620,111
2020-05-20,1164,33,11,0,649,29
2020-05-21,1203,39,11,0,733,84
2020-05-22,1242,39,14,3,756,23
2020-05-23,1273,31,15,1,848,92
2020-05-24,1310,37,17,2,848,0
2020-05-25,1363,53,17,0,849,1
2020-05-26,1378,15,17,0,899,50
2020-05-27,1424,46,19,2,925,26
2020-05-28,1476,52,22,3,983,58
2020-05-29,1517,41,22,0,1024,41
2020-05-30,1560,43,22,0,1079,55
2020-05-31,1604,44,22,0,1083,4
2020-06-01,1650,46,22,0,1087,4
2020-06-02,1695,45,28,6,1147,60
2020-06-03,1731,36,33,5,1229,82
2020-06-04,1804,73,37,4,1294,65
2020-06-05,1875,71,39,2,1338,44
2020-06-06,1962,87,41,2,1415,77
2020-06-07,2055,93,41,0,1422,7
2020-06-08,2147,92,41,0,1429,7
2020-06-09,2231,84,44,3,1478,49
2020-06-10,2314,83,49,5,1495,17
2020-06-11,2397,83,49,0,1573,78
2020-06-12,2488,91,50,1,1611,38
2020-06-13,2569,81,50,0,1619,8
2020-06-14,2650,81,50,0,1645,26
2020-06-15,2728,78,50,0,1645,0
2020-06-16,2800,72,51,1,1705,60
2020-06-17,2869,69,52,1,1742,37
2020-06-18,2934,65,53,1,1819,77
2020-06-19,3001,67,55,2,1848,29
2020-06-20,3068,67,57,2,1955,107
2020-06-21,3134,66,57,0,1955,0
2020-06-22,3197,63,59,2,1961,6
2020-06-23,3256,59,61,2,2070,109
2020-06-24,3311,55,61,0,2114,44
2020-06-25,3364,53,64,3,2123,9
2020-06-26,3419,55,64,0,2179,56
2020-06-27,3471,52,67,3,2320,141
2020-06-28,3524,53,68,1,2324,4
2020-06-29,3574,50,68,0,2343,19
2020-06-30,3622,48,69,1,2464,121
2020-07-01,3668,46,72,3,2617,153
2020-07-02,3712,44,72,0,2618,1
2020-07-03,3753,41,74,2,2711,93
2020-07-04,3795,42,77,3,2805,94
2020-07-05,3835,40,80,3,2842,37
2020-07-06,3873,38,83,3,2854,12
2020-07-07,3909,36,86,3,2966,112
2020-07-08,3941,32,88,2,3005,39
2020-07-09,3971,30,91,3,3136,131
2020-07-10,4001,30,94,3,3231,95
2020-07-11,4033,32,97,3,3295,64
2020-07-12,4064,31,98,1,3295,0
2020-07-13,4095,31,101,3,3301,6
2020-07-14,4124,29,103,2,3442,141
2020-07-15,4153,29,105,2,3544,102
2020-07-16,4183,30,107,2,3620,76
2020-07-17,4211,28,111,4,3689,69
2020-07-18,4237,26,113,2,3736,47
2020-07-19,4263,26,116,3,3736,0
2020-07-20,4288,25,118,2,3736,0
2020-07-21,4312,24,120,2,3742,6
2020-07-22,4338,26,122,2,3749,7
2020-07-23,4366,28,124,2,3761,12
2020-07-24,4393,27,126,2,3775,14
2020-07-25,4423,30,128,2,3797,22
2020-07-26,4451,28,130,2,3797,0
2020-07-27,4478,27,132,2,3797,0
2020-07-28,4505,27,134,2,3797,0
2020-07-29,4534,29,137,3,3810,13
2020-07-30,4567,33,140,3,3821,11
2020-07-31,4597,30,142,2,3837,16
2020-08-01,4626,29,144,2,3851,14
2020-08-02,4655,29,147,3,3851,0
2020-08-03,4683,28,148,1,3851,0
2020-08-04,4710,27,149,1,3858,7
2020-08-05,4737,27,150,1,3870,12
2020-08-06,4763,26,153,3,3887,17
2020-08-07,4791,28,153,0,3910,23
2020-08-08,4818,27,156,3,3923,13
2020-08-09,4846,28,158,2,3923,0
2020-08-10,4874,28,160,2,3923,0
2020-08-11,4901,27,161,1,3937,14
2020-08-12,4931,30,161,0,3949,12
2020-08-13,4959,28,163,2,3963,14
2020-08-14,4988,29,165,2,3980,17
2020-08-15,5014,26,167,2,3996,16
2020-08-16,5039,25,170,3,3996,0
2020-08-17,5064,25,170,0,3996,0
2020-08-18,5090,26,171,1,4008,12
2020-08-19,5114,24,173,2,4024,16
2020-08-20,5140,26,175,2,4036,12
2020-08-21,5164,24,175,0,4057,21
2020-08-22,5188,24,176,1,4068,11
2020-08-23,5213,25,178,2,4068,0
2020-08-24,5236,23,179,1,4068,0
2020-08-25,5259,23,179,0,4084,16
2020-08-26,5284,25,181,2,4105,21
2020-08-27,5308,24,184,3,4130,25
2020-08-28,5333,25,187,3,4152,22
2020-08-29,5357,24,189,2,4172,20
2020-08-30,5383,26,191,2,4184,12
2020-08-31,5407,24,193,2,4184,0
2020-09-01,5432,25,195,2,4200,16
2020-09-02,5455,23,196,1,4213,13
2020-09-03,5477,22,199,3,4239,26
2020-09-04,5500,23,202,3,4269,30
2020-09-05,5524,24,205,3,4271,2
2020-09-06,5547,23,207,2,4271,0
2020-09-07,5569,22,209,2,4271,0
2020-09-08,5592,23,210,1,4277,6
2020-09-09,5612,20,212,2,4296,19
2020-09-10,5635,23,214,2,4313,17
2020-09-11,5656,21,216,2,4328,15
2020-09-12,5680,24,217,1,4344,16
2020-09-13,5704,24,217,0,4344,0
2020-09-14,5729,25,217,0,4344,0
2020-09-15,5755,26,217,0,4351,7
2020-09-16,5780,25,218,1,4371,20
2020-09-17,5804,24,221,3,4387,16
2020-09-18,5832,28,223,2,4401,14
2020-09-19,5862,30,227,4,4416,15
2020-09-20,5895,33,228,1,4416,0
2020-09-21,5930,35,228,0,4416,0
2020-09-22,5964,34,230,2,4424,8
2020-09-23,5999,35,231,1,4441,17
2020-09-24,6034,35,233,2,4460,19
2020-09-25,6071,37,235,2,4478,18
2020-09-26,6117,46,240,5,4494,16
2020-09-27,6166,49,240,0,4494,0
2020-09-28,6218,52,240,0,4494,0
2020-09-29,6271,53,243,3,4517,23
2020-09-30,6324,53,245,2,4537,20
2020-10-01,6385,61,247,2,4557,20
2020-10-02,6449,64,251,4,4576,19
2020-10-03,6518,69,254,3,4597,21
2020-10-04,6585,67,255,1,4597,0
2020-10-05,6653,68,255,0,4599,2
2020-10-06,6720,67,259,4,4619,20
2020-10-07,6791,71,263,4,4640,21
2020-10-08,6872,81,266,3,4662,22
2020-10-09,6958,86,268,2,4685,23
2020-10-10,7051,93,271,3,4709,24
2020-10-11,7150,99,271,0,4711,2
2020-10-12,7248,98,271,0,4714,3
2020-10-13,7347,99,273,2,4739,25
2020-10-14,7444,97,276,3,4762,23
