date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0
2020-04-08,0,0,0,0,0,0
2020-04-09,0,0,0,0,0,0
2020-04-10,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0
2020-04-13,0,0,0,0,0,0
2020-04-14,0,0,0,0,0,0
2020-04-15,1,1,0,0,0,0
2020-04-16,1,0,0,0,0,0
2020-04-17,2,1,0,0,0,0
2020-04-18,2,0,0,0,0,0
2020-04-19,2,0,0,0,0,0
2020-04-20,2,0,0,0,0,0
2020-04-21,2,0,0,0,0,0
2020-04-22,6,4,0,0,0,0
2020-04-23,6,0,0,0,0,0
2020-04-24,11,5,0,0,0,0
2020-04-25,12,1,0,0,1,1
2020-04-26,15,3,0,0,1,0
2020-04-27,17,2,0,0,1,0
2020-04-28,17,0,0,0,1,0
2020-04-29,17,0,0,0,1,0
2020-04-30,18,1,0,0,1,0
2020-05-01,20,2,0,0,2,1
2020-05-02,23,3,0,0,2,0
2020-05-03,24,1,0,0,2,0
2020-05-04,24,0,0,0,2,0
2020-05-05,25,1,0,0,2,0
2020-05-06,26,1,0,0,2,0
2020-05-07,27,1,0,0,8,6
2020-05-08,27,0,0,0,8,0
2020-05-09,28,1,0,0,11,3
2020-05-10,30,2,0,0,11,0
2020-05-11,31,1,0,0,11,0
2020-05-12,31,0,0,0,13,2
2020-05-13,35,4,0,0,15,2
2020-05-14,36,1,0,0,15,0
2020-05-15,42,6,0,0,16,1
2020-05-16,47,5,0,0,19,3
2020-05-17,56,9,0,0,23,4
2020-05-18,56,0,0,0,23,0
2020-05-19,56,0,0,0,23,0
2020-05-20,56,0,0,0,23,0
2020-05-21,56,0,0,0,24,1
2020-05-22,56,0,0,0,24,0
2020-05-23,58,2,1,1,30,6
2020-05-24,59,1,1,0,32,2
2020-05-25,61,2,1,0,32,0
2020-05-26,61,0,1,0,36,4
2020-05-27,63,2,1,0,37,1
2020-05-28,66,3,1,0,40,3
2020-05-29,73,7,1,0,50,10
2020-05-30,78,5,1,0,53,3
2020-05-31,80,2,1,0,54,1
2020-06-01,80,0,1,0,55,1
2020-06-02,81,1,1,0,56,1
2020-06-03,87,6,1,0,59,3
2020-06-04,91,4,1,0,60,1
2020-06-05,97,6,1,0,61,1
2020-06-06,102,5,1,0,63,2
2020-06-07,106,4,1,0,65,2
2020-06-08,106,0,1,0,65,0
2020-06-09,110,4,1,0,68,3
2020-06-10,112,2,1,0,69,1
2020-06-11,114,2,1,0,70,1
2020-06-12,120,6,1,0,70,0
2020-06-13,129,9,1,0,77,7
2020-06-14,129,0,1,0,83,6
2020-06-15,129,0,1,0,84,1
2020-06-16,129,0,1,0,88,4
2020-06-17,129,0,1,0,89,1
2020-06-18,129,0,1,0,91,2
2020-06-19,130,1,1,0,98,7
2020-06-20,132,2,1,0,98,0
2020-06-21,133,1,1,0,103,5
2020-06-22,133,0,1,0,105,2
2020-06-23,134,1,1,0,111,6
2020-06-24,135,1,1,0,122,11
2020-06-25,135,0,1,0,122,0
2020-06-26,136,1,1,0,123,1
2020-06-27,138,2,1,0,125,2
2020-06-28,138,0,1,0,125,0
2020-06-29,138,0,1,0,125,0
2020-06-30,138,0,1,0,129,4
2020-07-01,138,0,1,0,130,1
2020-07-02,138,0,1,0,130,0
2020-07-03,139,1,1,0,131,1
2020-07-04,139,0,1,0,133,2
2020-07-05,139,0,1,0,133,0
2020-07-06,140,1,1,0,135,2
2020-07-07,141,1,1,0,136,1
2020-07-08,142,1,1,0,137,1
2020-07-09,143,1,1,0,137,0
2020-07-10,144,1,1,0,137,0
2020-07-11,144,0,1,0,137,0
2020-07-12,144,0,1,0,137,0
2020-07-13,144,0,1,0,137,0
2020-07-14,144,0,1,0,139,2
2020-07-15,145,1,1,0,141,2
2020-07-16,146,1,1,0,142,1
2020-07-17,146,0,1,0,142,0
2020-07-18,146,0,1,0,143,1
2020-07-19,146,0,1,0,143,0
2020-07-20,148,2,1,0,143,0
2020-07-21,148,0,1,0,143,0
2020-07-22,148,0,1,0,143,0
2020-07-23,150,2,1,0,143,0
2020-07-24,150,0,1,0,144,1
2020-07-25,151,1,1,0,144,0
2020-07-26,151,0,1,0,144,0
2020-07-27,152,1,1,0,146,2
2020-07-28,152,0,1,0,146,0
2020-07-29,152,0,1,0,148,2
2020-07-30,152,0,1,0,148,0
2020-07-31,152,0,1,0,148,0
2020-08-01,152,0,1,0,148,0
2020-08-02,154,2,1,0,148,0
2020-08-03,154,0,1,0,148,0
2020-08-04,154,0,1,0,148,0
2020-08-05,154,0,1,0,148,0
2020-08-06,157,3,1,0,148,0
2020-08-07,159,2,1,0,149,1
2020-08-08,160,1,1,0,149,0
2020-08-09,162,2,1,0,149,0
2020-08-10,162,0,1,0,149,0
2020-08-11,162,0,1,0,151,2
2020-08-12,162,0,1,0,151,0
2020-08-13,162,0,1,0,151,0
2020-08-14,162,0,1,0,151,0
2020-08-15,162,0,1,0,153,2
2020-08-16,164,2,1,0,154,1
2020-08-17,164,0,1,0,154,0
2020-08-18,164,0,1,0,154,0
2020-08-19,165,1,1,0,156,2
2020-08-20,165,0,2,1,158,2
2020-08-21,167,2,2,0,160,2
2020-08-22,167,0,2,0,160,0
2020-08-23,167,0,2,0,160,0
2020-08-24,168,1,2,0,160,0
2020-08-25,168,0,2,0,161,1
2020-08-26,169,1,2,0,161,0
2020-08-27,170,1,2,0,161,0
2020-08-28,171,1,2,0,161,0
2020-08-29,171,0,2,0,163,2
2020-08-30,171,0,2,0,164,1
2020-08-31,171,0,2,0,164,0
2020-09-01,172,1,2,0,164,0
2020-09-02,172,0,2,0,164,0
2020-09-03,172,0,2,0,164,0
2020-09-04,172,0,2,0,167,3
2020-09-05,174,2,2,0,167,0
2020-09-06,174,0,2,0,167,0
2020-09-07,174,0,2,0,167,0
2020-09-08,174,0,2,0,167,0
2020-09-09,174,0,2,0,167,0
2020-09-10,175,1,2,0,168,1
2020-09-11,177,2,2,0,169,1
2020-09-12,178,1,2,0,169,0
2020-09-13,179,1,2,0,169,0
2020-09-14,179,0,2,0,169,0
2020-09-15,180,1,2,0,169,0
2020-09-16,180,0,2,0,169,0
2020-09-17,180,0,2,0,170,1
2020-09-18,181,1,2,0,171,1
2020-09-19,182,1,2,0,172,1
2020-09-20,182,0,2,0,172,0
2020-09-21,183,1,2,0,172,0
2020-09-22,183,0,2,0,172,0
2020-09-23,185,2,2,0,175,3
2020-09-24,185,0,2,0,175,0
2020-09-25,187,2,2,0,175,0
2020-09-26,190,3,2,0,176,1
2020-09-27,190,0,2,0,177,1
2020-09-28,192,2,2,0,177,0
2020-09-29,192,0,2,0,179,2
2020-09-30,192,0,2,0,179,0
2020-10-01,194,2,2,0,182,3
2020-10-02,196,2,2,0,182,0
2020-10-03,199,3,2,0,182,0
2020-10-04,200,1,2,0,182,0
2020-10-05,201,1,2,0,184,2
2020-10-06,201,0,2,0,185,1
2020-10-07,202,1,2,0,185,0
2020-10-08,204,2,2,0,185,0
2020-10-09,208,4,2,0,186,1
2020-10-10,209,1,2,0,187,1
2020-10-11,210,1,2,0,187,0
2020-10-12,210,0,2,0,187,0
2020-10-13,212,2,2,0,189,2
2020-10-14,212,0,2,0,192,3
