date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0
2020-04-08,0,0,0,0,0,0
2020-04-09,0,0,0,0,0,0
2020-04-10,6,6,0,0,0,0
2020-04-11,6,0,0,0,0,0
2020-04-12,6,0,0,0,0,0
2020-04-13,6,0,0,0,0,0
2020-04-14,6,0,0,0,0,0
2020-04-15,6,0,0,0,0,0
2020-04-16,8,2,0,0,0,0
2020-04-17,9,1,0,0,0,0
2020-04-18,9,0,0,0,0,0
2020-04-19,13,4,0,0,0,0
2020-04-20,13,0,0,0,0,0
2020-04-21,13,0,0,0,0,0
2020-04-22,13,0,0,0,0,0
2020-04-23,14,1,0,0,0,0
2020-04-24,15,1,0,0,0,0
2020-04-25,24,9,0,0,0,0
2020-04-26,27,3,0,0,0,0
2020-04-27,30,3,0,0,0,0
2020-04-28,31,1,0,0,8,8
2020-04-29,31,0,0,0,25,17
2020-04-30,33,2,0,0,29,4
2020-05-01,39,6,0,0,29,0
2020-05-02,40,1,0,0,29,0
2020-05-03,43,3,0,0,29,0
2020-05-04,47,4,0,0,29,0
2020-05-05,51,4,0,0,29,0
2020-05-06,51,0,0,0,29,0
2020-05-07,55,4,0,0,29,0
2020-05-08,56,1,0,0,29,0
2020-05-09,60,4,0,0,29,0
2020-05-10,81,21,0,0,29,0
2020-05-11,93,12,0,0,29,0
2020-05-12,144,51,0,0,30,1
2020-05-13,157,13,1,1,43,13
2020-05-14,196,39,1,0,43,0
2020-05-15,222,26,1,0,44,1
2020-05-16,252,30,1,0,44,0
2020-05-17,269,17,1,0,44,0
2020-05-18,299,30,1,0,44,0
2020-05-19,351,52,1,0,48,4
2020-05-20,407,56,1,0,49,1
2020-05-21,451,44,1,0,50,1
2020-05-22,530,79,1,0,56,6
2020-05-23,576,46,1,0,57,1
2020-05-24,628,52,1,0,57,0
2020-05-25,706,78,1,0,57,0
2020-05-26,760,54,1,0,57,0
2020-05-27,818,58,1,0,80,23
2020-05-28,876,58,2,1,83,3
2020-05-29,942,66,2,0,86,3
2020-05-30,997,55,2,0,91,5
2020-05-31,1055,58,2,0,91,0
2020-06-01,1115,60,2,0,93,2
2020-06-02,1161,46,2,0,174,81
2020-06-03,1221,60,2,0,227,53
2020-06-04,1297,76,2,0,227,0
2020-06-05,1391,94,2,0,232,5
2020-06-06,1489,98,2,0,250,18
2020-06-07,1607,118,2,0,267,17
2020-06-08,1738,131,2,0,273,6
2020-06-09,1835,97,2,0,337,64
2020-06-10,1914,79,2,0,359,22
2020-06-11,2027,113,2,0,368,9
2020-06-12,2203,176,2,0,373,5
2020-06-13,2304,101,2,0,378,5
2020-06-14,2494,190,2,0,386,8
2020-06-15,2566,72,2,0,393,7
2020-06-16,2651,85,2,0,409,16
2020-06-17,2761,110,3,1,447,38
2020-06-18,2883,122,3,0,497,50
2020-06-19,2998,115,3,0,526,29
2020-06-20,3138,140,3,0,553,27
2020-06-21,3285,147,3,0,579,26
2020-06-22,3435,150,3,0,579,0
2020-06-23,3575,140,3,0,603,24
2020-06-24,3713,138,3,0,655,52
2020-06-25,3853,140,3,0,774,119
2020-06-26,3983,130,3,0,899,125
2020-06-27,4111,128,3,0,997,98
2020-06-28,4235,124,3,0,1002,5
2020-06-29,4361,126,3,0,1095,93
2020-06-30,4486,125,3,0,1149,54
2020-07-01,4605,119,3,0,1217,68
2020-07-02,4717,112,3,0,1323,106
2020-07-03,4827,110,3,0,1381,58
2020-07-04,4927,100,4,1,1663,282
2020-07-05,5008,81,4,0,1721,58
2020-07-06,5083,75,13,9,1796,75
2020-07-07,5156,73,19,6,1915,119
2020-07-08,5226,70,25,6,1973,58
2020-07-09,5280,54,25,0,2007,34
2020-07-10,5325,45,31,6,2023,16
2020-07-11,5365,40,32,1,2028,5
2020-07-12,5404,39,32,0,2034,6
2020-07-13,5444,40,32,0,2039,5
2020-07-14,5490,46,40,8,2174,135
2020-07-15,5537,47,42,2,2366,192
2020-07-16,5582,45,45,3,2529,163
2020-07-17,5614,32,45,0,2599,70
2020-07-18,5652,38,45,0,2690,91
2020-07-19,5692,40,45,0,2840,150
2020-07-20,5732,40,45,0,2904,64
2020-07-21,5777,45,45,0,3038,134
2020-07-22,5812,35,46,1,3139,101
2020-07-23,5847,35,46,0,3236,97
2020-07-24,5883,36,46,0,3405,169
2020-07-25,5924,41,47,1,3549,144
2020-07-26,5956,32,47,0,3608,59
2020-07-27,5988,32,49,2,3676,68
2020-07-28,6018,30,50,1,3814,138
2020-07-29,6048,30,55,5,3907,93
2020-07-30,6080,32,55,0,4010,103
2020-07-31,6109,29,57,2,4130,120
2020-08-01,6137,28,57,0,4208,78
2020-08-02,6159,22,57,0,4240,32
2020-08-03,6189,30,58,1,4285,45
2020-08-04,6216,27,59,1,4427,142
2020-08-05,6241,25,60,1,4567,140
2020-08-06,6258,17,60,0,4615,48
2020-08-07,6284,26,60,0,4752,137
2020-08-08,6308,24,60,0,4960,208
2020-08-09,6333,25,60,0,4998,38
2020-08-10,6352,19,60,0,5064,66
2020-08-11,6375,23,60,0,5344,280
2020-08-12,6396,21,60,0,5412,68
2020-08-13,6421,25,60,0,5518,106
2020-08-14,6443,22,60,0,5586,68
2020-08-15,6463,20,60,0,5631,45
2020-08-16,6482,19,60,0,5649,18
2020-08-17,6501,19,60,0,5665,16
2020-08-18,6520,19,60,0,5769,104
2020-08-19,6549,29,60,0,5792,23
2020-08-20,6567,18,60,0,5829,37
2020-08-21,6589,22,60,0,5879,50
2020-08-22,6614,25,60,0,5922,43
2020-08-23,6634,20,60,0,5931,9
2020-08-24,6658,24,60,0,5932,1
2020-08-25,6681,23,60,0,6015,83
2020-08-26,6706,25,60,0,6066,51
2020-08-27,6730,24,60,0,6093,27
2020-08-28,6747,17,60,0,6107,14
2020-08-29,6770,23,60,0,6135,28
2020-08-30,6796,26,65,5,6135,0
2020-08-31,6824,28,65,0,6167,32
2020-09-01,6841,17,65,0,6207,40
2020-09-02,6862,21,65,0,6231,24
2020-09-03,6890,28,65,0,6253,22
2020-09-04,6913,23,65,0,6266,13
2020-09-05,6934,21,65,0,6276,10
2020-09-06,6956,22,65,0,6314,38
2020-09-07,6983,27,65,0,6314,0
2020-09-08,7007,24,65,0,6361,47
2020-09-09,7032,25,67,2,6389,28
2020-09-10,7049,17,67,0,6422,33
2020-09-11,7073,24,67,0,6436,14
2020-09-12,7099,26,67,0,6469,33
2020-09-13,7130,31,67,0,6473,4
2020-09-14,7156,26,67,0,6483,10
2020-09-15,7187,31,67,0,6506,23
2020-09-16,7222,35,67,0,6529,23
2020-09-17,7255,33,67,0,6541,12
2020-09-18,7291,36,71,4,6581,40
2020-09-19,7321,30,71,0,6609,28
2020-09-20,7357,36,71,0,6616,7
2020-09-21,7395,38,71,0,6622,6
2020-09-22,7435,40,79,8,6631,9
2020-09-23,7479,44,83,4,6649,18
2020-09-24,7517,38,84,1,6670,21
2020-09-25,7547,30,84,0,6710,40
2020-09-26,7584,37,84,0,6736,26
2020-09-27,7626,42,84,0,6750,14
2020-09-28,7669,43,84,0,6751,1
2020-09-29,7710,41,84,0,6771,20
2020-09-30,7752,42,84,0,6778,7
2020-10-01,7796,44,84,0,6788,10
2020-10-02,7835,39,84,0,6849,61
2020-10-03,7868,33,84,0,6878,29
2020-10-04,7898,30,84,0,6880,2
2020-10-05,7931,33,84,0,6881,1
2020-10-06,7967,36,84,0,6892,11
2020-10-07,7989,22,84,0,6903,11
2020-10-08,8020,31,85,1,6920,17
2020-10-09,8056,36,85,0,6926,6
2020-10-10,8095,39,85,0,6937,11
2020-10-11,8136,41,85,0,6999,62
2020-10-12,8179,43,85,0,7001,2
2020-10-13,8226,47,85,0,7037,36
2020-10-14,8262,36,85,0,7066,29
