date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,1,1,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,1,0,0,0,0,0
2020-03-26,1,0,0,0,0,0
2020-03-27,1,0,0,0,0,0
2020-03-28,1,0,0,0,0,0
2020-03-29,1,0,0,0,0,0
2020-03-30,1,0,0,0,0,0
2020-03-31,1,0,0,0,1,1
2020-04-01,1,0,0,0,1,0
2020-04-02,1,0,0,0,1,0
2020-04-03,1,0,0,0,1,0
2020-04-04,2,1,0,0,1,0
2020-04-05,2,0,0,0,1,0
2020-04-06,2,0,0,0,1,0
2020-04-07,2,0,0,0,1,0
2020-04-08,3,1,0,0,1,0
2020-04-09,3,0,0,0,1,0
2020-04-10,3,0,0,0,1,0
2020-04-11,3,0,0,0,1,0
2020-04-12,4,1,0,0,1,0
2020-04-13,4,0,0,0,1,0
2020-04-14,4,0,0,0,1,0
2020-04-15,10,6,0,0,1,0
2020-04-16,11,1,0,0,3,2
2020-04-17,12,1,0,0,3,0
2020-04-18,13,1,0,0,3,0
2020-04-19,13,0,0,0,3,0
2020-04-20,13,0,0,0,3,0
2020-04-21,15,2,0,0,3,0
2020-04-22,15,0,0,0,3,0
2020-04-23,20,5,0,0,3,0
2020-04-24,22,2,0,0,3,0
2020-04-25,27,5,0,0,4,1
2020-04-26,29,2,0,0,4,0
2020-04-27,31,2,0,0,4,0
2020-04-28,33,2,0,0,4,0
2020-04-29,39,6,0,0,9,5
2020-04-30,40,1,0,0,11,2
2020-05-01,45,5,0,0,11,0
2020-05-02,49,4,0,0,11,0
2020-05-03,51,2,0,0,11,0
2020-05-04,52,1,0,0,16,5
2020-05-05,55,3,0,0,19,3
2020-05-06,56,1,0,0,22,3
2020-05-07,61,5,0,0,24,2
2020-05-08,65,4,0,0,29,5
2020-05-09,71,6,0,0,33,4
2020-05-10,73,2,0,0,33,0
2020-05-11,79,6,0,0,35,2
2020-05-12,84,5,0,0,37,2
2020-05-13,86,2,0,0,38,1
2020-05-14,95,9,0,0,40,2
2020-05-15,103,8,0,0,43,3
2020-05-16,109,6,0,0,43,0
2020-05-17,111,2,0,0,44,1
2020-05-18,119,8,0,0,46,2
2020-05-19,130,11,0,0,52,6
2020-05-20,133,3,0,0,54,2
2020-05-21,150,17,0,0,58,4
2020-05-22,169,19,0,0,60,2
2020-05-23,177,8,0,0,68,8
2020-05-24,179,2,0,0,72,4
2020-05-25,183,4,0,0,79,7
2020-05-26,189,6,0,0,80,1
2020-05-27,192,3,0,0,85,5
2020-05-28,199,7,0,0,92,7
2020-05-29,202,3,0,0,94,2
2020-05-30,218,16,0,0,105,11
2020-05-31,231,13,0,0,115,10
2020-06-01,245,14,0,0,118,3
2020-06-02,252,7,0,0,134,16
2020-06-03,255,3,0,0,144,10
2020-06-04,259,4,0,0,148,4
2020-06-05,268,9,0,0,153,5
2020-06-06,280,12,0,0,158,5
2020-06-07,288,8,0,0,180,22
2020-06-08,306,18,0,0,183,3
2020-06-09,314,8,0,0,200,17
2020-06-10,330,16,0,0,200,0
2020-06-11,344,14,0,0,208,8
2020-06-12,355,11,0,0,212,4
2020-06-13,369,14,0,0,214,2
2020-06-14,384,15,0,0,220,6
2020-06-15,404,20,0,0,242,22
2020-06-16,413,9,0,0,244,2
2020-06-17,422,9,0,0,248,4
2020-06-18,441,19,0,0,252,4
2020-06-19,473,32,0,0,258,6
2020-06-20,501,28,0,0,272,14
2020-06-21,528,27,0,0,278,6
2020-06-22,571,43,0,0,290,12
2020-06-23,591,20,0,0,312,22
2020-06-24,625,34,0,0,333,21
2020-06-25,660,35,1,1,345,12
2020-06-26,679,19,1,0,357,12
2020-06-27,700,21,1,0,386,29
2020-06-28,739,39,1,0,399,13
2020-06-29,753,14,1,0,420,21
2020-06-30,786,33,1,0,427,7
2020-07-01,794,8,1,0,452,25
2020-07-02,834,40,1,0,455,3
2020-07-03,864,30,1,0,506,51
2020-07-04,905,41,1,0,517,11
2020-07-05,947,42,1,0,528,11
2020-07-06,1000,53,1,0,550,22
2020-07-07,1058,58,1,0,568,18
2020-07-08,1119,61,1,0,600,32
2020-07-09,1180,61,2,1,611,11
2020-07-10,1240,60,2,0,626,15
2020-07-11,1303,63,2,0,635,9
2020-07-12,1368,65,2,0,643,8
2020-07-13,1432,64,2,0,658,15
2020-07-14,1490,58,2,0,672,14
2020-07-15,1546,56,3,1,722,50
2020-07-16,1601,55,3,0,770,48
2020-07-17,1653,52,3,0,796,26
2020-07-18,1703,50,3,0,817,21
2020-07-19,1752,49,3,0,837,20
2020-07-20,1803,51,3,0,861,24
2020-07-21,1850,47,3,0,917,56
2020-07-22,1894,44,7,4,982,65
2020-07-23,1936,42,7,0,1022,40
2020-07-24,1979,43,7,0,1099,77
2020-07-25,2017,38,7,0,1187,88
2020-07-26,2055,38,7,0,1223,36
2020-07-27,2091,36,7,0,1254,31
2020-07-28,2126,35,9,2,1353,99
2020-07-29,2163,37,9,0,1459,106
2020-07-30,2199,36,9,0,1543,84
2020-07-31,2234,35,9,0,1619,76
2020-08-01,2267,33,10,1,1685,66
2020-08-02,2303,36,10,0,1689,4
2020-08-03,2336,33,10,0,1708,19
2020-08-04,2368,32,10,0,1759,51
2020-08-05,2398,30,10,0,1808,49
2020-08-06,2426,28,10,0,1882,74
2020-08-07,2450,24,10,0,1934,52
2020-08-08,2471,21,10,0,1984,50
2020-08-09,2490,19,10,0,1984,0
2020-08-10,2507,17,10,0,2044,60
2020-08-11,2523,16,10,0,2123,79
2020-08-12,2541,18,11,1,2156,33
2020-08-13,2558,17,12,1,2177,21
2020-08-14,2578,20,13,1,2200,23
2020-08-15,2601,23,14,1,2241,41
2020-08-16,2628,27,14,0,2244,3
2020-08-17,2654,26,14,0,2255,11
2020-08-18,2679,25,14,0,2281,26
2020-08-19,2703,24,15,1,2313,32
2020-08-20,2729,26,16,1,2353,40
2020-08-21,2752,23,17,1,2383,30
2020-08-22,2777,25,17,0,2401,18
2020-08-23,2800,23,17,0,2403,2
2020-08-24,2824,24,17,0,2403,0
2020-08-25,2846,22,17,0,2434,31
2020-08-26,2870,24,17,0,2468,34
2020-08-27,2891,21,17,0,2489,21
2020-08-28,2914,23,17,0,2540,51
2020-08-29,2934,20,17,0,2565,25
2020-08-30,2957,23,17,0,2577,12
2020-08-31,2981,24,17,0,2604,27
2020-09-01,3003,22,17,0,2632,28
2020-09-02,3027,24,17,0,2656,24
2020-09-03,3050,23,18,1,2678,22
2020-09-04,3071,21,19,1,2699,21
2020-09-05,3096,25,19,0,2710,11
2020-09-06,3121,25,19,0,2714,4
2020-09-07,3145,24,19,0,2717,3
2020-09-08,3172,27,20,1,2786,69
2020-09-09,3198,26,21,1,2799,13
2020-09-10,3224,26,21,0,2814,15
2020-09-11,3253,29,21,0,2835,21
2020-09-12,3282,29,22,1,2850,15
2020-09-13,3310,28,22,0,2861,11
2020-09-14,3336,26,22,0,2876,15
2020-09-15,3361,25,23,1,2891,15
2020-09-16,3389,28,24,1,2907,16
2020-09-17,3419,30,24,0,2933,26
2020-09-18,3447,28,25,1,2964,31
2020-09-19,3472,25,26,1,2973,9
2020-09-20,3499,27,26,0,2976,3
2020-09-21,3525,26,26,0,3004,28
2020-09-22,3553,28,27,1,3039,35
2020-09-23,3583,30,28,1,3053,14
2020-09-24,3611,28,28,0,3087,34
2020-09-25,3642,31,29,1,3098,11
2020-09-26,3675,33,30,1,3131,33
2020-09-27,3706,31,30,0,3139,8
2020-09-28,3736,30,30,0,3151,12
2020-09-29,3768,32,31,1,3179,28
2020-09-30,3803,35,32,1,3220,41
2020-10-01,3839,36,33,1,3249,29
2020-10-02,3874,35,34,1,3264,15
2020-10-03,3911,37,34,0,3326,62
2020-10-04,3950,39,34,0,3370,44
2020-10-05,4009,59,36,2,3377,7
2020-10-06,4064,55,37,1,3428,51
2020-10-07,4118,54,37,0,3521,93
2020-10-08,4178,60,39,2,3558,37
2020-10-09,4239,61,41,2,3632,74
2020-10-10,4303,64,44,3,3661,29
2020-10-11,4369,66,44,0,3684,23
2020-10-12,4434,65,44,0,3732,48
2020-10-13,4498,64,47,3,3774,42
2020-10-14,4565,67,50,3,3803,29
