date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0
2020-04-03,1,1,0,0,0,0
2020-04-04,1,0,0,0,0,0
2020-04-05,1,0,0,0,0,0
2020-04-06,1,0,0,0,0,0
2020-04-07,7,6,0,0,0,0
2020-04-08,25,18,0,0,0,0
2020-04-09,25,0,0,0,0,0
2020-04-10,29,4,0,0,0,0
2020-04-11,29,0,0,0,0,0
2020-04-12,29,0,1,1,0,0
2020-04-13,34,5,1,0,0,0
2020-04-14,34,0,1,0,0,0
2020-04-15,90,56,1,0,1,1
2020-04-16,153,63,2,1,1,0
2020-04-17,191,38,2,0,1,0
2020-04-18,227,36,4,2,22,21
2020-04-19,269,42,5,1,22,0
2020-04-20,308,39,5,0,22,0
2020-04-21,354,46,9,4,30,8
2020-04-22,397,43,12,3,38,8
2020-04-23,436,39,13,1,50,12
2020-04-24,474,38,13,0,56,6
2020-04-25,515,41,13,0,67,11
2020-04-26,552,37,13,0,75,8
2020-04-27,590,38,17,4,90,15
2020-04-28,633,43,18,1,97,7
2020-04-29,679,46,19,1,102,5
2020-04-30,722,43,20,1,105,3
2020-05-01,769,47,22,2,129,24
2020-05-02,814,45,23,1,152,23
2020-05-03,865,51,25,2,158,6
2020-05-04,918,53,26,1,186,28
2020-05-05,966,48,26,0,190,4
2020-05-06,1018,52,27,1,198,8
2020-05-07,1067,49,28,1,248,50
2020-05-08,1108,41,28,0,250,2
2020-05-09,1152,44,28,0,263,13
2020-05-10,1199,47,29,1,272,9
2020-05-11,1245,46,29,0,287,15
2020-05-12,1290,45,29,0,321,34
2020-05-13,1333,43,32,3,331,10
2020-05-14,1372,39,33,1,331,0
2020-05-15,1407,35,35,2,337,6
2020-05-16,1443,36,35,0,346,9
2020-05-17,1480,37,35,0,353,7
2020-05-18,1515,35,35,0,359,6
2020-05-19,1561,46,35,0,399,40
2020-05-20,1605,44,35,0,607,208
2020-05-21,1648,43,36,1,675,68
2020-05-22,1692,44,38,2,728,53
2020-05-23,1734,42,38,0,779,51
2020-05-24,1778,44,38,0,779,0
2020-05-25,1823,45,41,3,780,1
2020-05-26,1866,43,42,1,784,4
2020-05-27,1906,40,47,5,784,0
2020-05-28,1955,49,50,3,786,2
2020-05-29,2000,45,50,0,809,23
2020-05-30,2044,44,50,0,843,34
2020-05-31,2083,39,50,0,845,2
2020-06-01,2127,44,50,0,859,14
2020-06-02,2164,37,52,2,906,47
2020-06-03,2197,33,58,6,966,60
2020-06-04,2228,31,60,2,1193,227
2020-06-05,2268,40,61,1,1316,123
2020-06-06,2307,39,61,0,1432,116
2020-06-07,2342,35,61,0,1505,73
2020-06-08,2368,26,61,0,1508,3
2020-06-09,2399,31,62,1,1623,115
2020-06-10,2438,39,62,0,1652,29
2020-06-11,2474,36,62,0,1679,27
2020-06-12,2510,36,62,0,1850,171
2020-06-13,2550,40,62,0,2113,263
2020-06-14,2587,37,62,0,2113,0
2020-06-15,2623,36,62,0,2125,12
2020-06-16,2657,34,63,1,2135,10
2020-06-17,2693,36,64,1,2169,34
2020-06-18,2725,32,64,0,2187,18
2020-06-19,2755,30,64,0,2205,18
2020-06-20,2782,27,64,0,2254,49
2020-06-21,2806,24,64,0,2254,0
2020-06-22,2828,22,64,0,2264,10
2020-06-23,2860,32,67,3,2332,68
2020-06-24,2889,29,67,0,2353,21
2020-06-25,2916,27,67,0,2374,21
2020-06-26,2946,30,67,0,2409,35
2020-06-27,2978,32,67,0,2434,25
2020-06-28,2995,17,67,0,2444,10
2020-06-29,3020,25,68,1,2449,5
2020-06-30,3047,27,68,0,2458,9
2020-07-01,3069,22,68,0,2467,9
2020-07-02,3088,19,69,1,2474,7
2020-07-03,3112,24,69,0,2486,12
2020-07-04,3138,26,69,0,2494,8
2020-07-05,3154,16,69,0,2494,0
2020-07-06,3169,15,69,0,2497,3
2020-07-07,3185,16,70,1,2502,5
2020-07-08,3205,20,71,1,2508,6
2020-07-09,3228,23,71,0,2512,4
2020-07-10,3253,25,71,0,2515,3
2020-07-11,3280,27,71,0,2524,9
2020-07-12,3302,22,71,0,2524,0
2020-07-13,3318,16,71,0,2524,0
2020-07-14,3328,10,71,0,2529,5
2020-07-15,3344,16,71,0,2529,0
2020-07-16,3366,22,71,0,2531,2
2020-07-17,3393,27,71,0,2533,2
2020-07-18,3419,26,71,0,2538,5
2020-07-19,3438,19,71,0,2538,0
2020-07-20,3448,10,71,0,2538,0
2020-07-21,3459,11,71,0,2607,69
2020-07-22,3481,22,72,1,2657,50
2020-07-23,3502,21,72,0,2682,25
2020-07-24,3529,27,73,1,2755,73
2020-07-25,3549,20,73,0,2789,34
2020-07-26,3578,29,73,0,2814,25
2020-07-27,3605,27,73,0,2817,3
2020-07-28,3620,15,73,0,2860,43
2020-07-29,3644,24,73,0,2900,40
2020-07-30,3665,21,73,0,2917,17
2020-07-31,3688,23,73,0,2965,48
2020-08-01,3709,21,73,0,2965,0
2020-08-02,3729,20,74,1,2986,21
2020-08-03,3744,15,74,0,2988,2
2020-08-04,3755,11,74,0,3017,29
2020-08-05,3770,15,74,0,3162,145
2020-08-06,3792,22,74,0,3196,34
2020-08-07,3822,30,74,0,3221,25
2020-08-08,3847,25,74,0,3225,4
2020-08-09,3869,22,74,0,3274,49
2020-08-10,3885,16,74,0,3276,2
2020-08-11,3904,19,75,1,3312,36
2020-08-12,3933,29,75,0,3335,23
2020-08-13,3954,21,75,0,3406,71
2020-08-14,3981,27,75,0,3467,61
2020-08-15,4004,23,75,0,3488,21
2020-08-16,4025,21,75,0,3496,8
2020-08-17,4045,20,75,0,3496,0
2020-08-18,4069,24,75,0,3514,18
2020-08-19,4095,26,75,0,3585,71
2020-08-20,4116,21,76,1,3617,32
2020-08-21,4140,24,76,0,3678,61
2020-08-22,4162,22,76,0,3723,45
2020-08-23,4182,20,76,0,3725,2
2020-08-24,4205,23,76,0,3750,25
2020-08-25,4232,27,76,0,3772,22
2020-08-26,4256,24,76,0,3790,18
2020-08-27,4277,21,76,0,3808,18
2020-08-28,4306,29,76,0,3858,50
2020-08-29,4338,32,76,0,3877,19
2020-08-30,4368,30,76,0,3890,13
2020-08-31,4397,29,76,0,3892,2
2020-09-01,4424,27,76,0,3933,41
2020-09-02,4454,30,76,0,3947,14
2020-09-03,4477,23,76,0,3963,16
2020-09-04,4510,33,76,0,3978,15
2020-09-05,4547,37,76,0,3983,5
2020-09-06,4586,39,77,1,4026,43
2020-09-07,4622,36,77,0,4026,0
2020-09-08,4663,41,77,0,4044,18
2020-09-09,4702,39,77,0,4067,23
2020-09-10,4736,34,77,0,4075,8
2020-09-11,4773,37,77,0,4195,120
2020-09-12,4814,41,77,0,4214,19
2020-09-13,4859,45,77,0,4219,5
2020-09-14,4901,42,77,0,4258,39
2020-09-15,4949,48,77,0,4295,37
2020-09-16,4995,46,78,1,4323,28
2020-09-17,5044,49,78,0,4341,18
2020-09-18,5089,45,78,0,4394,53
2020-09-19,5136,47,78,0,4408,14
2020-09-20,5185,49,79,1,4465,57
2020-09-21,5231,46,79,0,4492,27
2020-09-22,5279,48,80,1,4529,37
2020-09-23,5328,49,82,2,4553,24
2020-09-24,5380,52,82,0,4568,15
2020-09-25,5430,50,82,0,4584,16
2020-09-26,5479,49,83,1,4632,48
2020-09-27,5530,51,83,0,4674,42
2020-09-28,5575,45,83,0,4681,7
2020-09-29,5626,51,83,0,4700,19
2020-09-30,5674,48,83,0,4708,8
2020-10-01,5727,53,83,0,4773,65
2020-10-02,5779,52,83,0,4791,18
2020-10-03,5833,54,83,0,4812,21
2020-10-04,5884,51,83,0,4826,14
2020-10-05,5933,49,84,1,4831,5
2020-10-06,5986,53,84,0,4895,64
2020-10-07,6037,51,84,0,4969,74
2020-10-08,6085,48,85,1,4996,27
2020-10-09,6140,55,86,1,5027,31
2020-10-10,6194,54,86,0,5102,75
2020-10-11,6246,52,86,0,5140,38
2020-10-12,6296,50,86,0,5151,11
2020-10-13,6350,54,86,0,5166,15
2020-10-14,6407,57,86,0,5173,7
