date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0
2020-04-03,3,3,0,0,0,0
2020-04-04,3,0,0,0,0,0
2020-04-05,3,0,0,0,0,0
2020-04-06,3,0,0,0,0,0
2020-04-07,3,0,0,0,0,0
2020-04-08,6,3,0,0,0,0
2020-04-09,6,0,0,0,0,0
2020-04-10,8,2,0,0,0,0
2020-04-11,8,0,0,0,0,0
2020-04-12,8,0,0,0,0,0
2020-04-13,9,1,0,0,0,0
2020-04-14,9,0,0,0,0,0
2020-04-15,9,0,0,0,0,0
2020-04-16,10,1,0,0,0,0
2020-04-17,16,6,0,0,4,4
2020-04-18,19,3,0,0,4,0
2020-04-19,20,1,0,0,4,0
2020-04-20,22,2,0,0,4,0
2020-04-21,43,21,0,0,4,0
2020-04-22,52,9,0,0,6,2
2020-04-23,66,14,0,0,6,0
2020-04-24,80,14,0,0,9,3
2020-04-25,86,6,0,0,9,0
2020-04-26,86,0,0,0,9,0
2020-04-27,101,15,0,0,9,0
2020-04-28,113,12,0,0,9,0
2020-04-29,118,5,0,0,9,0
2020-04-30,124,6,0,0,9,0
2020-05-01,131,7,0,0,13,4
2020-05-02,134,3,0,0,13,0
2020-05-03,143,9,0,0,13,0
2020-05-04,145,2,0,0,15,2
2020-05-05,148,3,0,0,15,0
2020-05-06,153,5,0,0,20,5
2020-05-07,159,6,0,0,23,3
2020-05-08,170,11,0,0,23,0
2020-05-09,175,5,1,1,34,11
2020-05-10,179,4,1,0,34,0
2020-05-11,185,6,1,0,39,5
2020-05-12,188,3,1,0,39,0
2020-05-13,212,24,1,0,48,9
2020-05-14,218,6,1,0,49,1
2020-05-15,222,4,2,1,60,11
2020-05-16,225,3,2,0,62,2
2020-05-17,230,5,2,0,66,4
2020-05-18,230,0,2,0,85,19
2020-05-19,236,6,2,0,87,2
2020-05-20,246,10,2,0,89,2
2020-05-21,261,15,2,0,90,1
2020-05-22,262,1,2,0,97,7
2020-05-23,263,1,2,0,113,16
2020-05-24,266,3,2,0,150,37
2020-05-25,267,1,2,0,150,0
2020-05-26,272,5,3,1,168,18
2020-05-27,274,2,3,0,174,6
2020-05-28,281,7,3,0,181,7
2020-05-29,288,7,3,0,184,3
2020-05-30,299,11,3,0,198,14
2020-05-31,309,10,3,0,198,0
2020-06-01,314,5,3,0,198,0
2020-06-02,314,0,3,0,211,13
2020-06-03,317,3,4,1,229,18
2020-06-04,323,6,4,0,240,11
2020-06-05,329,6,4,0,247,7
2020-06-06,336,7,4,0,249,2
2020-06-07,343,7,4,0,249,0
2020-06-08,347,4,4,0,250,1
2020-06-09,350,3,4,0,256,6
2020-06-10,356,6,4,0,261,5
2020-06-11,363,7,4,0,263,2
2020-06-12,367,4,4,0,275,12
2020-06-13,371,4,4,0,276,1
2020-06-14,374,3,4,0,278,2
2020-06-15,374,0,4,0,278,0
2020-06-16,378,4,4,0,278,0
2020-06-17,382,4,5,1,289,11
2020-06-18,386,4,5,0,297,8
2020-06-19,390,4,5,0,308,11
2020-06-20,394,4,5,0,315,7
2020-06-21,397,3,5,0,315,0
2020-06-22,399,2,5,0,316,1
2020-06-23,400,1,5,0,328,12
2020-06-24,404,4,5,0,332,4
2020-06-25,408,4,5,0,332,0
2020-06-26,413,5,5,0,338,6
2020-06-27,417,4,5,0,345,7
2020-06-28,421,4,5,0,345,0
2020-06-29,424,3,5,0,345,0
2020-06-30,426,2,5,0,347,2
2020-07-01,428,2,5,0,353,6
2020-07-02,430,2,5,0,353,0
2020-07-03,433,3,5,0,356,3
2020-07-04,435,2,5,0,360,4
2020-07-05,438,3,6,1,362,2
2020-07-06,441,3,6,0,362,0
2020-07-07,446,5,6,0,365,3
2020-07-08,452,6,6,0,370,5
2020-07-09,457,5,6,0,372,2
2020-07-10,462,5,6,0,376,4
2020-07-11,469,7,6,0,398,22
2020-07-12,476,7,6,0,398,0
2020-07-13,482,6,6,0,400,2
2020-07-14,487,5,6,0,402,2
2020-07-15,491,4,6,0,403,1
2020-07-16,495,4,6,0,403,0
2020-07-17,499,4,7,1,406,3
2020-07-18,503,4,7,0,406,0
2020-07-19,506,3,7,0,411,5
2020-07-20,507,1,7,0,411,0
2020-07-21,509,2,7,0,423,12
2020-07-22,511,2,7,0,428,5
2020-07-23,512,1,7,0,437,9
2020-07-24,514,2,7,0,439,2
2020-07-25,517,3,7,0,439,0
2020-07-26,520,3,8,1,446,7
2020-07-27,523,3,8,0,446,0
2020-07-28,525,2,8,0,450,4
2020-07-29,529,4,8,0,455,5
2020-07-30,532,3,8,0,455,0
2020-07-31,534,2,8,0,470,15
2020-08-01,537,3,8,0,476,6
2020-08-02,538,1,8,0,476,0
2020-08-03,539,1,8,0,476,0
2020-08-04,541,2,8,0,486,10
2020-08-05,543,2,8,0,486,0
2020-08-06,547,4,8,0,487,1
2020-08-07,550,3,8,0,491,4
2020-08-08,554,4,8,0,495,4
2020-08-09,557,3,8,0,495,0
2020-08-10,560,3,8,0,495,0
2020-08-11,564,4,8,0,495,0
2020-08-12,568,4,8,0,505,10
2020-08-13,570,2,8,0,505,0
2020-08-14,573,3,8,0,505,0
2020-08-15,576,3,8,0,511,6
2020-08-16,579,3,8,0,511,0
2020-08-17,582,3,8,0,511,0
2020-08-18,584,2,8,0,517,6
2020-08-19,585,1,9,1,525,8
2020-08-20,587,2,9,0,525,0
2020-08-21,588,1,9,0,525,0
2020-08-22,590,2,9,0,534,9
2020-08-23,592,2,9,0,534,0
2020-08-24,594,2,9,0,534,0
2020-08-25,598,4,9,0,534,0
2020-08-26,602,4,9,0,534,0
2020-08-27,605,3,9,0,550,16
2020-08-28,609,4,9,0,550,0
2020-08-29,615,6,9,0,550,0
2020-08-30,620,5,9,0,550,0
2020-08-31,626,6,9,0,550,0
2020-09-01,632,6,9,0,563,13
2020-09-02,639,7,9,0,563,0
2020-09-03,646,7,9,0,563,0
2020-09-04,655,9,9,0,577,14
2020-09-05,663,8,9,0,577,0
2020-09-06,670,7,9,0,577,0
2020-09-07,677,7,9,0,577,0
2020-09-08,685,8,9,0,591,14
2020-09-09,693,8,9,0,591,0
2020-09-10,700,7,9,0,611,20
2020-09-11,705,5,9,0,613,2
2020-09-12,712,7,9,0,613,0
2020-09-13,718,6,9,0,624,11
2020-09-14,725,7,10,1,624,0
2020-09-15,733,8,10,0,625,1
2020-09-16,742,9,10,0,631,6
2020-09-17,751,9,10,0,639,8
2020-09-18,760,9,10,0,641,2
2020-09-19,772,12,10,0,642,1
2020-09-20,782,10,10,0,648,6
2020-09-21,793,11,10,0,648,0
2020-09-22,808,15,10,0,655,7
2020-09-23,823,15,10,0,655,0
2020-09-24,837,14,10,0,655,0
2020-09-25,852,15,11,1,669,14
2020-09-26,868,16,11,0,673,4
2020-09-27,883,15,12,1,673,0
2020-09-28,898,15,13,1,675,2
2020-09-29,913,15,13,0,677,2
2020-09-30,929,16,14,1,683,6
2020-10-01,945,16,14,0,683,0
2020-10-02,965,20,14,0,693,10
2020-10-03,983,18,14,0,693,0
2020-10-04,1008,25,15,1,694,1
2020-10-05,1034,26,16,1,701,7
2020-10-06,1062,28,18,2,713,12
2020-10-07,1089,27,19,1,734,21
2020-10-08,1118,29,19,0,734,0
2020-10-09,1146,28,19,0,761,27
2020-10-10,1176,30,19,0,767,6
2020-10-11,1203,27,19,0,772,5
2020-10-12,1231,28,19,0,774,2
2020-10-13,1260,29,19,0,779,5
2020-10-14,1290,30,19,0,779,0
