date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,1,1,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,1,0,0,0,0,0
2020-03-26,1,0,0,0,0,0
2020-03-27,1,0,0,0,0,0
2020-03-28,1,0,0,0,0,0
2020-03-29,3,2,0,0,0,0
2020-03-30,3,0,0,0,0,0
2020-03-31,3,0,0,0,0,0
2020-04-01,3,0,0,0,0,0
2020-04-02,3,0,0,0,0,0
2020-04-03,3,0,0,0,0,0
2020-04-04,3,0,0,0,0,0
2020-04-05,3,0,0,0,0,0
2020-04-06,5,2,0,0,0,0
2020-04-07,5,0,0,0,0,0
2020-04-08,5,0,0,0,0,0
2020-04-09,12,7,0,0,2,2
2020-04-10,18,6,0,0,3,1
2020-04-11,18,0,0,0,4,1
2020-04-12,18,0,0,0,4,0
2020-04-13,26,8,0,0,4,0
2020-04-14,26,0,0,0,4,0
2020-04-15,26,0,0,0,4,0
2020-04-16,53,27,0,0,4,0
2020-04-17,74,21,0,0,4,0
2020-04-18,80,6,1,1,4,0
2020-04-19,98,18,1,0,4,0
2020-04-20,108,10,1,0,4,0
2020-04-21,114,6,1,0,4,0
2020-04-22,140,26,1,0,4,0
2020-04-23,157,17,1,0,6,2
2020-04-24,171,14,1,0,8,2
2020-04-25,186,15,1,0,14,6
2020-04-26,211,25,2,1,14,0
2020-04-27,244,33,2,0,14,0
2020-04-28,254,10,2,0,18,4
2020-04-29,266,12,2,0,22,4
2020-04-30,279,13,2,0,22,0
2020-05-01,297,18,2,0,26,4
2020-05-02,322,25,2,0,31,5
2020-05-03,348,26,2,0,39,8
2020-05-04,372,24,2,0,43,4
2020-05-05,399,27,4,2,43,0
2020-05-06,417,18,5,1,56,13
2020-05-07,438,21,5,0,58,2
2020-05-08,457,19,5,0,69,11
2020-05-09,469,12,5,0,81,12
2020-05-10,497,28,5,0,102,21
2020-05-11,514,17,5,0,108,6
2020-05-12,541,27,5,0,117,9
2020-05-13,555,14,5,0,132,15
2020-05-14,570,15,5,0,144,12
2020-05-15,584,14,5,0,158,14
2020-05-16,598,14,5,0,170,12
2020-05-17,631,33,5,0,178,8
2020-05-18,652,21,5,0,182,4
2020-05-19,685,33,5,0,190,8
2020-05-20,695,10,5,0,217,27
2020-05-21,727,32,5,0,238,21
2020-05-22,749,22,5,0,250,12
2020-05-23,784,35,5,0,261,11
2020-05-24,844,60,5,0,268,7
2020-05-25,914,70,5,0,279,11
2020-05-26,1003,89,5,0,300,21
2020-05-27,1049,46,6,1,319,19
2020-05-28,1094,45,6,0,349,30
2020-05-29,1167,73,7,1,361,12
2020-05-30,1230,63,8,1,388,27
2020-05-31,1281,51,8,0,388,0
2020-06-01,1353,72,8,0,388,0
2020-06-02,1430,77,8,0,391,3
2020-06-03,1493,63,8,0,416,25
2020-06-04,1546,53,8,0,426,10
2020-06-05,1588,42,9,1,429,3
2020-06-06,1634,46,9,0,437,8
2020-06-07,1676,42,9,0,438,1
2020-06-08,1734,58,10,1,438,0
2020-06-09,1779,45,11,1,446,8
2020-06-10,1823,44,11,0,458,12
2020-06-11,1867,44,11,0,467,9
2020-06-12,1913,46,12,1,472,5
2020-06-13,1963,50,12,0,482,10
2020-06-14,2011,48,12,0,483,1
2020-06-15,2063,52,16,4,483,0
2020-06-16,2121,58,18,2,494,11
2020-06-17,2183,62,18,0,519,25
2020-06-18,2245,62,20,2,533,14
2020-06-19,2303,58,20,0,566,33
2020-06-20,2362,59,20,0,588,22
2020-06-21,2417,55,20,0,589,1
2020-06-22,2478,61,20,0,590,1
2020-06-23,2535,57,20,0,631,41
2020-06-24,2591,56,20,0,672,41
2020-06-25,2653,62,20,0,672,0
2020-06-26,2698,45,20,0,710,38
2020-06-27,2742,44,25,5,756,46
2020-06-28,2792,50,25,0,756,0
2020-06-29,2839,47,25,0,756,0
2020-06-30,2884,45,25,0,796,40
2020-07-01,2931,47,26,1,837,41
2020-07-02,2978,47,26,0,847,10
2020-07-03,3022,44,27,1,868,21
2020-07-04,3068,46,27,0,965,97
2020-07-05,3105,37,28,1,965,0
2020-07-06,3142,37,28,0,974,9
2020-07-07,3178,36,28,0,1030,56
2020-07-08,3217,39,28,0,1100,70
2020-07-09,3256,39,32,4,1188,88
2020-07-10,3296,40,39,7,1254,66
2020-07-11,3337,41,46,7,1493,239
2020-07-12,3376,39,52,6,1542,49
2020-07-13,3413,37,54,2,1561,19
2020-07-14,3431,18,56,2,1673,112
2020-07-15,3450,19,56,0,1735,62
2020-07-16,3470,20,61,5,1780,45
2020-07-17,3489,19,63,2,1840,60
2020-07-18,3510,21,63,0,1911,71
2020-07-19,3530,20,64,1,1916,5
2020-07-20,3549,19,64,0,1922,6
2020-07-21,3569,20,65,1,1977,55
2020-07-22,3584,15,69,4,2073,96
2020-07-23,3603,19,70,1,2096,23
2020-07-24,3621,18,70,0,2248,152
2020-07-25,3639,18,70,0,2298,50
2020-07-26,3656,17,70,0,2299,1
2020-07-27,3672,16,70,0,2299,0
2020-07-28,3690,18,70,0,2324,25
2020-07-29,3710,20,70,0,2355,31
2020-07-30,3729,19,71,1,2482,127
2020-07-31,3746,17,71,0,2534,52
2020-08-01,3766,20,72,1,2581,47
2020-08-02,3791,25,72,0,2583,2
2020-08-03,3811,20,72,0,2583,0
2020-08-04,3830,19,72,0,2598,15
2020-08-05,3843,13,72,0,2635,37
2020-08-06,3859,16,72,0,2683,48
2020-08-07,3872,13,72,0,2716,33
2020-08-08,3886,14,72,0,2741,25
2020-08-09,3902,16,72,0,2745,4
2020-08-10,3917,15,72,0,2745,0
2020-08-11,3933,16,72,0,2773,28
2020-08-12,3950,17,72,0,2808,35
2020-08-13,3969,19,72,0,2825,17
2020-08-14,3990,21,72,0,2867,42
2020-08-15,4010,20,72,0,2883,16
2020-08-16,4029,19,72,0,2883,0
2020-08-17,4050,21,72,0,2883,0
2020-08-18,4070,20,72,0,2915,32
2020-08-19,4092,22,72,0,2928,13
2020-08-20,4113,21,72,0,2952,24
2020-08-21,4132,19,72,0,2976,24
2020-08-22,4155,23,72,0,3033,57
2020-08-23,4175,20,72,0,3033,0
2020-08-24,4195,20,72,0,3033,0
2020-08-25,4216,21,72,0,3049,16
2020-08-26,4235,19,72,0,3056,7
2020-08-27,4254,19,72,0,3095,39
2020-08-28,4274,20,72,0,3125,30
2020-08-29,4296,22,76,4,3169,44
2020-08-30,4319,23,76,0,3169,0
2020-08-31,4340,21,76,0,3169,0
2020-09-01,4363,23,86,10,3192,23
2020-09-02,4385,22,86,0,3210,18
2020-09-03,4406,21,86,0,3258,48
2020-09-04,4428,22,86,0,3300,42
2020-09-05,4452,24,86,0,3314,14
2020-09-06,4477,25,86,0,3314,0
2020-09-07,4501,24,86,0,3314,0
2020-09-08,4527,26,86,0,3334,20
2020-09-09,4554,27,86,0,3356,22
2020-09-10,4580,26,86,0,3374,18
2020-09-11,4609,29,86,0,3399,25
2020-09-12,4635,26,86,0,3427,28
2020-09-13,4661,26,86,0,3435,8
2020-09-14,4689,28,86,0,3439,4
2020-09-15,4716,27,86,0,3454,15
2020-09-16,4745,29,86,0,3469,15
2020-09-17,4775,30,86,0,3478,9
2020-09-18,4803,28,86,0,3523,45
2020-09-19,4832,29,86,0,3539,16
2020-09-20,4862,30,86,0,3548,9
2020-09-21,4891,29,86,0,3557,9
2020-09-22,4923,32,86,0,3587,30
2020-09-23,4953,30,86,0,3620,33
2020-09-24,4993,40,86,0,3652,32
2020-09-25,5032,39,86,0,3665,13
2020-09-26,5073,41,86,0,3708,43
2020-09-27,5115,42,86,0,3711,3
2020-09-28,5158,43,86,0,3711,0
2020-09-29,5203,45,86,0,3733,22
2020-09-30,5252,49,86,0,3755,22
2020-10-01,5303,51,86,0,3785,30
2020-10-02,5358,55,86,0,3795,10
2020-10-03,5415,57,86,0,3822,27
2020-10-04,5473,58,86,0,3827,5
2020-10-05,5530,57,86,0,3828,1
2020-10-06,5588,58,86,0,3846,18
2020-10-07,5647,59,86,0,3879,33
2020-10-08,5705,58,86,0,3923,44
2020-10-09,5766,61,86,0,3940,17
2020-10-10,5825,59,86,0,3967,27
2020-10-11,5885,60,86,0,3974,7
2020-10-12,5949,64,86,0,3974,0
2020-10-13,6011,62,86,0,4006,32
2020-10-14,6072,61,87,1,4042,36
