date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,1,1,0,0,0,0
2020-03-18,1,0,0,0,0,0
2020-03-19,1,0,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,1,0,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,2,1,0,0,0,0
2020-03-26,2,0,0,0,0,0
2020-03-27,2,0,0,0,0,0
2020-03-28,2,0,0,0,0,0
2020-03-29,7,5,0,0,0,0
2020-03-30,7,0,0,0,0,0
2020-03-31,12,5,1,1,0,0
2020-04-01,16,4,1,0,0,0
2020-04-02,16,0,1,0,0,0
2020-04-03,27,11,1,0,0,0
2020-04-04,27,0,1,0,0,0
2020-04-05,27,0,1,0,1,1
2020-04-06,32,5,1,0,1,0
2020-04-07,51,19,1,0,1,0
2020-04-08,52,1,1,0,1,0
2020-04-09,52,0,1,0,1,0
2020-04-10,67,15,1,0,1,0
2020-04-11,67,0,1,0,1,0
2020-04-12,67,0,1,0,1,0
2020-04-13,84,17,1,0,1,0
2020-04-14,84,0,1,0,1,0
2020-04-15,100,16,2,1,4,3
2020-04-16,107,7,2,0,4,0
2020-04-17,119,12,2,0,4,0
2020-04-18,140,21,2,0,4,0
2020-04-19,140,0,5,3,4,0
2020-04-20,165,25,5,0,4,0
2020-04-21,180,15,5,0,6,2
2020-04-22,196,16,5,0,6,0
2020-04-23,211,15,5,0,6,0
2020-04-24,232,21,5,0,6,0
2020-04-25,255,23,6,1,30,24
2020-04-26,261,6,6,0,56,26
2020-04-27,283,22,6,0,58,2
2020-04-28,322,39,7,1,58,0
2020-04-29,364,42,7,0,96,38
2020-04-30,404,40,7,0,116,20
2020-05-01,448,44,7,0,132,16
2020-05-02,481,33,7,0,148,16
2020-05-03,512,31,7,0,170,22
2020-05-04,539,27,8,1,175,5
2020-05-05,569,30,8,0,193,18
2020-05-06,601,32,8,0,199,6
2020-05-07,635,34,8,0,217,18
2020-05-08,678,43,8,0,246,29
2020-05-09,723,45,8,0,301,55
2020-05-10,764,41,8,0,350,49
2020-05-11,802,38,10,2,402,52
2020-05-12,837,35,10,0,440,38
2020-05-13,879,42,10,0,497,57
2020-05-14,924,45,10,0,548,51
2020-05-15,985,61,10,0,658,110
2020-05-16,1041,56,10,0,736,78
2020-05-17,1101,60,11,1,777,41
2020-05-18,1172,71,11,0,788,11
2020-05-19,1245,73,12,1,861,73
2020-05-20,1317,72,12,0,944,83
2020-05-21,1400,83,13,1,1002,58
2020-05-22,1510,110,13,0,1076,74
2020-05-23,1612,102,13,0,1146,70
2020-05-24,1709,97,13,0,1239,93
2020-05-25,1803,94,15,2,1255,16
2020-05-26,1892,89,15,0,1365,110
2020-05-27,1980,88,17,2,1481,116
2020-05-28,2066,86,17,0,1581,100
2020-05-29,2155,89,17,0,1681,100
2020-05-30,2245,90,19,2,1761,80
2020-05-31,2332,87,19,0,1827,66
2020-06-01,2417,85,19,0,1855,28
2020-06-02,2502,85,20,1,1966,111
2020-06-03,2585,83,22,2,2048,82
2020-06-04,2669,84,24,2,2132,84
2020-06-05,2759,90,26,2,2260,128
2020-06-06,2845,86,26,0,2354,94
2020-06-07,2943,98,26,0,2406,52
2020-06-08,3053,110,26,0,2433,27
2020-06-09,3191,138,28,2,2531,98
2020-06-10,3317,126,28,0,2651,120
2020-06-11,3432,115,28,0,2728,77
2020-06-12,3535,103,28,0,2823,95
2020-06-13,3634,99,30,2,2850,27
2020-06-14,3729,95,31,1,2887,37
2020-06-15,3823,94,31,0,2935,48
2020-06-16,3915,92,31,0,3075,140
2020-06-17,4006,91,31,0,3183,108
2020-06-18,4076,70,33,2,3371,188
2020-06-19,4151,75,34,1,3530,159
2020-06-20,4224,73,34,0,3667,137
2020-06-21,4307,83,34,0,3689,22
2020-06-22,4380,73,34,0,3731,42
2020-06-23,4451,71,35,1,3894,163
2020-06-24,4523,72,36,1,4077,183
2020-06-25,4593,70,37,1,4100,23
2020-06-26,4664,71,38,1,4239,139
2020-06-27,4739,75,38,0,4438,199
2020-06-28,4819,80,38,0,4496,58
2020-06-29,4893,74,40,2,4511,15
2020-06-30,4970,77,41,1,4661,150
2020-07-01,5045,75,42,1,4869,208
2020-07-02,5118,73,43,1,4869,0
2020-07-03,5193,75,44,1,4889,20
2020-07-04,5268,75,46,2,4910,21
2020-07-05,5347,79,48,2,4925,15
2020-07-06,5418,71,50,2,4928,3
2020-07-07,5486,68,52,2,4957,29
2020-07-08,5558,72,54,2,4982,25
2020-07-09,5628,70,56,2,5061,79
2020-07-10,5663,35,60,4,5126,65
2020-07-11,5699,36,63,3,5143,17
2020-07-12,5733,34,65,2,5146,3
2020-07-13,5768,35,66,1,5146,0
2020-07-14,5803,35,67,1,5195,49
2020-07-15,5844,41,68,1,5208,13
2020-07-16,5883,39,69,1,5229,21
2020-07-17,5919,36,70,1,5244,15
2020-07-18,5954,35,71,1,5254,10
2020-07-19,5991,37,72,1,5268,14
2020-07-20,6028,37,73,1,5269,1
2020-07-21,6068,40,74,1,5293,24
2020-07-22,6109,41,75,1,5322,29
2020-07-23,6154,45,76,1,5345,23
2020-07-24,6198,44,77,1,5364,19
2020-07-25,6244,46,78,1,5402,38
2020-07-26,6286,42,79,1,5415,13
2020-07-27,6324,38,80,1,5418,3
2020-07-28,6364,40,81,1,5437,19
2020-07-29,6409,45,81,0,5475,38
2020-07-30,6452,43,81,0,5506,31
2020-07-31,6499,47,81,0,5550,44
2020-08-01,6545,46,81,0,5590,40
2020-08-02,6594,49,82,1,5613,23
2020-08-03,6645,51,83,1,5617,4
2020-08-04,6699,54,84,1,5664,47
2020-08-05,6749,50,85,1,5724,60
2020-08-06,6801,52,86,1,5775,51
2020-08-07,6855,54,87,1,5876,101
2020-08-08,6906,51,88,1,6007,131
2020-08-09,6954,48,89,1,6118,111
2020-08-10,6999,45,90,1,6162,44
2020-08-11,7048,49,91,1,6306,144
2020-08-12,7101,53,92,1,6439,133
2020-08-13,7156,55,93,1,6568,129
2020-08-14,7208,52,94,1,6716,148
2020-08-15,7257,49,95,1,6839,123
2020-08-16,7301,44,96,1,6955,116
2020-08-17,7348,47,97,1,6982,27
2020-08-18,7399,51,98,1,7048,66
2020-08-19,7448,49,99,1,7093,45
2020-08-20,7495,47,100,1,7137,44
2020-08-21,7540,45,101,1,7174,37
2020-08-22,7590,50,102,1,7214,40
2020-08-23,7638,48,102,0,7255,41
2020-08-24,7688,50,102,0,7272,17
2020-08-25,7742,54,103,1,7317,45
2020-08-26,7801,59,104,1,7370,53
2020-08-27,7863,62,105,1,7417,47
2020-08-28,7929,66,106,1,7476,59
2020-08-29,7994,65,107,1,7521,45
2020-08-30,8057,63,107,0,7548,27
2020-08-31,8125,68,107,0,7558,10
2020-09-01,8200,75,108,1,7613,55
2020-09-02,8279,79,109,1,7698,85
2020-09-03,8364,85,110,1,7778,80
2020-09-04,8454,90,111,1,7879,101
2020-09-05,8547,93,112,1,8003,124
2020-09-06,8645,98,112,0,8043,40
2020-09-07,8742,97,112,0,8052,9
2020-09-08,8836,94,113,1,8087,35
2020-09-09,8932,96,114,1,8117,30
2020-09-10,9029,97,115,1,8148,31
2020-09-11,9121,92,116,1,8189,41
2020-09-12,9211,90,117,1,8234,45
2020-09-13,9296,85,117,0,8245,11
2020-09-14,9389,93,117,0,8266,21
2020-09-15,9484,95,118,1,8301,35
2020-09-16,9582,98,119,1,8323,22
2020-09-17,9679,97,120,1,8397,74
2020-09-18,9778,99,121,1,8444,47
2020-09-19,9875,97,122,1,8479,35
2020-09-20,9969,94,122,0,8505,26
2020-09-21,10061,92,122,0,8524,19
2020-09-22,10154,93,123,1,8545,21
2020-09-23,10249,95,124,1,8596,51
2020-09-24,10342,93,125,1,8644,48
2020-09-25,10433,91,126,1,8688,44
2020-09-26,10522,89,128,2,8718,30
2020-09-27,10607,85,128,0,8725,7
2020-09-28,10696,89,128,0,8726,1
2020-09-29,10788,92,130,2,8800,74
2020-09-30,10883,95,132,2,8885,85
2020-10-01,10980,97,134,2,8962,77
2020-10-02,11078,98,136,2,9038,76
2020-10-03,11174,96,137,1,9118,80
2020-10-04,11267,93,137,0,9146,28
2020-10-05,11357,90,137,0,9163,17
2020-10-06,11454,97,137,0,9204,41
2020-10-07,11555,101,137,0,9292,88
2020-10-08,11660,105,137,0,9453,161
2020-10-09,11767,107,138,1,9520,67
2020-10-10,11877,110,139,1,9597,77
2020-10-11,12005,128,139,0,9619,22
2020-10-12,12138,133,139,0,9644,25
2020-10-13,12279,141,140,1,9679,35
2020-10-14,12424,145,141,1,9749,70
