date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,1,1,0,0,0,0
2020-03-29,1,0,0,0,0,0
2020-03-30,1,0,0,0,0,0
2020-03-31,1,0,0,0,0,0
2020-04-01,1,0,0,0,0,0
2020-04-02,1,0,0,0,0,0
2020-04-03,1,0,0,0,0,0
2020-04-04,2,1,0,0,0,0
2020-04-05,2,0,0,0,0,0
2020-04-06,3,1,0,0,0,0
2020-04-07,3,0,0,0,0,0
2020-04-08,7,4,0,0,0,0
2020-04-09,11,4,0,0,1,1
2020-04-10,13,2,0,0,1,0
2020-04-11,17,4,0,0,1,0
2020-04-12,17,0,1,1,1,0
2020-04-13,21,4,1,0,1,0
2020-04-14,55,34,1,0,1,0
2020-04-15,106,51,1,0,1,0
2020-04-16,132,26,1,0,1,0
2020-04-17,139,7,2,1,1,0
2020-04-18,152,13,2,0,1,0
2020-04-19,173,21,2,0,4,3
2020-04-20,189,16,2,0,4,0
2020-04-21,208,19,2,0,4,0
2020-04-22,244,36,2,0,4,0
2020-04-23,251,7,2,0,4,0
2020-04-24,262,11,2,0,15,11
2020-04-25,279,17,2,0,15,0
2020-04-26,289,10,2,0,15,0
2020-04-27,324,35,2,0,26,11
2020-04-28,369,45,3,1,26,0
2020-04-29,403,34,3,0,26,0
2020-04-30,429,26,3,0,26,0
2020-05-01,455,26,3,0,27,1
2020-05-02,499,44,3,0,69,42
2020-05-03,508,9,3,0,81,12
2020-05-04,520,12,4,1,81,0
2020-05-05,534,14,5,1,87,6
2020-05-06,535,1,5,0,91,4
2020-05-07,590,55,5,0,91,0
2020-05-08,646,56,5,0,94,3
2020-05-09,668,22,7,2,254,160
2020-05-10,738,70,7,0,254,0
2020-05-11,902,164,7,0,264,10
2020-05-12,911,9,9,2,266,2
2020-05-13,1008,97,9,0,287,21
2020-05-14,1044,36,10,1,302,15
2020-05-15,1105,61,10,0,326,24
2020-05-16,1146,41,11,1,348,22
2020-05-17,1190,44,11,0,366,18
2020-05-18,1246,56,11,0,370,4
2020-05-19,1297,51,11,0,395,25
2020-05-20,1357,60,12,1,410,15
2020-05-21,1418,61,13,1,464,54
2020-05-22,1471,53,13,0,519,55
2020-05-23,1536,65,13,0,541,22
2020-05-24,1603,67,15,2,563,22
2020-05-25,1685,82,16,1,567,4
2020-05-26,1769,84,21,5,581,14
2020-05-27,1853,84,25,4,621,40
2020-05-28,1933,80,29,4,662,41
2020-05-29,2024,91,30,1,705,43
2020-05-30,2119,95,34,4,733,28
2020-05-31,2207,88,36,2,772,39
2020-06-01,2299,92,39,3,773,1
2020-06-02,2409,110,41,2,821,48
2020-06-03,2536,127,41,0,880,59
2020-06-04,2678,142,41,0,940,60
2020-06-05,2828,150,41,0,978,38
2020-06-06,2923,95,41,0,1085,107
2020-06-07,3035,112,42,1,1101,16
2020-06-08,3157,122,43,1,1105,4
2020-06-09,3300,143,44,1,1240,135
2020-06-10,3432,132,44,0,1321,81
2020-06-11,3539,107,44,0,1362,41
2020-06-12,3609,70,47,3,1394,32
2020-06-13,3712,103,49,2,1414,20
2020-06-14,3791,79,49,0,1461,47
2020-06-15,3868,77,51,2,1469,8
2020-06-16,3927,59,52,1,1514,45
2020-06-17,3988,61,56,4,1572,58
2020-06-18,4051,63,57,1,1661,89
2020-06-19,4110,59,58,1,1744,83
2020-06-20,4163,53,59,1,1820,76
2020-06-21,4208,45,59,0,1868,48
2020-06-22,4252,44,59,0,1869,1
2020-06-23,4293,41,61,2,1916,47
2020-06-24,4338,45,61,0,2024,108
2020-06-25,4380,42,61,0,2051,27
2020-06-26,4423,43,62,1,2122,71
2020-06-27,4463,40,63,1,2234,112
2020-06-28,4505,42,64,1,2270,36
2020-06-29,4544,39,65,1,2283,13
2020-06-30,4581,37,65,0,2343,60
2020-07-01,4619,38,65,0,2413,70
2020-07-02,4659,40,66,1,2450,37
2020-07-03,4702,43,66,0,2512,62
2020-07-04,4744,42,67,1,2559,47
2020-07-05,4782,38,68,1,2608,49
2020-07-06,4823,41,70,2,2619,11
2020-07-07,4865,42,71,1,2667,48
2020-07-08,4904,39,72,1,2724,57
2020-07-09,4944,40,74,2,2801,77
2020-07-10,4986,42,75,1,2856,55
2020-07-11,5028,42,75,0,2914,58
2020-07-12,5069,41,76,1,2971,57
2020-07-13,5108,39,78,2,2998,27
2020-07-14,5155,47,79,1,3053,55
2020-07-15,5212,57,81,2,3129,76
2020-07-16,5262,50,83,2,3180,51
2020-07-17,5306,44,84,1,3241,61
2020-07-18,5349,43,86,2,3309,68
2020-07-19,5381,32,87,1,3323,14
2020-07-20,5408,27,87,0,3334,11
2020-07-21,5427,19,88,1,3386,52
2020-07-22,5454,27,89,1,3438,52
2020-07-23,5485,31,91,2,3489,51
2020-07-24,5504,19,92,1,3543,54
2020-07-25,5534,30,93,1,3594,51
2020-07-26,5553,19,93,0,3635,41
2020-07-27,5571,18,93,0,3679,44
2020-07-28,5589,18,94,1,3781,102
2020-07-29,5609,20,94,0,3895,114
2020-07-30,5633,24,97,3,4003,108
2020-07-31,5656,23,101,4,4102,99
2020-08-01,5680,24,101,0,4172,70
2020-08-02,5705,25,101,0,4235,63
2020-08-03,5720,15,102,1,4286,51
2020-08-04,5736,16,104,2,4360,74
2020-08-05,5752,16,105,1,4398,38
2020-08-06,5767,15,106,1,4427,29
2020-08-07,5786,19,106,0,4486,59
2020-08-08,5806,20,108,2,4529,43
2020-08-09,5825,19,109,1,4555,26
2020-08-10,5847,22,110,1,4576,21
2020-08-11,5856,9,112,2,4615,39
2020-08-12,5864,8,114,2,4634,19
2020-08-13,5878,14,115,1,4652,18
2020-08-14,5892,14,116,1,4731,79
2020-08-15,5911,19,118,2,4790,59
2020-08-16,5932,21,119,1,4821,31
2020-08-17,5949,17,120,1,4836,15
2020-08-18,5962,13,121,1,4890,54
2020-08-19,5974,12,121,0,4954,64
2020-08-20,5992,18,122,1,5009,55
2020-08-21,6012,20,123,1,5052,43
2020-08-22,6033,21,123,0,5099,47
2020-08-23,6051,18,123,0,5106,7
2020-08-24,6061,10,123,0,5118,12
2020-08-25,6071,10,124,1,5146,28
2020-08-26,6085,14,125,1,5194,48
2020-08-27,6102,17,126,1,5217,23
2020-08-28,6123,21,127,1,5242,25
2020-08-29,6142,19,127,0,5266,24
2020-08-30,6157,15,127,0,5282,16
2020-08-31,6167,10,127,0,5293,11
2020-09-01,6176,9,128,1,5300,7
2020-09-02,6186,10,129,1,5339,39
2020-09-03,6202,16,130,1,5356,17
2020-09-04,6222,20,130,0,5409,53
2020-09-05,6239,17,131,1,5438,29
2020-09-06,6256,17,131,0,5442,4
2020-09-07,6268,12,132,1,5450,8
2020-09-08,6274,6,133,1,5463,13
2020-09-09,6287,13,133,0,5486,23
2020-09-10,6300,13,134,1,5494,8
2020-09-11,6310,10,134,0,5522,28
2020-09-12,6323,13,135,1,5541,19
2020-09-13,6337,14,135,0,5556,15
2020-09-14,6349,12,135,0,5564,8
2020-09-15,6358,9,136,1,5568,4
2020-09-16,6369,11,137,1,5576,8
2020-09-17,6378,9,137,0,5596,20
2020-09-18,6392,14,137,0,5612,16
2020-09-19,6408,16,137,0,5627,15
2020-09-20,6423,15,137,0,5638,11
2020-09-21,6438,15,138,1,5654,16
2020-09-22,6450,12,138,0,5657,3
2020-09-23,6469,19,138,0,5661,4
2020-09-24,6489,20,138,0,5663,2
2020-09-25,6510,21,138,0,5667,4
2020-09-26,6529,19,138,0,5692,25
2020-09-27,6554,25,138,0,5697,5
2020-09-28,6578,24,138,0,5699,2
2020-09-29,6595,17,138,0,5703,4
2020-09-30,6612,17,139,1,5718,15
2020-10-01,6634,22,140,1,5720,2
2020-10-02,6663,29,142,2,5749,29
2020-10-03,6697,34,144,2,5763,14
2020-10-04,6732,35,144,0,5770,7
2020-10-05,6764,32,144,0,5778,8
2020-10-06,6798,34,146,2,5789,11
2020-10-07,6845,47,147,1,5826,37
2020-10-08,6892,47,149,2,5835,9
2020-10-09,6947,55,151,2,5851,16
2020-10-10,7011,64,152,1,5869,18
2020-10-11,7082,71,154,2,5874,5
2020-10-12,7147,65,154,0,5878,4
2020-10-13,7208,61,157,3,5894,16
2020-10-14,7268,60,159,2,5919,25
