date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,1,1,0,0,0,0
2020-03-21,1,0,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,1,0,0,0,0,0
2020-03-26,1,0,0,0,0,0
2020-03-27,1,0,0,0,0,0
2020-03-28,1,0,0,0,0,0
2020-03-29,1,0,0,0,0,0
2020-03-30,1,0,0,0,0,0
2020-03-31,1,0,0,0,0,0
2020-04-01,1,0,0,0,0,0
2020-04-02,1,0,0,0,0,0
2020-04-03,1,0,0,0,1,1
2020-04-04,1,0,0,0,1,0
2020-04-05,1,0,0,0,1,0
2020-04-06,2,1,0,0,1,0
2020-04-07,4,2,0,0,1,0
2020-04-08,4,0,0,0,1,0
2020-04-09,6,2,0,0,1,0
2020-04-10,40,34,0,0,2,1
2020-04-11,62,22,0,0,2,0
2020-04-12,70,8,0,0,2,0
2020-04-13,86,16,0,0,2,0
2020-04-14,86,0,0,0,2,0
2020-04-15,104,18,0,0,2,0
2020-04-16,123,19,0,0,2,0
2020-04-17,138,15,2,2,2,0
2020-04-18,157,19,2,0,2,0
2020-04-19,168,11,2,0,3,1
2020-04-20,187,19,2,0,3,0
2020-04-21,187,0,2,0,3,0
2020-04-22,196,9,2,0,5,2
2020-04-23,228,32,2,0,5,0
2020-04-24,253,25,3,1,5,0
2020-04-25,280,27,3,0,5,0
2020-04-26,307,27,3,0,5,0
2020-04-27,331,24,4,1,5,0
2020-04-28,360,29,4,0,10,5
2020-04-29,379,19,4,0,15,5
2020-04-30,406,27,4,0,48,33
2020-05-01,429,23,4,0,65,17
2020-05-02,461,32,4,0,78,13
2020-05-03,499,38,4,0,83,5
2020-05-04,528,29,4,0,84,1
2020-05-05,544,16,4,0,89,5
2020-05-06,573,29,4,0,89,0
2020-05-07,605,32,4,0,112,23
2020-05-08,681,76,4,0,120,8
2020-05-09,765,84,4,0,144,24
2020-05-10,807,42,4,0,145,1
2020-05-11,848,41,4,0,152,7
2020-05-12,886,38,4,0,152,0
2020-05-13,932,46,5,1,182,30
2020-05-14,1012,80,5,0,222,40
2020-05-15,1081,69,5,0,246,24
2020-05-16,1159,78,5,0,263,17
2020-05-17,1260,101,5,0,276,13
2020-05-18,1366,106,5,0,280,4
2020-05-19,1462,96,5,0,370,90
2020-05-20,1526,64,6,1,372,2
2020-05-21,1596,70,6,0,403,31
2020-05-22,1666,70,6,0,436,33
2020-05-23,1764,98,6,0,462,26
2020-05-24,1861,97,6,0,498,36
2020-05-25,1959,98,6,0,506,8
2020-05-26,2051,92,7,1,551,45
2020-05-27,2121,70,7,0,586,35
2020-05-28,2196,75,7,0,614,28
2020-05-29,2271,75,8,1,634,20
2020-05-30,2369,98,8,0,700,66
2020-05-31,2466,97,8,0,713,13
2020-06-01,2567,101,8,0,713,0
2020-06-02,2672,105,10,2,743,30
2020-06-03,2770,98,12,2,832,89
2020-06-04,2870,100,12,0,861,29
2020-06-05,2965,95,12,0,897,36
2020-06-06,3074,109,13,1,937,40
2020-06-07,3168,94,14,1,954,17
2020-06-08,3265,97,16,2,954,0
2020-06-09,3359,94,16,0,1013,59
2020-06-10,3450,91,18,2,1095,82
2020-06-11,3538,88,18,0,1201,106
2020-06-12,3633,95,18,0,1255,54
2020-06-13,3783,150,18,0,1267,12
2020-06-14,3902,119,20,2,1287,20
2020-06-15,4048,146,21,1,1287,0
2020-06-16,4195,147,24,3,1409,122
2020-06-17,4344,149,24,0,1523,114
2020-06-18,4467,123,25,1,1626,103
2020-06-19,4589,122,30,5,1783,157
2020-06-20,4700,111,34,4,1938,155
2020-06-21,4810,110,34,0,2052,114
2020-06-22,4920,110,35,1,2112,60
2020-06-23,5026,106,35,0,2406,294
2020-06-24,5133,107,35,0,2606,200
2020-06-25,5242,109,35,0,2659,53
2020-06-26,5352,110,35,0,2710,51
2020-06-27,5461,109,36,1,2840,130
2020-06-28,5567,106,36,0,2891,51
2020-06-29,5674,107,36,0,2909,18
2020-06-30,5780,106,39,3,3003,94
2020-07-01,5888,108,43,4,3155,152
2020-07-02,5993,105,43,0,3208,53
2020-07-03,6096,103,43,0,3331,123
2020-07-04,6203,107,48,5,3441,110
2020-07-05,6308,105,48,0,3501,60
2020-07-06,6415,107,48,0,3541,40
2020-07-07,6520,105,49,1,3680,139
2020-07-08,6628,108,49,0,3798,118
2020-07-09,6733,105,52,3,3965,167
2020-07-10,6836,103,52,0,4125,160
2020-07-11,6944,108,52,0,4252,127
2020-07-12,7051,107,53,1,4254,2
2020-07-13,7162,111,53,0,4266,12
2020-07-14,7272,110,54,1,4395,129
2020-07-15,7382,110,54,0,4595,200
2020-07-16,7493,111,56,2,4721,126
2020-07-17,7596,103,59,3,4835,114
2020-07-18,7706,110,59,0,4946,111
2020-07-19,7818,112,59,0,4946,0
2020-07-20,7927,109,59,0,4981,35
2020-07-21,8037,110,60,1,5147,166
2020-07-22,8137,100,63,3,5292,145
2020-07-23,8247,110,65,2,5523,231
2020-07-24,8357,110,65,0,5780,257
2020-07-25,8461,104,65,0,5914,134
2020-07-26,8569,108,65,0,5925,11
2020-07-27,8671,102,66,1,5933,8
2020-07-28,8781,110,72,6,6037,104
2020-07-29,8885,104,72,0,6172,135
2020-07-30,8995,110,73,1,6273,101
2020-07-31,9095,100,73,0,6435,162
2020-08-01,9205,110,73,0,6565,130
2020-08-02,9307,102,73,0,6592,27
2020-08-03,9417,110,73,0,6612,20
2020-08-04,9526,109,73,0,6688,76
2020-08-05,9626,100,73,0,6805,117
2020-08-06,9735,109,73,0,6864,59
2020-08-07,9835,100,73,0,7038,174
2020-08-08,9935,100,73,0,7111,73
2020-08-09,10045,110,73,0,7152,41
2020-08-10,10140,95,73,0,7175,23
2020-08-11,10255,115,73,0,7270,95
2020-08-12,10346,91,73,0,7384,114
2020-08-13,10440,94,73,0,7457,73
2020-08-14,10526,86,73,0,7583,126
2020-08-15,10646,120,73,0,7672,89
2020-08-16,10737,91,73,0,7695,23
2020-08-17,10839,102,73,0,7710,15
2020-08-18,10934,95,73,0,7807,97
2020-08-19,11025,91,73,0,7880,73
2020-08-20,11124,99,76,3,8055,175
2020-08-21,11215,91,80,4,8293,238
2020-08-22,11302,87,87,7,8438,145
2020-08-23,11386,84,87,0,8560,122
2020-08-24,11473,87,91,4,8560,0
2020-08-25,11558,85,91,0,8718,158
2020-08-26,11638,80,91,0,8866,148
2020-08-27,11718,80,91,0,8970,104
2020-08-28,11807,89,91,0,9100,130
2020-08-29,11892,85,93,2,9465,365
2020-08-30,11981,89,93,0,9509,44
2020-08-31,12072,91,101,8,9509,0
2020-09-01,12164,92,101,0,9832,323
2020-09-02,12259,95,110,9,9952,120
2020-09-03,12353,94,111,1,10249,297
2020-09-04,12451,98,111,0,10460,211
2020-09-05,12550,99,111,0,10584,124
2020-09-06,12648,98,111,0,10655,71
2020-09-07,12745,97,111,0,10655,0
2020-09-08,12844,99,111,0,10843,188
2020-09-09,12949,105,120,9,10983,140
2020-09-10,13057,108,125,5,11139,156
2020-09-11,13166,109,125,0,11298,159
2020-09-12,13276,110,130,5,11398,100
2020-09-13,13404,128,130,0,11400,2
2020-09-14,13533,129,130,0,11410,10
2020-09-15,13661,128,134,4,11518,108
2020-09-16,13788,127,140,6,11658,140
2020-09-17,13913,125,140,0,11795,137
2020-09-18,14033,120,140,0,12032,237
2020-09-19,14154,121,140,0,12136,104
2020-09-20,14279,125,140,0,12156,20
2020-09-21,14403,124,147,7,12209,53
2020-09-22,14528,125,147,0,12462,253
2020-09-23,14651,123,147,0,12555,93
2020-09-24,14771,120,155,8,12713,158
2020-09-25,14892,121,155,0,12761,48
2020-09-26,15011,119,155,0,12942,181
2020-09-27,15128,117,162,7,12964,22
2020-09-28,15246,118,165,3,12985,21
2020-09-29,15365,119,165,0,13129,144
2020-09-30,15487,122,171,6,13193,64
2020-10-01,15612,125,171,0,13268,75
2020-10-02,15740,128,171,0,13343,75
2020-10-03,15869,129,172,1,13425,82
2020-10-04,16010,141,172,0,13491,66
2020-10-05,16155,145,173,1,13554,63
2020-10-06,16304,149,173,0,13654,100
2020-10-07,16452,148,173,0,13701,47
2020-10-08,16600,148,173,0,13788,87
2020-10-09,16750,150,173,0,13882,94
2020-10-10,16902,152,175,2,13973,91
2020-10-11,17062,160,180,5,14003,30
2020-10-12,17226,164,184,4,14070,67
2020-10-13,17395,169,190,6,14156,86
2020-10-14,17565,170,195,5,14242,86
