date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0
2020-04-05,2,2,0,0,0,0
2020-04-06,2,0,0,0,0,0
2020-04-07,2,0,0,0,0,0
2020-04-08,2,0,0,0,0,0
2020-04-09,5,3,0,0,0,0
2020-04-10,5,0,0,0,0,0
2020-04-11,10,5,0,0,0,0
2020-04-12,10,0,0,0,0,0
2020-04-13,10,0,0,0,0,0
2020-04-14,10,0,0,0,0,0
2020-04-15,10,0,0,0,0,0
2020-04-16,21,11,0,0,0,0
2020-04-17,29,8,0,0,2,2
2020-04-18,29,0,0,0,2,0
2020-04-19,34,5,0,0,3,1
2020-04-20,41,7,0,0,4,1
2020-04-21,48,7,0,0,4,0
2020-04-22,63,15,0,0,4,0
2020-04-23,78,15,0,0,5,1
2020-04-24,84,6,0,0,5,0
2020-04-25,87,3,0,0,5,0
2020-04-26,110,23,0,0,5,0
2020-04-27,195,85,0,0,5,0
2020-04-28,203,8,0,0,6,1
2020-04-29,241,38,0,0,14,8
2020-04-30,265,24,0,0,17,3
2020-05-01,281,16,0,0,19,2
2020-05-02,286,5,0,0,22,3
2020-05-03,311,25,0,0,30,8
2020-05-04,339,28,0,0,36,6
2020-05-05,347,8,0,0,40,4
2020-05-06,348,1,0,0,44,4
2020-05-07,350,2,0,0,44,0
2020-05-08,353,3,0,0,50,6
2020-05-09,363,10,0,0,50,0
2020-05-10,376,13,0,0,50,0
2020-05-11,384,8,0,0,51,1
2020-05-12,398,14,0,0,61,10
2020-05-13,418,20,1,1,69,8
2020-05-14,429,11,1,0,69,0
2020-05-15,443,14,1,0,111,42
2020-05-16,461,18,1,0,114,3
2020-05-17,477,16,1,0,125,11
2020-05-18,495,18,1,0,131,6
2020-05-19,515,20,2,1,134,3
2020-05-20,536,21,2,0,143,9
2020-05-21,554,18,2,0,153,10
2020-05-22,572,18,2,0,159,6
2020-05-23,595,23,2,0,171,12
2020-05-24,627,32,6,4,244,73
2020-05-25,658,31,6,0,244,0
2020-05-26,678,20,6,0,244,0
2020-05-27,700,22,7,1,244,0
2020-05-28,725,25,7,0,244,0
2020-05-29,759,34,8,1,244,0
2020-05-30,805,46,8,0,257,13
2020-05-31,849,44,8,0,259,2
2020-06-01,881,32,8,0,267,8
2020-06-02,916,35,8,0,269,2
2020-06-03,949,33,8,0,286,17
2020-06-04,984,35,8,0,289,3
2020-06-05,1033,49,10,2,298,9
2020-06-06,1085,52,10,0,301,3
2020-06-07,1125,40,10,0,306,5
2020-06-08,1168,43,10,0,310,4
2020-06-09,1214,46,10,0,314,4
2020-06-10,1255,41,10,0,374,60
2020-06-11,1306,51,10,0,402,28
2020-06-12,1360,54,10,0,413,11
2020-06-13,1409,49,10,0,415,2
2020-06-14,1454,45,10,0,428,13
2020-06-15,1496,42,10,0,439,11
2020-06-16,1536,40,10,0,483,44
2020-06-17,1575,39,10,0,511,28
2020-06-18,1617,42,22,12,533,22
2020-06-19,1662,45,22,0,542,9
2020-06-20,1714,52,22,0,550,8
2020-06-21,1755,41,22,0,551,1
2020-06-22,1793,38,28,6,569,18
2020-06-23,1834,41,28,0,600,31
2020-06-24,1927,93,28,0,623,23
2020-06-25,1969,42,28,0,710,87
2020-06-26,2008,39,28,0,735,25
2020-06-27,2052,44,28,0,763,28
2020-06-28,2093,41,28,0,816,53
2020-06-29,2145,52,28,0,870,54
2020-06-30,2190,45,28,0,946,76
2020-07-01,2245,55,28,0,963,17
2020-07-02,2293,48,28,0,1073,110
2020-07-03,2334,41,28,0,1166,93
2020-07-04,2380,46,28,0,1175,9
2020-07-05,2422,42,28,0,1256,81
2020-07-06,2469,47,28,0,1400,144
2020-07-07,2514,45,28,0,1460,60
2020-07-08,2560,46,28,0,1519,59
2020-07-09,2602,42,29,1,1551,32
2020-07-10,2640,38,29,0,1619,68
2020-07-11,2676,36,29,0,1639,20
2020-07-12,2713,37,29,0,1640,1
2020-07-13,2757,44,29,0,1724,84
2020-07-14,2798,41,29,0,1856,132
2020-07-15,2840,42,29,0,1957,101
2020-07-16,2876,36,35,6,2081,124
2020-07-17,2910,34,42,7,2130,49
2020-07-18,2945,35,42,0,2155,25
2020-07-19,2982,37,42,0,2183,28
2020-07-20,3017,35,42,0,2209,26
2020-07-21,3051,34,42,0,2316,107
2020-07-22,3086,35,42,0,2392,76
2020-07-23,3122,36,42,0,2499,107
2020-07-24,3160,38,42,0,2623,124
2020-07-25,3201,41,42,0,2648,25
2020-07-26,3240,39,42,0,2663,15
2020-07-27,3270,30,42,0,2765,102
2020-07-28,3289,19,42,0,2879,114
2020-07-29,3314,25,42,0,2960,81
2020-07-30,3336,22,42,0,2971,11
2020-07-31,3362,26,42,0,2987,16
2020-08-01,3378,16,42,0,3001,14
2020-08-02,3401,23,42,0,3001,0
2020-08-03,3414,13,42,0,3008,7
2020-08-04,3427,13,42,0,3014,6
2020-08-05,3442,15,42,0,3019,5
2020-08-06,3456,14,42,0,3026,7
2020-08-07,3483,27,42,0,3036,10
2020-08-08,3501,18,42,0,3047,11
2020-08-09,3516,15,42,0,3047,0
2020-08-10,3526,10,42,0,3047,0
2020-08-11,3538,12,42,0,3054,7
2020-08-12,3553,15,42,0,3062,8
2020-08-13,3569,16,42,0,3069,7
2020-08-14,3586,17,42,0,3075,6
2020-08-15,3601,15,42,0,3082,7
2020-08-16,3615,14,42,0,3082,0
2020-08-17,3627,12,42,0,3082,0
2020-08-18,3641,14,42,0,3094,12
2020-08-19,3654,13,42,0,3100,6
2020-08-20,3667,13,42,0,3107,7
2020-08-21,3737,70,42,0,3117,10
2020-08-22,3748,11,42,0,3122,5
2020-08-23,3759,11,42,0,3122,0
2020-08-24,3768,9,42,0,3122,0
2020-08-25,3779,11,42,0,3127,5
2020-08-26,3791,12,42,0,3135,8
2020-08-27,3803,12,42,0,3143,8
2020-08-28,3816,13,42,0,3150,7
2020-08-29,3828,12,42,0,3156,6
2020-08-30,3841,13,42,0,3156,0
2020-08-31,3852,11,42,0,3157,1
2020-09-01,3864,12,42,0,3167,10
2020-09-02,3877,13,42,0,3173,6
2020-09-03,3901,24,42,0,3180,7
2020-09-04,3915,14,42,0,3189,9
2020-09-05,3929,14,42,0,3194,5
2020-09-06,3942,13,42,0,3195,1
2020-09-07,3955,13,42,0,3195,0
2020-09-08,3967,12,42,0,3196,1
2020-09-09,3981,14,42,0,3202,6
2020-09-10,3996,15,43,1,3205,3
2020-09-11,4026,30,49,6,3210,5
2020-09-12,4053,27,54,5,3218,8
2020-09-13,4078,25,57,3,3218,0
2020-09-14,4099,21,60,3,3218,0
2020-09-15,4122,23,64,4,3228,10
2020-09-16,4145,23,67,3,3234,6
2020-09-17,4173,28,67,0,3238,4
2020-09-18,4198,25,67,0,3245,7
2020-09-19,4224,26,67,0,3250,5
2020-09-20,4244,20,67,0,3250,0
2020-09-21,4266,22,67,0,3250,0
2020-09-22,4291,25,67,0,3256,6
2020-09-23,4316,25,67,0,3263,7
2020-09-24,4343,27,67,0,3271,8
2020-09-25,4369,26,67,0,3278,7
2020-09-26,4394,25,67,0,3285,7
2020-09-27,4418,24,67,0,3285,0
2020-09-28,4443,25,67,0,3290,5
2020-09-29,4469,26,67,0,3299,9
2020-09-30,4494,25,67,0,3307,8
2020-10-01,4519,25,67,0,3316,9
2020-10-02,4545,26,67,0,3325,9
2020-10-03,4572,27,70,3,3333,8
2020-10-04,4598,26,70,0,3333,0
2020-10-05,4625,27,70,0,3338,5
2020-10-06,4653,28,70,0,3346,8
2020-10-07,4681,28,70,0,3355,9
2020-10-08,4716,35,70,0,3363,8
2020-10-09,4751,35,70,0,3372,9
2020-10-10,4786,35,70,0,3382,10
2020-10-11,4819,33,70,0,3382,0
2020-10-12,4856,37,70,0,3387,5
2020-10-13,4896,40,70,0,3396,9
2020-10-14,4937,41,70,0,3404,8
