date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,1,1,0,0,0,0
2020-03-14,1,0,0,0,0,0
2020-03-15,1,0,0,0,0,0
2020-03-16,2,1,0,0,0,0
2020-03-17,2,0,0,0,0,0
2020-03-18,2,0,0,0,0,0
2020-03-19,3,1,0,0,0,0
2020-03-20,3,0,0,0,0,0
2020-03-21,3,0,0,0,0,0
2020-03-22,3,0,0,0,0,0
2020-03-23,3,0,0,0,0,0
2020-03-24,3,0,0,0,0,0
2020-03-25,5,2,0,0,0,0
2020-03-26,10,5,0,0,0,0
2020-03-27,10,0,0,0,0,0
2020-03-28,11,1,0,0,0,0
2020-03-29,11,0,0,0,0,0
2020-03-30,13,2,0,0,0,0
2020-03-31,13,0,0,0,0,0
2020-04-01,13,0,0,0,0,0
2020-04-02,20,7,1,1,1,1
2020-04-03,21,1,2,1,3,2
2020-04-04,21,0,2,0,3,0
2020-04-05,21,0,2,0,3,0
2020-04-06,21,0,2,0,3,0
2020-04-07,32,11,2,0,5,2
2020-04-08,32,0,2,0,6,1
2020-04-09,41,9,3,1,6,0
2020-04-10,45,4,3,0,6,0
2020-04-11,45,0,3,0,15,9
2020-04-12,60,15,3,0,15,0
2020-04-13,60,0,3,0,15,0
2020-04-14,87,27,3,0,16,1
2020-04-15,114,27,3,0,16,0
2020-04-16,132,18,3,0,19,3
2020-04-17,144,12,3,0,19,0
2020-04-18,170,26,3,0,21,2
2020-04-19,198,28,3,0,27,6
2020-04-20,215,17,3,0,30,3
2020-04-21,237,22,3,0,30,0
2020-04-22,266,29,3,0,37,7
2020-04-23,287,21,4,1,43,6
2020-04-24,318,31,4,0,48,5
2020-04-25,373,55,4,0,52,4
2020-04-26,434,61,4,0,52,0
2020-04-27,454,20,4,0,61,9
2020-04-28,471,17,4,0,67,6
2020-04-29,481,10,5,1,87,20
2020-04-30,500,19,7,2,91,4
2020-05-01,524,24,7,0,95,4
2020-05-02,556,32,9,2,161,66
2020-05-03,595,39,9,0,166,5
2020-05-04,630,35,9,0,207,41
2020-05-05,648,18,9,0,218,11
2020-05-06,673,25,9,0,218,0
2020-05-07,699,26,10,1,282,64
2020-05-08,719,20,10,0,333,51
2020-05-09,735,16,11,1,385,52
2020-05-10,743,8,11,0,391,6
2020-05-11,753,10,11,0,401,10
2020-05-12,781,28,12,1,413,12
2020-05-13,829,48,12,0,467,54
2020-05-14,871,42,12,0,504,37
2020-05-15,921,50,13,1,540,36
2020-05-16,973,52,13,0,589,49
2020-05-17,1024,51,13,0,589,0
2020-05-18,1073,49,13,0,589,0
2020-05-19,1125,52,13,0,600,11
2020-05-20,1178,53,13,0,600,0
2020-05-21,1226,48,13,0,619,19
2020-05-22,1277,51,13,0,677,58
2020-05-23,1324,47,14,1,706,29
2020-05-24,1367,43,14,0,756,50
2020-05-25,1410,43,14,0,792,36
2020-05-26,1451,41,16,2,826,34
2020-05-27,1495,44,19,3,892,66
2020-05-28,1539,44,19,0,943,51
2020-05-29,1586,47,20,1,1004,61
2020-05-30,1656,70,20,0,1042,38
2020-05-31,1713,57,20,0,1053,11
2020-06-01,1782,69,20,0,1063,10
2020-06-02,1839,57,22,2,1147,84
2020-06-03,1911,72,22,0,1221,74
2020-06-04,1962,51,26,4,1266,45
2020-06-05,2011,49,27,1,1321,55
2020-06-06,2067,56,28,1,1360,39
2020-06-07,2135,68,28,0,1370,10
2020-06-08,2202,67,28,0,1394,24
2020-06-09,2267,65,28,0,1474,80
2020-06-10,2360,93,30,2,1533,59
2020-06-11,2434,74,32,2,1634,101
2020-06-12,2506,72,38,6,1689,55
2020-06-13,2580,74,38,0,1705,16
2020-06-14,2687,107,38,0,1749,44
2020-06-15,2755,68,39,1,1763,14
2020-06-16,2805,50,49,10,1812,49
2020-06-17,2872,67,51,2,1894,82
2020-06-18,2937,65,54,3,1931,37
2020-06-19,3001,64,62,8,2071,140
2020-06-20,3069,68,63,1,2140,69
2020-06-21,3136,67,66,3,2163,23
2020-06-22,3202,66,66,0,2173,10
2020-06-23,3266,64,66,0,2325,152
2020-06-24,3355,89,72,6,2448,123
2020-06-25,3416,61,76,4,2533,85
2020-06-26,3474,58,78,2,2594,61
2020-06-27,3529,55,78,0,2661,67
2020-06-28,3581,52,78,0,2671,10
2020-06-29,3637,56,78,0,2679,8
2020-06-30,3691,54,78,0,2701,22
2020-07-01,3743,52,78,0,2728,27
2020-07-02,3801,58,78,0,2800,72
2020-07-03,3857,56,80,2,2928,128
2020-07-04,3911,54,80,0,2931,3
2020-07-05,3964,53,80,0,2935,4
2020-07-06,4017,53,85,5,2945,10
2020-07-07,4069,52,86,1,2976,31
2020-07-08,4155,86,91,5,3080,104
2020-07-09,4225,70,91,0,3199,119
2020-07-10,4282,57,91,0,3310,111
2020-07-11,4342,60,95,4,3326,16
2020-07-12,4403,61,96,1,3340,14
2020-07-13,4474,71,96,0,3366,26
2020-07-14,4543,69,97,1,3487,121
2020-07-15,4618,75,97,0,3618,131
2020-07-16,4705,87,100,3,3719,101
2020-07-17,4803,98,103,3,3808,89
2020-07-18,4893,90,107,4,3917,109
2020-07-19,4982,89,107,0,3935,18
2020-07-20,5069,87,108,1,3956,21
2020-07-21,5142,73,109,1,4051,95
2020-07-22,5211,69,113,4,4073,22
2020-07-23,5283,72,123,10,4090,17
2020-07-24,5354,71,131,8,4101,11
2020-07-25,5429,75,137,6,4116,15
2020-07-26,5502,73,137,0,4130,14
2020-07-27,5578,76,139,2,4143,13
2020-07-28,5651,73,141,2,4158,15
2020-07-29,5722,71,150,9,4211,53
2020-07-30,5794,72,150,0,4226,15
2020-07-31,5864,70,166,16,4267,41
2020-08-01,5933,69,166,0,4309,42
2020-08-02,6018,85,166,0,4342,33
2020-08-03,6088,70,166,0,4372,30
2020-08-04,6159,71,167,1,4415,43
2020-08-05,6227,68,169,2,4458,43
2020-08-06,6296,69,173,4,4507,49
2020-08-07,6368,72,175,2,4565,58
2020-08-08,6436,68,175,0,4613,48
2020-08-09,6505,69,175,0,4647,34
2020-08-10,6572,67,175,0,4683,36
2020-08-11,6637,65,177,2,4722,39
2020-08-12,6705,68,179,2,4768,46
2020-08-13,6777,72,182,3,4810,42
2020-08-14,6847,70,182,0,4851,41
2020-08-15,6915,68,184,2,4900,49
2020-08-16,6982,67,186,2,4931,31
