date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0
2020-03-31,2,2,0,0,0,0
2020-04-01,2,0,0,0,0,0
2020-04-02,2,0,0,0,0,0
2020-04-03,5,3,0,0,0,0
2020-04-04,5,0,0,0,0,0
2020-04-05,5,0,0,0,0,0
2020-04-06,5,0,0,0,0,0
2020-04-07,5,0,0,0,0,0
2020-04-08,5,0,0,0,0,0
2020-04-09,21,16,0,0,0,0
2020-04-10,21,0,0,0,0,0
2020-04-11,21,0,0,0,0,0
2020-04-12,29,8,0,0,0,0
2020-04-13,30,1,0,0,0,0
2020-04-14,30,0,0,0,0,0
2020-04-15,47,17,1,1,2,2
2020-04-16,60,13,3,2,2,0
2020-04-17,64,4,3,0,7,5
2020-04-18,99,35,3,0,7,0
2020-04-19,123,24,3,0,9,2
2020-04-20,136,13,3,0,9,0
2020-04-21,137,1,3,0,9,0
2020-04-22,148,11,3,0,13,4
2020-04-23,165,17,3,0,25,12
2020-04-24,186,21,3,0,25,0
2020-04-25,211,25,4,1,29,4
2020-04-26,277,66,4,0,42,13
2020-04-27,298,21,4,0,44,2
2020-04-28,306,8,4,0,55,11
2020-04-29,350,44,4,0,60,5
2020-04-30,365,15,4,0,75,15
2020-05-01,384,19,4,0,81,6
2020-05-02,411,27,4,0,83,2
2020-05-03,487,76,4,0,93,10
2020-05-04,504,17,4,0,101,8
2020-05-05,535,31,6,2,108,7
2020-05-06,564,29,6,0,113,5
2020-05-07,589,25,6,0,123,10
2020-05-08,629,40,6,0,134,11
2020-05-09,673,44,6,0,161,27
2020-05-10,731,58,6,0,177,16
2020-05-11,764,33,6,0,181,4
2020-05-12,806,42,7,1,209,28
2020-05-13,850,44,7,0,245,36
2020-05-14,895,45,7,0,274,29
2020-05-15,945,50,7,0,294,20
2020-05-16,984,39,7,0,319,25
2020-05-17,1029,45,7,0,375,56
2020-05-18,1065,36,7,0,426,51
2020-05-19,1099,34,7,0,492,66
2020-05-20,1154,55,7,0,546,54
2020-05-21,1202,48,7,0,565,19
2020-05-22,1247,45,8,1,622,57
2020-05-23,1298,51,8,0,646,24
2020-05-24,1348,50,10,2,664,18
2020-05-25,1501,153,11,1,683,19
2020-05-26,1558,57,11,0,718,35
2020-05-27,1596,38,12,1,769,51
2020-05-28,1614,18,15,3,797,28
2020-05-29,1654,40,15,0,855,58
2020-05-30,1693,39,15,0,899,44
2020-05-31,1752,59,15,0,920,21
2020-06-01,1883,131,16,1,937,17
2020-06-02,1937,54,19,3,1014,77
2020-06-03,2004,67,19,0,1052,38
2020-06-04,2097,93,19,0,1120,68
2020-06-05,2172,75,20,1,1166,46
2020-06-06,2233,61,22,2,1225,59
2020-06-07,2293,60,22,0,1263,38
2020-06-08,2337,44,22,0,1294,31
2020-06-09,2420,83,22,0,1362,68
2020-06-10,2501,81,23,1,1438,76
2020-06-11,2586,85,23,0,1535,97
2020-06-12,2630,44,24,1,1560,25
2020-06-13,2674,44,24,0,1639,79
2020-06-14,2733,59,24,0,1678,39
2020-06-15,2794,61,24,0,1702,24
2020-06-16,2862,68,25,1,1807,105
2020-06-17,2927,65,25,0,1875,68
2020-06-18,2987,60,26,1,1978,103
2020-06-19,3046,59,27,1,2000,22
2020-06-20,3103,57,27,0,2053,53
2020-06-21,3158,55,28,1,2076,23
2020-06-22,3206,48,28,0,2093,17
2020-06-23,3242,36,28,0,2157,64
2020-06-24,3275,33,29,1,2203,46
2020-06-25,3307,32,29,0,2220,17
2020-06-26,3347,40,29,0,2272,52
2020-06-27,3382,35,30,1,2298,26
2020-06-28,3419,37,30,0,2310,12
2020-06-29,3448,29,30,0,2322,12
2020-06-30,3479,31,31,1,2340,18
2020-07-01,3513,34,32,1,2352,12
2020-07-02,3548,35,32,0,2363,11
2020-07-03,3577,29,32,0,2378,15
2020-07-04,3617,40,33,1,2395,17
2020-07-05,3656,39,33,0,2399,4
2020-07-06,3698,42,33,0,2404,5
2020-07-07,3738,40,35,2,2414,10
2020-07-08,3773,35,35,0,2471,57
2020-07-09,3806,33,35,0,2515,44
2020-07-10,3842,36,35,0,2559,44
2020-07-11,3873,31,35,0,2600,41
2020-07-12,3910,37,35,0,2630,30
2020-07-13,3943,33,36,1,2652,22
2020-07-14,3977,34,37,1,2706,54
2020-07-15,4013,36,38,1,2800,94
2020-07-16,4045,32,38,0,2844,44
2020-07-17,4086,41,39,1,2886,42
2020-07-18,4144,58,39,0,2947,61
2020-07-19,4176,32,39,0,2964,17
2020-07-20,4213,37,39,0,3023,59
2020-07-21,4245,32,40,1,3120,97
2020-07-22,4280,35,41,1,3177,57
2020-07-23,4311,31,42,1,3278,101
2020-07-24,4341,30,42,0,3349,71
2020-07-25,4371,30,43,1,3406,57
2020-07-26,4405,34,43,0,3429,23
2020-07-27,4437,32,44,1,3435,6
2020-07-28,4473,36,45,1,3488,53
2020-07-29,4503,30,46,1,3553,65
2020-07-30,4538,35,47,1,3599,46
2020-07-31,4569,31,47,0,3627,28
2020-08-01,4620,51,48,1,3667,40
2020-08-02,4657,37,49,1,3695,28
2020-08-03,4688,31,49,0,3709,14
2020-08-04,4717,29,50,1,3769,60
2020-08-05,4751,34,50,0,3803,34
2020-08-06,4792,41,50,0,3858,55
2020-08-07,4831,39,51,1,3913,55
2020-08-08,4865,34,52,1,3956,43
2020-08-09,4896,31,52,0,3966,10
2020-08-10,4928,32,53,1,3977,11
2020-08-11,4965,37,54,1,4030,53
2020-08-12,5006,41,54,0,4103,73
2020-08-13,5041,35,55,1,4148,45
2020-08-14,5079,38,56,1,4211,63
2020-08-15,5115,36,57,1,4263,52
2020-08-16,5148,33,58,1,4278,15
2020-08-17,5185,37,59,1,4297,19
2020-08-18,5229,44,60,1,4388,91
2020-08-19,5264,35,61,1,4444,56
2020-08-20,5294,30,62,1,4516,72
2020-08-21,5331,37,63,1,4563,47
2020-08-22,5369,38,65,2,4667,104
2020-08-23,5410,41,65,0,4681,14
2020-08-24,5445,35,66,1,4681,0
2020-08-25,5478,33,67,1,4803,122
2020-08-26,5508,30,68,1,4897,94
2020-08-27,5551,43,69,1,5007,110
2020-08-28,5591,40,70,1,5093,86
2020-08-29,5628,37,72,2,5263,170
2020-08-30,5658,30,72,0,5280,17
2020-08-31,5693,35,73,1,5296,16
2020-09-01,5730,37,74,1,5378,82
2020-09-02,5771,41,75,1,5445,67
2020-09-03,5809,38,75,0,5523,78
2020-09-04,5844,35,77,2,5582,59
2020-09-05,5894,50,79,2,5630,48
2020-09-06,5935,41,79,0,5643,13
2020-09-07,5978,43,80,1,5653,10
2020-09-08,6026,48,81,1,5759,106
2020-09-09,6076,50,82,1,5943,184
2020-09-10,6115,39,84,2,5964,21
2020-09-11,6168,53,85,1,5982,18
2020-09-12,6218,50,87,2,6002,20
2020-09-13,6263,45,87,0,6018,16
2020-09-14,6305,42,88,1,6024,6
2020-09-15,6356,51,89,1,6048,24
2020-09-16,6409,53,90,1,6073,25
2020-09-17,6457,48,91,1,6095,22
2020-09-18,6504,47,92,1,6121,26
2020-09-19,6550,46,94,2,6144,23
2020-09-20,6604,54,94,0,6162,18
2020-09-21,6653,49,95,1,6169,7
2020-09-22,6698,45,96,1,6194,25
2020-09-23,6749,51,98,2,6221,27
2020-09-24,6804,55,100,2,6247,26
2020-09-25,6856,52,100,0,6274,27
2020-09-26,6899,43,104,4,6298,24
2020-09-27,6955,56,105,1,6304,6
2020-09-28,7012,57,108,3,6313,9
2020-09-29,7068,56,110,2,6343,30
2020-09-30,7109,41,111,1,6370,27
2020-10-01,7154,45,114,3,6395,25
2020-10-02,7202,48,116,2,6419,24
2020-10-03,7251,49,118,2,6444,25
2020-10-04,7301,50,119,1,6453,9
2020-10-05,7352,51,120,1,6463,10
2020-10-06,7401,49,122,2,6487,24
2020-10-07,7454,53,124,2,6512,25
2020-10-08,7509,55,126,2,6539,27
2020-10-09,7566,57,128,2,6565,26
2020-10-10,7624,58,129,1,6592,27
2020-10-11,7684,60,129,0,6600,8
2020-10-12,7746,62,131,2,6610,10
2020-10-13,7811,65,133,2,6638,28
2020-10-14,7879,68,135,2,6664,26
