date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,2,2,0,0,0,0
2020-03-25,2,0,0,0,0,0
2020-03-26,2,0,0,0,0,0
2020-03-27,2,0,0,0,0,0
2020-03-28,2,0,0,0,0,0
2020-03-29,2,0,0,0,0,0
2020-03-30,2,0,0,0,0,0
2020-03-31,4,2,0,0,1,1
2020-04-01,5,1,0,0,1,0
2020-04-02,5,0,0,0,2,1
2020-04-03,7,2,0,0,2,0
2020-04-04,7,0,1,1,2,0
2020-04-05,7,0,1,0,2,0
2020-04-06,7,0,1,0,2,0
2020-04-07,8,1,2,1,2,0
2020-04-08,15,7,2,0,2,0
2020-04-09,20,5,2,0,2,0
2020-04-10,20,0,2,0,2,0
2020-04-11,23,3,2,0,2,0
2020-04-12,24,1,2,0,2,0
2020-04-13,28,4,2,0,2,0
2020-04-14,32,4,2,0,3,1
2020-04-15,36,4,2,0,3,0
2020-04-16,40,4,2,0,3,0
2020-04-17,49,9,2,0,3,0
2020-04-18,67,18,2,0,4,1
2020-04-19,80,13,2,0,4,0
2020-04-20,97,17,2,0,4,0
2020-04-21,104,7,2,0,7,3
2020-04-22,166,62,2,0,11,4
2020-04-23,185,19,2,0,13,2
2020-04-24,220,35,2,0,23,10
2020-04-25,254,34,2,0,32,9
2020-04-26,278,24,3,1,33,1
2020-04-27,302,24,3,0,33,0
2020-04-28,347,45,3,0,33,0
2020-04-29,367,20,3,0,33,0
2020-04-30,403,36,3,0,33,0
2020-05-01,430,27,4,1,59,26
2020-05-02,455,25,4,0,61,2
2020-05-03,494,39,4,0,66,5
2020-05-04,547,53,4,0,73,7
2020-05-05,635,88,7,3,105,32
2020-05-06,684,49,8,1,112,7
2020-05-07,727,43,10,2,130,18
2020-05-08,763,36,10,0,150,20
2020-05-09,808,45,10,0,181,31
2020-05-10,856,48,10,0,193,12
2020-05-11,907,51,10,0,213,20
2020-05-12,955,48,12,2,240,27
2020-05-13,1008,53,12,0,268,28
2020-05-14,1057,49,12,0,307,39
2020-05-15,1110,53,12,0,340,33
2020-05-16,1197,87,12,0,389,49
2020-05-17,1268,71,12,0,399,10
2020-05-18,1339,71,14,2,410,11
2020-05-19,1402,63,14,0,459,49
2020-05-20,1446,44,14,0,487,28
2020-05-21,1495,49,14,0,514,27
2020-05-22,1542,47,14,0,551,37
2020-05-23,1595,53,15,1,584,33
2020-05-24,1646,51,15,0,610,26
2020-05-25,1695,49,15,0,617,7
2020-05-26,1735,40,17,2,706,89
2020-05-27,1779,44,17,0,798,92
2020-05-28,1836,57,17,0,885,87
2020-05-29,1893,57,18,1,945,60
2020-05-30,1943,50,19,1,1047,102
2020-05-31,1995,52,19,0,1075,28
2020-06-01,2049,54,19,0,1078,3
2020-06-02,2103,54,19,0,1160,82
2020-06-03,2155,52,19,0,1223,63
2020-06-04,2211,56,21,2,1290,67
2020-06-05,2262,51,22,1,1356,66
2020-06-06,2313,51,22,0,1402,46
2020-06-07,2375,62,23,1,1444,42
2020-06-08,2442,67,23,0,1464,20
2020-06-09,2500,58,24,1,1529,65
2020-06-10,2552,52,25,1,1614,85
2020-06-11,2609,57,25,0,1614,0
2020-06-12,2702,93,26,1,1634,20
2020-06-13,2787,85,26,0,1662,28
2020-06-14,2886,99,26,0,1684,22
2020-06-15,2977,91,26,0,1720,36
2020-06-16,3065,88,28,2,1774,54
2020-06-17,3169,104,29,1,1848,74
2020-06-18,3270,101,30,1,1895,47
2020-06-19,3373,103,32,2,1965,70
2020-06-20,3464,91,33,1,2014,49
2020-06-21,3553,89,33,0,2077,63
2020-06-22,3643,90,36,3,2102,25
2020-06-23,3728,85,37,1,2151,49
2020-06-24,3811,83,39,2,2267,116
2020-06-25,3895,84,40,1,2364,97
2020-06-26,3980,85,41,1,2474,110
2020-06-27,4063,83,41,0,2636,162
2020-06-28,4144,81,41,0,2655,19
2020-06-29,4226,82,42,1,2688,33
2020-06-30,4306,80,44,2,2745,57
2020-07-01,4383,77,46,2,2874,129
2020-07-02,4458,75,48,2,2904,30
2020-07-03,4533,75,49,1,2973,69
2020-07-04,4602,69,50,1,3064,91
2020-07-05,4667,65,51,1,3077,13
2020-07-06,4732,65,52,1,3077,0
2020-07-07,4792,60,54,2,3135,58
2020-07-08,4849,57,55,1,3273,138
2020-07-09,4904,55,56,1,3412,139
2020-07-10,4959,55,57,1,3509,97
2020-07-11,5010,51,58,1,3648,139
2020-07-12,5064,54,59,1,3677,29
2020-07-13,5118,54,59,0,3687,10
2020-07-14,5174,56,59,0,3840,153
2020-07-15,5236,62,60,1,3963,123
2020-07-16,5305,69,60,0,4014,51
2020-07-17,5380,75,61,1,4054,40
2020-07-18,5460,80,62,1,4105,51
2020-07-19,5548,88,63,1,4158,53
2020-07-20,5640,92,63,0,4186,28
2020-07-21,5734,94,65,2,4256,70
2020-07-22,5838,104,66,1,4350,94
2020-07-23,5948,110,67,1,4434,84
2020-07-24,6060,112,67,0,4525,91
2020-07-25,6170,110,68,1,4637,112
2020-07-26,6281,111,70,2,4730,93
2020-07-27,6390,109,70,0,4821,91
2020-07-28,6500,110,74,4,4953,132
2020-07-29,6608,108,77,3,5100,147
2020-07-30,6712,104,79,2,5169,69
2020-07-31,6816,104,81,2,5244,75
2020-08-01,6918,102,82,1,5324,80
2020-08-02,7019,101,84,2,5388,64
2020-08-03,7117,98,87,3,5456,68
2020-08-04,7216,99,87,0,5570,114
2020-08-05,7316,100,87,0,5700,130
2020-08-06,7414,98,88,1,5809,109
2020-08-07,7510,96,90,2,5888,79
2020-08-08,7607,97,90,0,5938,50
2020-08-09,7703,96,90,0,6008,70
2020-08-10,7797,94,92,2,6091,83
2020-08-11,7890,93,94,2,6189,98
2020-08-12,7981,91,95,1,6299,110
2020-08-13,8073,92,96,1,6414,115
2020-08-14,8164,91,96,0,6474,60
2020-08-15,8257,93,96,0,6575,101
2020-08-16,8348,91,97,1,6661,86
2020-08-17,8438,90,98,1,6721,60
2020-08-18,8527,89,99,1,6842,121
2020-08-19,8616,89,99,0,6921,79
2020-08-20,8703,87,99,0,6980,59
2020-08-21,8789,86,99,0,7055,75
2020-08-22,8875,86,99,0,7110,55
2020-08-23,8959,84,100,1,7168,58
2020-08-24,9042,83,100,0,7222,54
2020-08-25,9123,81,101,1,7250,28
2020-08-26,9202,79,101,0,7413,163
2020-08-27,9284,82,101,0,7469,56
2020-08-28,9364,80,101,0,7564,95
2020-08-29,9442,78,103,2,7685,121
2020-08-30,9524,82,103,0,7757,72
2020-08-31,9603,79,103,0,7811,54
2020-09-01,9681,78,104,1,7960,149
2020-09-02,9759,78,105,1,8046,86
2020-09-03,9836,77,105,0,8137,91
2020-09-04,9910,74,107,2,8232,95
2020-09-05,9988,78,107,0,8311,79
2020-09-06,10064,76,107,0,8381,70
2020-09-07,10137,73,107,0,8433,52
2020-09-08,10212,75,108,1,8556,123
2020-09-09,10284,72,109,1,8630,74
2020-09-10,10354,70,109,0,8685,55
2020-09-11,10422,68,109,0,8766,81
2020-09-12,10493,71,109,0,8867,101
2020-09-13,10564,71,109,0,8918,51
2020-09-14,10633,69,109,0,8976,58
2020-09-15,10701,68,110,1,9086,110
2020-09-16,10771,70,111,1,9201,115
2020-09-17,10839,68,112,1,9276,75
2020-09-18,10910,71,112,0,9346,70
2020-09-19,10985,75,113,1,9419,73
2020-09-20,11055,70,113,0,9506,87
2020-09-21,11126,71,115,2,9559,53
2020-09-22,11194,68,115,0,9663,104
2020-09-23,11262,68,115,0,9729,66
2020-09-24,11332,70,115,0,9833,104
2020-09-25,11401,69,116,1,9886,53
2020-09-26,11472,71,116,0,9944,58
2020-09-27,11540,68,118,2,9990,46
2020-09-28,11609,69,118,0,10014,24
2020-09-29,11679,70,118,0,10123,109
2020-09-30,11752,73,118,0,10210,87
2020-10-01,11823,71,119,1,10239,29
2020-10-02,11898,75,119,0,10272,33
2020-10-03,11970,72,119,0,10333,61
2020-10-04,12044,74,119,0,10374,41
2020-10-05,12123,79,120,1,10402,28
2020-10-06,12204,81,120,0,10491,89
2020-10-07,12284,80,120,0,10552,61
2020-10-08,12367,83,122,2,10594,42
2020-10-09,12448,81,122,0,10646,52
2020-10-10,12532,84,122,0,10699,53
2020-10-11,12621,89,122,0,10758,59
2020-10-12,12713,92,122,0,10801,43
2020-10-13,12807,94,124,2,10889,88
2020-10-14,12905,98,124,0,10951,62
