date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,1,1,0,0,0,0
2020-03-25,1,0,0,0,0,0
2020-03-26,1,0,0,0,0,0
2020-03-27,4,3,0,0,0,0
2020-03-28,4,0,0,0,0,0
2020-03-29,4,0,0,0,0,0
2020-03-30,4,0,0,0,0,0
2020-03-31,4,0,0,0,0,0
2020-04-01,8,4,0,0,0,0
2020-04-02,8,0,0,0,0,0
2020-04-03,8,0,0,0,0,0
2020-04-04,8,0,0,0,1,1
2020-04-05,8,0,0,0,1,0
2020-04-06,15,7,0,0,1,0
2020-04-07,26,11,0,0,1,0
2020-04-08,26,0,0,0,2,1
2020-04-09,26,0,0,0,2,0
2020-04-10,28,2,0,0,5,3
2020-04-11,33,5,0,0,5,0
2020-04-12,38,5,0,0,7,2
2020-04-13,44,6,0,0,7,0
2020-04-14,46,2,0,0,7,0
2020-04-15,47,1,0,0,7,0
2020-04-16,58,11,0,0,7,0
2020-04-17,62,4,0,0,7,0
2020-04-18,79,17,1,1,23,16
2020-04-19,93,14,1,0,23,0
2020-04-20,111,18,1,0,25,2
2020-04-21,134,23,1,0,25,0
2020-04-22,145,11,2,1,30,5
2020-04-23,165,20,2,0,31,1
2020-04-24,186,21,3,1,32,1
2020-04-25,212,26,5,2,34,2
2020-04-26,242,30,6,1,37,3
2020-04-27,272,30,8,2,37,0
2020-04-28,297,25,8,0,44,7
2020-04-29,313,16,8,0,46,2
2020-04-30,344,31,8,0,46,0
2020-05-01,386,42,8,0,66,20
2020-05-02,432,46,9,1,88,22
2020-05-03,474,42,10,1,88,0
2020-05-04,516,42,12,2,91,3
2020-05-05,578,62,12,0,109,18
2020-05-06,647,69,12,0,109,0
2020-05-07,711,64,12,0,194,85
2020-05-08,791,80,12,0,233,39
2020-05-09,893,102,12,0,287,54
2020-05-10,1012,119,12,0,294,7
2020-05-11,1061,49,12,0,314,20
2020-05-12,1135,74,12,0,316,2
2020-05-13,1259,124,13,1,329,13
2020-05-14,1355,96,13,0,385,56
2020-05-15,1445,90,13,0,407,22
2020-05-16,1531,86,13,0,462,55
2020-05-17,1596,65,13,0,464,2
2020-05-18,1661,65,13,0,464,0
2020-05-19,1747,86,13,0,519,55
2020-05-20,1831,84,13,0,590,71
2020-05-21,1913,82,13,0,626,36
2020-05-22,2002,89,13,0,640,14
2020-05-23,2109,107,14,1,691,51
2020-05-24,2207,98,15,1,698,7
2020-05-25,2296,89,15,0,701,3
2020-05-26,2384,88,16,1,725,24
2020-05-27,2470,86,16,0,781,56
2020-05-28,2581,111,16,0,829,48
2020-05-29,2714,133,18,2,912,83
2020-05-30,2868,154,18,0,981,69
2020-05-31,3026,158,19,1,1023,42
2020-06-01,3215,189,20,1,1031,8
2020-06-02,3334,119,20,0,1097,66
2020-06-03,3432,98,20,0,1165,68
2020-06-04,3541,109,21,1,1235,70
2020-06-05,3669,128,21,0,1321,86
2020-06-06,3794,125,21,0,1400,79
2020-06-07,3913,119,23,2,1401,1
2020-06-08,4030,117,23,0,1428,27
2020-06-09,4122,92,24,1,1498,70
2020-06-10,4238,116,24,0,1551,53
2020-06-11,4346,108,25,1,1627,76
2020-06-12,4460,114,25,0,1732,105
2020-06-13,4569,109,27,2,1739,7
2020-06-14,4677,108,27,0,1740,1
2020-06-15,4783,106,29,2,1755,15
2020-06-16,4887,104,29,0,1859,104
2020-06-17,4991,104,31,2,1977,118
2020-06-18,5100,109,31,0,2128,151
2020-06-19,5207,107,32,1,2204,76
2020-06-20,5312,105,32,0,2289,85
2020-06-21,5410,98,33,1,2328,39
2020-06-22,5518,108,33,0,2345,17
2020-06-23,5622,104,34,1,2454,109
2020-06-24,5724,102,34,0,2612,158
2020-06-25,5825,101,35,1,2691,79
2020-06-26,5935,110,35,0,2766,75
2020-06-27,6037,102,36,1,2839,73
2020-06-28,6135,98,36,0,2856,17
2020-06-29,6232,97,37,1,2866,10
2020-06-30,6327,95,39,2,2905,39
2020-07-01,6419,92,39,0,3028,123
2020-07-02,6508,89,41,2,3057,29
2020-07-03,6597,89,41,0,3173,116
2020-07-04,6688,91,43,2,3295,122
2020-07-05,6783,95,43,0,3307,12
2020-07-06,6877,94,44,1,3329,22
2020-07-07,6969,92,45,1,3420,91
2020-07-08,7058,89,45,0,3564,144
2020-07-09,7146,88,45,0,3731,167
2020-07-10,7240,94,47,2,3837,106
2020-07-11,7332,92,47,0,3973,136
2020-07-12,7428,96,48,1,3979,6
2020-07-13,7516,88,48,0,4005,26
2020-07-14,7601,85,50,2,4119,114
2020-07-15,7694,93,50,0,4271,152
2020-07-16,7785,91,51,1,4403,132
2020-07-17,7879,94,52,1,4548,145
2020-07-18,7968,89,52,0,4592,44
2020-07-19,8056,88,53,1,4614,22
2020-07-20,8149,93,53,0,4623,9
2020-07-21,8244,95,54,1,4687,64
2020-07-22,8340,96,55,1,4792,105
2020-07-23,8431,91,55,0,4894,102
2020-07-24,8517,86,57,2,4963,69
2020-07-25,8602,85,57,0,5051,88
2020-07-26,8689,87,58,1,5054,3
2020-07-27,8778,89,59,1,5063,9
2020-07-28,8870,92,61,2,5210,147
2020-07-29,8958,88,61,0,5314,104
2020-07-30,9052,94,61,0,5448,134
2020-07-31,9142,90,62,1,5565,117
2020-08-01,9237,95,63,1,5645,80
2020-08-02,9328,91,64,1,5645,0
2020-08-03,9425,97,65,1,5645,0
2020-08-04,9517,92,65,0,5808,163
2020-08-05,9613,96,67,2,5899,91
2020-08-06,9711,98,68,1,6043,144
2020-08-07,9804,93,69,1,6183,140
2020-08-08,9892,88,70,1,6300,117
2020-08-09,9998,106,72,2,6325,25
2020-08-10,10095,97,72,0,6356,31
2020-08-11,10190,95,73,1,6491,135
2020-08-12,10281,91,75,2,6578,87
2020-08-13,10383,102,75,0,6669,91
2020-08-14,10480,97,77,2,6737,68
2020-08-15,10576,96,78,1,6834,97
2020-08-16,10668,92,79,1,6850,16
2020-08-17,10763,95,79,0,6862,12
2020-08-18,10852,89,80,1,6997,135
2020-08-19,10939,87,80,0,7151,154
2020-08-20,11023,84,82,2,7343,192
2020-08-21,11105,82,83,1,7462,119
2020-08-22,11190,85,84,1,7599,137
2020-08-23,11299,109,84,0,7608,9
2020-08-24,11411,112,85,1,7696,88
2020-08-25,11509,98,85,0,7837,141
2020-08-26,11617,108,87,2,7966,129
2020-08-27,11729,112,87,0,8255,289
2020-08-28,11836,107,90,3,8406,151
2020-08-29,11934,98,93,3,8535,129
2020-08-30,12030,96,97,4,8543,8
2020-08-31,12125,95,101,4,8597,54
2020-09-01,12216,91,104,3,8738,141
2020-09-02,12309,93,106,2,8885,147
2020-09-03,12407,98,108,2,9019,134
2020-09-04,12503,96,110,2,9315,296
2020-09-05,12607,104,112,2,9531,216
2020-09-06,12709,102,115,3,9612,81
2020-09-07,12806,97,117,2,9786,174
2020-09-08,12901,95,118,1,10396,610
2020-09-09,12993,92,120,2,11025,629
2020-09-10,13087,94,121,1,11281,256
2020-09-11,13183,96,122,1,11483,202
2020-09-12,13280,97,123,1,11652,169
2020-09-13,13375,95,125,2,11658,6
2020-09-14,13473,98,125,0,11669,11
2020-09-15,13570,97,126,1,11817,148
2020-09-16,13674,104,127,1,11965,148
2020-09-17,13772,98,128,1,12111,146
2020-09-18,13869,97,129,1,12234,123
2020-09-19,13965,96,130,1,12334,100
2020-09-20,14063,98,131,1,12363,29
2020-09-21,14158,95,131,0,12376,13
2020-09-22,14256,98,132,1,12509,133
2020-09-23,14360,104,134,2,12589,80
2020-09-24,14468,108,136,2,12601,12
2020-09-25,14577,109,138,2,12668,67
2020-09-26,14680,103,140,2,12799,131
2020-09-27,14786,106,141,1,12824,25
2020-09-28,14888,102,142,1,12844,20
2020-09-29,14993,105,144,2,13071,227
2020-09-30,15099,106,147,3,13188,117
2020-10-01,15231,132,151,4,13380,192
2020-10-02,15350,119,151,0,13527,147
2020-10-03,15474,124,151,0,13623,96
2020-10-04,15603,129,152,1,13664,41
2020-10-05,15735,132,152,0,13698,34
2020-10-06,15876,141,154,2,13870,172
2020-10-07,16021,145,156,2,13980,110
2020-10-08,16164,143,158,2,14213,233
2020-10-09,16315,151,160,2,14379,166
2020-10-10,16470,155,160,0,14509,130
2020-10-11,16629,159,161,1,14533,24
2020-10-12,16790,161,161,0,14572,39
2020-10-13,16955,165,165,4,14681,109
2020-10-14,17124,169,167,2,14827,146
