date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,1,1,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,1,0,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,1,0,0,0,0,0
2020-03-26,1,0,0,0,0,0
2020-03-27,1,0,0,0,0,0
2020-03-28,2,1,0,0,0,0
2020-03-29,2,0,0,0,0,0
2020-03-30,4,2,0,0,0,0
2020-03-31,4,0,0,0,0,0
2020-04-01,15,11,0,0,1,1
2020-04-02,15,0,0,0,1,0
2020-04-03,19,4,0,0,1,0
2020-04-04,19,0,0,0,1,0
2020-04-05,19,0,0,0,1,0
2020-04-06,19,0,0,0,1,0
2020-04-07,25,6,0,0,1,0
2020-04-08,26,1,0,0,1,0
2020-04-09,30,4,0,0,1,0
2020-04-10,34,4,0,0,2,1
2020-04-11,35,1,0,0,2,0
2020-04-12,42,7,0,0,2,0
2020-04-13,44,2,0,0,4,2
2020-04-14,49,5,0,0,6,2
2020-04-15,56,7,0,0,8,2
2020-04-16,70,14,0,0,8,0
2020-04-17,87,17,0,0,13,5
2020-04-18,98,11,0,0,13,0
2020-04-19,114,16,0,0,13,0
2020-04-20,142,28,0,0,13,0
2020-04-21,168,26,0,0,13,0
2020-04-22,190,22,0,0,19,6
2020-04-23,229,39,0,0,19,0
2020-04-24,245,16,0,0,30,11
2020-04-25,265,20,2,2,34,4
2020-04-26,305,40,2,0,38,4
2020-04-27,327,22,2,0,39,1
2020-04-28,359,32,2,0,39,0
2020-04-29,392,33,2,0,49,10
2020-04-30,438,46,2,0,49,0
2020-05-01,487,49,2,0,52,3
2020-05-02,535,48,3,1,73,21
2020-05-03,585,50,3,0,95,22
2020-05-04,659,74,3,0,99,4
2020-05-05,737,78,3,0,106,7
2020-05-06,835,98,3,0,133,27
2020-05-07,876,41,4,1,135,2
2020-05-08,950,74,4,0,157,22
2020-05-09,1007,57,4,0,196,39
2020-05-10,1076,69,4,0,233,37
2020-05-11,1168,92,5,1,237,4
2020-05-12,1232,64,5,0,242,5
2020-05-13,1317,85,6,1,244,2
2020-05-14,1413,96,6,0,277,33
2020-05-15,1526,113,7,1,321,44
2020-05-16,1633,107,7,0,359,38
2020-05-17,1754,121,8,1,386,27
2020-05-18,1871,117,8,0,421,35
2020-05-19,1980,109,11,3,438,17
2020-05-20,2072,92,12,1,486,48
2020-05-21,2139,67,15,3,568,82
2020-05-22,2223,84,16,1,639,71
2020-05-23,2321,98,18,2,699,60
2020-05-24,2418,97,20,2,761,62
2020-05-25,2516,98,22,2,785,24
2020-05-26,2581,65,25,3,812,27
2020-05-27,2649,68,30,5,861,49
2020-05-28,2746,97,32,2,942,81
2020-05-29,2840,94,34,2,1033,91
2020-05-30,2936,96,34,0,1118,85
2020-05-31,3078,142,34,0,1153,35
2020-06-01,3174,96,34,0,1158,5
2020-06-02,3269,95,34,0,1206,48
2020-06-03,3363,94,34,0,1288,82
2020-06-04,3457,94,35,1,1361,73
2020-06-05,3553,96,35,0,1404,43
2020-06-06,3651,98,36,1,1462,58
2020-06-07,3763,112,36,0,1547,85
2020-06-08,3900,137,37,1,1573,26
2020-06-09,4015,115,37,0,1596,23
2020-06-10,4132,117,37,0,1699,103
2020-06-11,4246,114,37,0,1811,112
2020-06-12,4362,116,37,0,1980,169
2020-06-13,4480,118,38,1,2014,34
2020-06-14,4606,126,38,0,2052,38
2020-06-15,4734,128,38,0,2071,19
2020-06-16,4857,123,39,1,2204,133
2020-06-17,4982,125,39,0,2317,113
2020-06-18,5101,119,40,1,2396,79
2020-06-19,5217,116,40,0,2507,111
2020-06-20,5335,118,41,1,2595,88
2020-06-21,5450,115,41,0,2618,23
2020-06-22,5562,112,41,0,2640,22
2020-06-23,5671,109,42,1,2789,149
2020-06-24,5782,111,42,0,2895,106
2020-06-25,5892,110,42,0,2922,27
2020-06-26,6003,111,42,0,3034,112
2020-06-27,6115,112,42,0,3158,124
2020-06-28,6225,110,43,1,3194,36
2020-06-29,6334,109,43,0,3206,12
2020-06-30,6444,110,43,0,3344,138
2020-07-01,6546,102,44,1,3550,206
2020-07-02,6645,99,44,0,3569,19
2020-07-03,6746,101,45,1,3680,111
2020-07-04,6844,98,45,0,3748,68
2020-07-05,6941,97,45,0,3759,11
2020-07-06,7040,99,45,0,3773,14
2020-07-07,7135,95,46,1,3881,108
2020-07-08,7231,96,47,1,3988,107
2020-07-09,7325,94,47,0,4044,56
2020-07-10,7417,92,47,0,4116,72
2020-07-11,7508,91,47,0,4220,104
2020-07-12,7600,92,47,0,4231,11
2020-07-13,7689,89,47,0,4241,10
2020-07-14,7782,93,47,0,4363,122
2020-07-15,7874,92,48,1,4463,100
2020-07-16,7969,95,49,1,4535,72
2020-07-17,8063,94,50,1,4620,85
2020-07-18,8159,96,51,1,4699,79
2020-07-19,8256,97,51,0,4721,22
2020-07-20,8349,93,51,0,4746,25
2020-07-21,8443,94,53,2,4834,88
2020-07-22,8536,93,54,1,4956,122
2020-07-23,8631,95,54,0,5057,101
2020-07-24,8725,94,55,1,5159,102
2020-07-25,8823,98,55,0,5220,61
2020-07-26,8920,97,55,0,5250,30
2020-07-27,9015,95,55,0,5270,20
2020-07-28,9111,96,56,1,5369,99
2020-07-29,9209,98,57,1,5469,100
2020-07-30,9308,99,58,1,5547,78
2020-07-31,9406,98,59,1,5642,95
2020-08-01,9502,96,59,0,5764,122
2020-08-02,9597,95,60,1,5813,49
2020-08-03,9691,94,60,0,5848,35
2020-08-04,9784,93,61,1,5933,85
2020-08-05,9878,94,61,0,6040,107
2020-08-06,9968,90,62,1,6120,80
2020-08-07,10062,94,62,0,6192,72
2020-08-08,10157,95,63,1,6278,86
2020-08-09,10253,96,63,0,6298,20
2020-08-10,10348,95,63,0,6339,41
2020-08-11,10442,94,63,0,6401,62
2020-08-12,10538,96,64,1,6521,120
2020-08-13,10633,95,64,0,6614,93
2020-08-14,10727,94,65,1,6695,81
2020-08-15,10824,97,66,1,6755,60
2020-08-16,10922,98,66,0,6774,19
2020-08-17,11018,96,66,0,6791,17
2020-08-18,11116,98,67,1,6949,158
2020-08-19,11211,95,67,0,7083,134
2020-08-20,11308,97,67,0,7196,113
2020-08-21,11399,91,68,1,7305,109
2020-08-22,11494,95,68,0,7415,110
2020-08-23,11587,93,68,0,7467,52
2020-08-24,11686,99,68,0,7498,31
2020-08-25,11782,96,69,1,7583,85
2020-08-26,11877,95,69,0,7660,77
2020-08-27,11974,97,69,0,7768,108
2020-08-28,12067,93,71,2,7851,83
2020-08-29,12163,96,71,0,7927,76
2020-08-30,12251,88,73,2,7954,27
2020-08-31,12345,94,75,2,7965,11
2020-09-01,12438,93,76,1,8038,73
2020-09-02,12550,112,76,0,8116,78
2020-09-03,12658,108,77,1,8187,71
2020-09-04,12760,102,79,2,8242,55
2020-09-05,12863,103,80,1,8344,102
2020-09-06,12967,104,80,0,8368,24
2020-09-07,13068,101,82,2,8386,18
2020-09-08,13166,98,82,0,8451,65
2020-09-09,13268,102,82,0,8532,81
2020-09-10,13371,103,84,2,8648,116
2020-09-11,13472,101,85,1,8747,99
2020-09-12,13573,101,85,0,8846,99
2020-09-13,13678,105,85,0,8897,51
2020-09-14,13788,110,85,0,8925,28
2020-09-15,13897,109,87,2,9055,130
2020-09-16,14008,111,88,1,9169,114
2020-09-17,14115,107,89,1,9269,100
2020-09-18,14222,107,91,2,9375,106
2020-09-19,14332,110,93,2,9477,102
2020-09-20,14440,108,93,0,9656,179
2020-09-21,14542,102,93,0,9691,35
2020-09-22,14647,105,93,0,9711,20
2020-09-23,14755,108,95,2,9789,78
2020-09-24,14859,104,95,0,9931,142
2020-09-25,14966,107,97,2,9964,33
2020-09-26,15072,106,98,1,10096,132
2020-09-27,15176,104,98,0,10119,23
2020-09-28,15279,103,98,0,10172,53
2020-09-29,15381,102,100,2,10255,83
2020-09-30,15486,105,103,3,10383,128
2020-10-01,15613,127,105,2,10401,18
2020-10-02,15742,129,107,2,10630,229
2020-10-03,15877,135,109,2,10722,92
2020-10-04,16005,128,111,2,10777,55
2020-10-05,16140,135,112,1,10849,72
2020-10-06,16279,139,115,3,10988,139
2020-10-07,16421,142,116,1,11145,157
2020-10-08,16560,139,118,2,11294,149
2020-10-09,16704,144,120,2,11388,94
2020-10-10,16853,149,121,1,11480,92
2020-10-11,16998,145,122,1,11512,32
2020-10-12,17139,141,124,2,11552,40
2020-10-13,17294,155,126,2,11660,108
2020-10-14,17447,153,128,2,11779,119
