date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,1,1,0,0,1,1
2020-03-16,2,1,0,0,1,0
2020-03-17,2,0,0,0,1,0
2020-03-18,2,0,0,0,1,0
2020-03-19,2,0,0,0,1,0
2020-03-20,3,1,0,0,1,0
2020-03-21,3,0,0,0,1,0
2020-03-22,3,0,0,0,1,0
2020-03-23,3,0,0,0,1,0
2020-03-24,3,0,0,0,1,0
2020-03-25,3,0,0,0,1,0
2020-03-26,3,0,0,0,1,0
2020-03-27,3,0,0,0,1,0
2020-03-28,3,0,0,0,1,0
2020-03-29,4,1,0,0,1,0
2020-03-30,4,0,0,0,1,0
2020-03-31,6,2,0,0,1,0
2020-04-01,6,0,0,0,2,1
2020-04-02,6,0,0,0,2,0
2020-04-03,11,5,0,0,2,0
2020-04-04,11,0,0,0,2,0
2020-04-05,11,0,0,0,2,0
2020-04-06,11,0,0,0,2,0
2020-04-07,18,7,0,0,2,0
2020-04-08,18,0,0,0,2,0
2020-04-09,19,1,0,0,2,0
2020-04-10,22,3,0,0,4,2
2020-04-11,30,8,0,0,4,0
2020-04-12,39,9,0,0,8,4
2020-04-13,53,14,0,0,9,1
2020-04-14,67,14,0,0,9,0
2020-04-15,85,18,1,1,10,1
2020-04-16,112,27,1,0,10,0
2020-04-17,146,34,2,1,10,0
2020-04-18,185,39,2,0,10,0
2020-04-19,227,42,2,0,20,10
2020-04-20,254,27,2,0,20,0
2020-04-21,290,36,2,0,28,8
2020-04-22,319,29,2,0,28,0
2020-04-23,341,22,2,0,34,6
2020-04-24,357,16,2,0,40,6
2020-04-25,374,17,3,1,50,10
2020-04-26,386,12,3,0,58,8
2020-04-27,399,13,3,0,61,3
2020-04-28,404,5,3,0,61,0
2020-04-29,420,16,3,0,88,27
2020-04-30,435,15,3,0,95,7
2020-05-01,442,7,3,0,109,14
2020-05-02,458,16,3,0,140,31
2020-05-03,495,37,3,0,161,21
2020-05-04,561,66,3,0,184,23
2020-05-05,589,28,4,1,186,2
2020-05-06,658,69,4,0,215,29
2020-05-07,683,25,5,1,225,10
2020-05-08,707,24,5,0,271,46
2020-05-09,730,23,5,0,284,13
2020-05-10,803,73,5,0,293,9
2020-05-11,832,29,5,0,300,7
2020-05-12,902,70,6,1,309,9
2020-05-13,977,75,6,0,315,6
2020-05-14,1018,41,6,0,323,8
2020-05-15,1057,39,6,0,357,34
2020-05-16,1102,45,7,1,379,22
2020-05-17,1135,33,7,0,448,69
2020-05-18,1181,46,7,0,448,0
2020-05-19,1227,46,7,0,462,14
2020-05-20,1267,40,7,0,488,26
2020-05-21,1278,11,7,0,551,63
2020-05-22,1331,53,7,0,570,19
2020-05-23,1366,35,7,0,591,21
2020-05-24,1411,45,7,0,625,34
2020-05-25,1448,37,7,0,643,18
2020-05-26,1490,42,7,0,649,6
2020-05-27,1532,42,7,0,694,45
2020-05-28,1562,30,7,0,757,63
2020-05-29,1580,18,7,0,783,26
2020-05-30,1608,28,8,1,790,7
2020-05-31,1638,30,8,0,812,22
2020-06-01,1661,23,8,0,818,6
2020-06-02,1702,41,8,0,869,51
2020-06-03,1749,47,8,0,922,53
2020-06-04,1798,49,9,1,962,40
2020-06-05,1834,36,10,1,1003,41
2020-06-06,1873,39,11,1,1047,44
2020-06-07,1908,35,12,1,1057,10
2020-06-08,1947,39,12,0,1067,10
2020-06-09,1981,34,12,0,1084,17
2020-06-10,2013,32,12,0,1144,60
2020-06-11,2047,34,12,0,1176,32
2020-06-12,2069,22,13,1,1222,46
2020-06-13,2119,50,13,0,1234,12
2020-06-14,2196,77,14,1,1251,17
2020-06-15,2269,73,14,0,1261,10
2020-06-16,2330,61,15,1,1341,80
2020-06-17,2382,52,15,0,1397,56
2020-06-18,2433,51,15,0,1427,30
2020-06-19,2480,47,15,0,1474,47
2020-06-20,2529,49,16,1,1503,29
2020-06-21,2574,45,16,0,1520,17
2020-06-22,2621,47,16,0,1532,12
2020-06-23,2667,46,16,0,1580,48
2020-06-24,2717,50,16,0,1621,41
2020-06-25,2766,49,16,0,1646,25
2020-06-26,2827,61,16,0,1684,38
2020-06-27,2886,59,16,0,1731,47
2020-06-28,2953,67,17,1,1746,15
2020-06-29,3018,65,17,0,1756,10
2020-06-30,3087,69,17,0,1812,56
2020-07-01,3155,68,18,1,1893,81
2020-07-02,3231,76,18,0,1942,49
2020-07-03,3316,85,18,0,2013,71
2020-07-04,3397,81,18,0,2073,60
2020-07-05,3480,83,18,0,2111,38
2020-07-06,3560,80,18,0,2141,30
2020-07-07,3638,78,18,0,2202,61
2020-07-08,3713,75,18,0,2251,49
2020-07-09,3785,72,18,0,2319,68
2020-07-10,3870,85,18,0,2374,55
2020-07-11,3952,82,19,1,2432,58
2020-07-12,4035,83,19,0,2478,46
2020-07-13,4120,85,20,1,2503,25
2020-07-14,4204,84,20,0,2602,99
2020-07-15,4286,82,21,1,2687,85
2020-07-16,4367,81,22,1,2768,81
2020-07-17,4451,84,22,0,2867,99
2020-07-18,4560,109,22,0,2968,101
2020-07-19,4667,107,22,0,3023,55
2020-07-20,4779,112,22,0,3053,30
2020-07-21,4885,106,22,0,3074,21
2020-07-22,4987,102,22,0,3367,293
2020-07-23,5090,103,23,1,3535,168
2020-07-24,5190,100,24,1,3687,152
2020-07-25,5291,101,24,0,3851,164
2020-07-26,5389,98,25,1,3910,59
2020-07-27,5484,95,25,0,3943,33
2020-07-28,5576,92,25,0,4123,180
2020-07-29,5666,90,25,0,4265,142
2020-07-30,5755,89,25,0,4372,107
2020-07-31,5844,89,25,0,4602,230
2020-08-01,5929,85,25,0,4816,214
2020-08-02,6019,90,25,0,4864,48
2020-08-03,6107,88,25,0,4907,43
2020-08-04,6189,82,25,0,5151,244
2020-08-05,6271,82,26,1,5300,149
2020-08-06,6351,80,26,0,5463,163
2020-08-07,6430,79,28,2,5600,137
2020-08-08,6507,77,28,0,5703,103
2020-08-09,6581,74,28,0,5760,57
2020-08-10,6655,74,28,0,5804,44
2020-08-11,6726,71,28,0,6035,231
2020-08-12,6790,64,28,0,6242,207
2020-08-13,6855,65,28,0,6335,93
2020-08-14,6910,55,28,0,6529,194
2020-08-15,6966,56,28,0,6639,110
2020-08-16,7020,54,28,0,6670,31
2020-08-17,7073,53,28,0,6710,40
2020-08-18,7128,55,28,0,6737,27
2020-08-19,7177,49,28,0,6762,25
2020-08-20,7228,51,28,0,6785,23
2020-08-21,7278,50,28,0,6814,29
2020-08-22,7330,52,29,1,6840,26
2020-08-23,7380,50,29,0,6855,15
2020-08-24,7428,48,29,0,6860,5
2020-08-25,7479,51,29,0,6875,15
2020-08-26,7528,49,30,1,6893,18
2020-08-27,7575,47,30,0,6914,21
2020-08-28,7623,48,30,0,6939,25
2020-08-29,7673,50,30,0,6967,28
2020-08-30,7724,51,30,0,6998,31
2020-08-31,7771,47,30,0,7004,6
2020-09-01,7820,49,31,1,7016,12
2020-09-02,7865,45,31,0,7034,18
2020-09-03,7914,49,31,0,7060,26
2020-09-04,7961,47,31,0,7091,31
2020-09-05,8012,51,31,0,7116,25
2020-09-06,8062,50,31,0,7125,9
2020-09-07,8111,49,31,0,7128,3
2020-09-08,8158,47,31,0,7152,24
2020-09-09,8206,48,31,0,7173,21
2020-09-10,8257,51,31,0,7204,31
2020-09-11,8310,53,31,0,7231,27
2020-09-12,8360,50,31,0,7259,28
2020-09-13,8415,55,31,0,7267,8
2020-09-14,8469,54,31,0,7270,3
2020-09-15,8520,51,32,1,7300,30
2020-09-16,8574,54,32,0,7327,27
2020-09-17,8631,57,32,0,7352,25
2020-09-18,8690,59,35,3,7378,26
2020-09-19,8754,64,36,1,7402,24
2020-09-20,8816,62,36,0,7408,6
2020-09-21,8881,65,36,0,7411,3
2020-09-22,8942,61,36,0,7438,27
2020-09-23,9005,63,36,0,7463,25
2020-09-24,9072,67,36,0,7492,29
2020-09-25,9142,70,36,0,7520,28
2020-09-26,9211,69,36,0,7544,24
2020-09-27,9282,71,37,1,7552,8
2020-09-28,9356,74,37,0,7561,9
2020-09-29,9428,72,38,1,7588,27
2020-09-30,9506,78,38,0,7616,28
2020-10-01,9587,81,38,0,7646,30
2020-10-02,9674,87,39,1,7676,30
2020-10-03,9765,91,40,1,7705,29
2020-10-04,9858,93,40,0,7714,9
2020-10-05,9955,97,40,0,7725,11
2020-10-06,10057,102,41,1,7755,30
2020-10-07,10162,105,42,1,7786,31
2020-10-08,10271,109,42,0,7818,32
2020-10-09,10383,112,43,1,7849,31
2020-10-10,10499,116,45,2,7879,30
2020-10-11,10617,118,45,0,7888,9
2020-10-12,10745,128,45,0,7899,11
2020-10-13,10875,130,46,1,7931,32
2020-10-14,11006,131,49,3,7960,29
