date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,2,2,0,0,0,0
2020-03-22,2,0,0,0,0,0
2020-03-23,2,0,0,0,0,0
2020-03-24,2,0,0,0,0,0
2020-03-25,4,2,0,0,0,0
2020-03-26,4,0,0,0,0,0
2020-03-27,4,0,0,0,0,0
2020-03-28,4,0,0,0,0,0
2020-03-29,4,0,0,0,0,0
2020-03-30,6,2,0,0,0,0
2020-03-31,6,0,0,0,0,0
2020-04-01,8,2,0,0,0,0
2020-04-02,8,0,0,0,0,0
2020-04-03,8,0,0,0,0,0
2020-04-04,8,0,0,0,0,0
2020-04-05,8,0,0,0,0,0
2020-04-06,8,0,0,0,0,0
2020-04-07,13,5,0,0,0,0
2020-04-08,23,10,0,0,1,1
2020-04-09,23,0,0,0,1,0
2020-04-10,27,4,0,0,2,1
2020-04-11,30,3,0,0,2,0
2020-04-12,35,5,0,0,3,1
2020-04-13,50,15,0,0,3,0
2020-04-14,50,0,0,0,3,0
2020-04-15,50,0,0,0,3,0
2020-04-16,69,19,0,0,3,0
2020-04-17,92,23,0,0,3,0
2020-04-18,114,22,0,0,8,5
2020-04-19,136,22,0,0,8,0
2020-04-20,152,16,0,0,8,0
2020-04-21,170,18,1,1,8,0
2020-04-22,193,23,1,0,11,3
2020-04-23,218,25,1,0,15,4
2020-04-24,243,25,1,0,15,0
2020-04-25,272,29,1,0,21,6
2020-04-26,300,28,1,0,21,0
2020-04-27,329,29,1,0,28,7
2020-04-28,367,38,1,0,28,0
2020-04-29,412,45,2,1,50,22
2020-04-30,456,44,2,0,62,12
2020-05-01,499,43,2,0,78,16
2020-05-02,544,45,2,0,91,13
2020-05-03,634,90,2,0,101,10
2020-05-04,739,105,2,0,122,21
2020-05-05,820,81,3,1,136,14
2020-05-06,925,105,3,0,147,11
2020-05-07,1008,83,3,0,156,9
2020-05-08,1089,81,3,0,169,13
2020-05-09,1168,79,3,0,192,23
2020-05-10,1245,77,3,0,199,7
2020-05-11,1325,80,3,0,223,24
2020-05-12,1401,76,4,1,261,38
2020-05-13,1475,74,6,2,294,33
2020-05-14,1548,73,7,1,310,16
2020-05-15,1619,71,7,0,319,9
2020-05-16,1690,71,7,0,356,37
2020-05-17,1759,69,7,0,407,51
2020-05-18,1824,65,7,0,420,13
2020-05-19,1886,62,7,0,461,41
2020-05-20,1952,66,7,0,515,54
2020-05-21,2020,68,8,1,524,9
2020-05-22,2091,71,8,0,536,12
2020-05-23,2171,80,8,0,560,24
2020-05-24,2251,80,8,0,567,7
2020-05-25,2334,83,8,0,588,21
2020-05-26,2422,88,8,0,602,14
2020-05-27,2509,87,12,4,643,41
2020-05-28,2592,83,14,2,824,181
2020-05-29,2673,81,14,0,983,159
2020-05-30,2750,77,16,2,1054,71
2020-05-31,2827,77,17,1,1143,89
2020-06-01,2903,76,20,3,1195,52
2020-06-02,2978,75,21,1,1272,77
2020-06-03,3052,74,23,2,1362,90
2020-06-04,3126,74,25,2,1457,95
2020-06-05,3199,73,27,2,1502,45
2020-06-06,3272,73,29,2,1549,47
2020-06-07,3348,76,31,2,1625,76
2020-06-08,3424,76,33,2,1649,24
2020-06-09,3499,75,33,0,1753,104
2020-06-10,3576,77,34,1,1821,68
2020-06-11,3655,79,34,0,1838,17
2020-06-12,3734,79,35,1,1874,36
2020-06-13,3815,81,35,0,1886,12
2020-06-14,3895,80,38,3,1936,50
2020-06-15,3975,80,39,1,1962,26
2020-06-16,4055,80,39,0,2050,88
2020-06-17,4132,77,40,1,2102,52
2020-06-18,4209,77,41,1,2167,65
2020-06-19,4285,76,42,1,2254,87
2020-06-20,4361,76,43,1,2305,51
2020-06-21,4436,75,45,2,2334,29
2020-06-22,4511,75,47,2,2423,89
2020-06-23,4585,74,47,0,2729,306
2020-06-24,4656,71,47,0,2847,118
2020-06-25,4726,70,48,1,2945,98
2020-06-26,4791,65,49,1,3037,92
2020-06-27,4851,60,50,1,3096,59
2020-06-28,4905,54,52,2,3241,145
2020-06-29,4958,53,53,1,3296,55
2020-06-30,5010,52,53,0,3386,90
2020-07-01,5061,51,53,0,3688,302
2020-07-02,5109,48,54,1,3782,94
2020-07-03,5157,48,54,0,3903,121
2020-07-04,5204,47,56,2,3997,94
2020-07-05,5251,47,56,0,4061,64
2020-07-06,5297,46,57,1,4121,60
2020-07-07,5343,46,60,3,4240,119
2020-07-08,5388,45,60,0,4324,84
2020-07-09,5433,45,60,0,4429,105
2020-07-10,5477,44,60,0,4584,155
2020-07-11,5520,43,61,1,4677,93
2020-07-12,5562,42,61,0,4745,68
2020-07-13,5604,42,61,0,4801,56
2020-07-14,5645,41,61,0,5034,233
2020-07-15,5686,41,61,0,5193,159
2020-07-16,5726,40,61,0,5209,16
2020-07-17,5751,25,63,2,5228,19
2020-07-18,5771,20,63,0,5251,23
2020-07-19,5791,20,64,1,5272,21
2020-07-20,5807,16,64,0,5294,22
2020-07-21,5823,16,64,0,5315,21
2020-07-22,5839,16,64,0,5333,18
2020-07-23,5855,16,64,0,5356,23
2020-07-24,5870,15,65,1,5377,21
2020-07-25,5885,15,66,1,5397,20
2020-07-26,5900,15,66,0,5415,18
2020-07-27,5916,16,66,0,5437,22
2020-07-28,5931,15,68,2,5457,20
2020-07-29,5946,15,70,2,5478,21
2020-07-30,5962,16,70,0,5501,23
2020-07-31,5977,15,70,0,5520,19
2020-08-01,5993,16,70,0,5539,19
2020-08-02,6008,15,70,0,5560,21
2020-08-03,6024,16,71,1,5578,18
2020-08-04,6039,15,71,0,5597,19
2020-08-05,6055,16,71,0,5615,18
2020-08-06,6069,14,72,1,5634,19
2020-08-07,6084,15,73,1,5655,21
2020-08-08,6098,14,74,1,5674,19
2020-08-09,6112,14,75,1,5696,22
2020-08-10,6127,15,75,0,5715,19
2020-08-11,6143,16,75,0,5736,21
2020-08-12,6158,15,75,0,5754,18
2020-08-13,6174,16,75,0,5773,19
2020-08-14,6190,16,75,0,5795,22
2020-08-15,6207,17,75,0,5816,21
2020-08-16,6223,16,75,0,5838,22
2020-08-17,6239,16,75,0,5857,19
2020-08-18,6256,17,75,0,5877,20
2020-08-19,6273,17,75,0,5893,16
2020-08-20,6289,16,75,0,5910,17
2020-08-21,6305,16,75,0,5928,18
2020-08-22,6323,18,76,1,5944,16
2020-08-23,6340,17,77,1,5969,25
2020-08-24,6358,18,77,0,5983,14
2020-08-25,6377,19,77,0,5998,15
2020-08-26,6397,20,77,0,6012,14
2020-08-27,6417,20,77,0,6027,15
2020-08-28,6439,22,77,0,6043,16
2020-08-29,6463,24,77,0,6060,17
2020-08-30,6488,25,77,0,6078,18
2020-08-31,6514,26,78,1,6093,15
2020-09-01,6542,28,79,1,6109,16
2020-09-02,6570,28,79,0,6124,15
2020-09-03,6599,29,79,0,6138,14
2020-09-04,6629,30,79,0,6155,17
2020-09-05,6659,30,79,0,6171,16
2020-09-06,6691,32,79,0,6188,17
2020-09-07,6724,33,79,0,6202,14
2020-09-08,6757,33,79,0,6215,13
2020-09-09,6792,35,79,0,6227,12
2020-09-10,6827,35,80,1,6240,13
2020-09-11,6864,37,81,1,6251,11
2020-09-12,6901,37,81,0,6263,12
2020-09-13,6941,40,82,1,6274,11
2020-09-14,6981,40,82,0,6287,13
2020-09-15,7023,42,83,1,6298,11
2020-09-16,7065,42,84,1,6310,12
2020-09-17,7106,41,84,0,6321,11
2020-09-18,7149,43,85,1,6332,11
2020-09-19,7191,42,86,1,6344,12
2020-09-20,7234,43,87,1,6358,14
2020-09-21,7276,42,88,1,6372,14
2020-09-22,7319,43,89,1,6385,13
2020-09-23,7360,41,90,1,6399,14
2020-09-24,7400,40,91,1,6411,12
2020-09-25,7441,41,91,0,6425,14
2020-09-26,7483,42,91,0,6440,15
2020-09-27,7525,42,91,0,6453,13
2020-09-28,7567,42,91,0,6467,14
2020-09-29,7612,45,91,0,6482,15
2020-09-30,7662,50,92,1,6496,14
2020-10-01,7712,50,93,1,6512,16
2020-10-02,7765,53,94,1,6529,17
2020-10-03,7820,55,96,2,6548,19
2020-10-04,7877,57,97,1,6564,16
2020-10-05,7934,57,98,1,6581,17
2020-10-06,7994,60,100,2,6600,19
2020-10-07,8054,60,101,1,6617,17
2020-10-08,8118,64,102,1,6638,21
2020-10-09,8188,70,103,1,6658,20
2020-10-10,8261,73,103,0,6681,23
2020-10-11,8336,75,105,2,6703,22
2020-10-12,8414,78,107,2,6724,21
2020-10-13,8494,80,108,1,6755,31
2020-10-14,8574,80,109,1,6791,36
