date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,1,1,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,1,0,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,1,0,0,0,0,0
2020-03-26,1,0,0,0,0,0
2020-03-27,1,0,0,0,0,0
2020-03-28,1,0,0,0,0,0
2020-03-29,1,0,0,0,0,0
2020-03-30,1,0,0,0,0,0
2020-03-31,1,0,0,0,0,0
2020-04-01,1,0,0,0,0,0
2020-04-02,1,0,0,0,0,0
2020-04-03,1,0,0,0,0,0
2020-04-04,1,0,0,0,0,0
2020-04-05,1,0,0,0,1,1
2020-04-06,3,2,0,0,1,0
2020-04-07,6,3,0,0,1,0
2020-04-08,15,9,0,0,1,0
2020-04-09,17,2,0,0,1,0
2020-04-10,32,15,0,0,1,0
2020-04-11,39,7,0,0,1,0
2020-04-12,50,11,0,0,2,1
2020-04-13,65,15,0,0,2,0
2020-04-14,65,0,0,0,2,0
2020-04-15,78,13,0,0,2,0
2020-04-16,125,47,1,1,2,0
2020-04-17,137,12,1,0,2,0
2020-04-18,164,27,1,0,6,4
2020-04-19,193,29,1,0,9,3
2020-04-20,225,32,2,1,9,0
2020-04-21,235,10,5,3,9,0
2020-04-22,262,27,5,0,14,5
2020-04-23,305,43,5,0,14,0
2020-04-24,348,43,5,0,17,3
2020-04-25,383,35,7,2,31,14
2020-04-26,421,38,8,1,31,0
2020-04-27,463,42,8,0,44,13
2020-04-28,502,39,8,0,44,0
2020-04-29,539,37,8,0,70,26
2020-04-30,586,47,8,0,97,27
2020-05-01,627,41,8,0,117,20
2020-05-02,676,49,8,0,131,14
2020-05-03,731,55,8,0,134,3
2020-05-04,795,64,8,0,134,0
2020-05-05,844,49,8,0,149,15
2020-05-06,892,48,8,0,161,12
2020-05-07,950,58,8,0,175,14
2020-05-08,1018,68,8,0,175,0
2020-05-09,1081,63,8,0,200,25
2020-05-10,1144,63,8,0,205,5
2020-05-11,1220,76,8,0,255,50
2020-05-12,1282,62,8,0,302,47
2020-05-13,1360,78,8,0,334,32
2020-05-14,1439,79,8,0,344,10
2020-05-15,1522,83,8,0,405,61
2020-05-16,1603,81,8,0,457,52
2020-05-17,1700,97,8,0,517,60
2020-05-18,1787,87,8,0,559,42
2020-05-19,1863,76,8,0,559,0
2020-05-20,1936,73,8,0,599,40
2020-05-21,2014,78,9,1,629,30
2020-05-22,2104,90,9,0,659,30
2020-05-23,2195,91,9,0,686,27
2020-05-24,2290,95,10,1,717,31
2020-05-25,2387,97,11,1,720,3
2020-05-26,2472,85,11,0,765,45
2020-05-27,2545,73,12,1,922,157
2020-05-28,2626,81,12,0,1095,173
2020-05-29,2709,83,12,0,1187,92
2020-05-30,2798,89,14,2,1212,25
2020-05-31,2885,87,14,0,1242,30
2020-06-01,2973,88,14,0,1272,30
2020-06-02,3061,88,14,0,1319,47
2020-06-03,3148,87,14,0,1369,50
2020-06-04,3231,83,15,1,1431,62
2020-06-05,3311,80,15,0,1476,45
2020-06-06,3395,84,16,1,1525,49
2020-06-07,3475,80,16,0,1625,100
2020-06-08,3561,86,16,0,1727,102
2020-06-09,3646,85,18,2,1769,42
2020-06-10,3725,79,18,0,1829,60
2020-06-11,3802,77,18,0,1957,128
2020-06-12,3878,76,18,0,2030,73
2020-06-13,3956,78,18,0,2105,75
2020-06-14,4033,77,18,0,2156,51
2020-06-15,4112,79,18,0,2197,41
2020-06-16,4186,74,18,0,2261,64
2020-06-17,4259,73,21,3,2346,85
2020-06-18,4331,72,21,0,2361,15
2020-06-19,4401,70,21,0,2424,63
2020-06-20,4472,71,23,2,2506,82
2020-06-21,4541,69,23,0,2538,32
2020-06-22,4612,71,24,1,2558,20
2020-06-23,4678,66,24,0,2605,47
2020-06-24,4740,62,25,1,2717,112
2020-06-25,4802,62,25,0,2767,50
2020-06-26,4860,58,28,3,2807,40
2020-06-27,4915,55,28,0,2830,23
2020-06-28,4973,58,30,2,2862,32
2020-06-29,5025,52,31,1,2882,20
2020-06-30,5076,51,31,0,2900,18
2020-07-01,5134,58,32,1,2920,20
2020-07-02,5194,60,33,1,2940,20
2020-07-03,5253,59,34,1,2960,20
2020-07-04,5315,62,37,3,2983,23
2020-07-05,5386,71,40,3,3008,25
2020-07-06,5454,68,40,0,3029,21
2020-07-07,5521,67,43,3,3053,24
2020-07-08,5590,69,43,0,3080,27
2020-07-09,5657,67,43,0,3107,27
2020-07-10,5718,61,43,0,3132,25
2020-07-11,5775,57,46,3,3159,27
2020-07-12,5830,55,46,0,3184,25
2020-07-13,5886,56,46,0,3205,21
2020-07-14,5940,54,47,1,3228,23
2020-07-15,5998,58,47,0,3253,25
2020-07-16,6055,57,48,1,3280,27
2020-07-17,6110,55,48,0,3307,27
2020-07-18,6164,54,48,0,3334,27
2020-07-19,6216,52,49,1,3364,30
2020-07-20,6264,48,49,0,3385,21
2020-07-21,6310,46,50,1,3405,20
2020-07-22,6352,42,50,0,3430,25
2020-07-23,6398,46,50,0,3454,24
2020-07-24,6440,42,51,1,3485,31
2020-07-25,6484,44,51,0,3516,31
2020-07-26,6529,45,51,0,3562,46
2020-07-27,6567,38,51,0,3589,27
2020-07-28,6609,42,51,0,3616,27
2020-07-29,6653,44,51,0,3647,31
2020-07-30,6694,41,51,0,3680,33
2020-07-31,6734,40,54,3,3725,45
2020-08-01,6774,40,54,0,3792,67
2020-08-02,6811,37,56,2,3857,65
2020-08-03,6846,35,56,0,3922,65
2020-08-04,6880,34,58,2,3985,63
2020-08-05,6915,35,62,4,4050,65
2020-08-06,6947,32,62,0,4113,63
2020-08-07,6980,33,62,0,4180,67
2020-08-08,7010,30,62,0,4245,65
2020-08-09,7042,32,64,2,4312,67
2020-08-10,7072,30,64,0,4379,67
2020-08-11,7108,36,64,0,4450,71
2020-08-12,7144,36,65,1,4573,123
2020-08-13,7179,35,66,1,4745,172
2020-08-14,7213,34,66,0,4931,186
2020-08-15,7247,34,68,2,5114,183
2020-08-16,7279,32,68,0,5311,197
2020-08-17,7309,30,68,0,5512,201
2020-08-18,7342,33,68,0,5742,230
2020-08-19,7378,36,68,0,6001,259
2020-08-20,7414,36,68,0,6074,73
2020-08-21,7448,34,68,0,6114,40
2020-08-22,7481,33,68,0,6169,55
2020-08-23,7516,35,68,0,6196,27
2020-08-24,7551,35,68,0,6217,21
2020-08-25,7585,34,68,0,6237,20
2020-08-26,7619,34,68,0,6283,46
2020-08-27,7651,32,68,0,6313,30
2020-08-28,7682,31,70,2,6347,34
2020-08-29,7713,31,70,0,6374,27
2020-08-30,7743,30,70,0,6401,27
2020-08-31,7774,31,70,0,6426,25
2020-09-01,7803,29,70,0,6449,23
2020-09-02,7836,33,71,1,6477,28
2020-09-03,7865,29,71,0,6504,27
2020-09-04,7895,30,72,1,6532,28
2020-09-05,7923,28,73,1,6553,21
2020-09-06,7953,30,73,0,6582,29
2020-09-07,7983,30,73,0,6604,22
2020-09-08,8014,31,74,1,6635,31
2020-09-09,8043,29,75,1,6668,33
2020-09-10,8070,27,76,1,6703,35
2020-09-11,8096,26,76,0,6807,104
2020-09-12,8121,25,77,1,6844,37
2020-09-13,8145,24,79,2,6847,3
2020-09-14,8169,24,81,2,6852,5
2020-09-15,8194,25,81,0,6890,38
2020-09-16,8221,27,83,2,6926,36
2020-09-17,8248,27,83,0,6974,48
2020-09-18,8274,26,85,2,7025,51
2020-09-19,8301,27,85,0,7047,22
2020-09-20,8327,26,85,0,7059,12
2020-09-21,8352,25,85,0,7065,6
2020-09-22,8380,28,89,4,7087,22
2020-09-23,8407,27,89,0,7120,33
2020-09-24,8434,27,89,0,7151,31
2020-09-25,8459,25,92,3,7174,23
2020-09-26,8486,27,93,1,7195,21
2020-09-27,8512,26,93,0,7206,11
2020-09-28,8540,28,93,0,7207,1
2020-09-29,8570,30,93,0,7229,22
2020-09-30,8597,27,93,0,7249,20
2020-10-01,8623,26,93,0,7276,27
2020-10-02,8650,27,97,4,7298,22
2020-10-03,8678,28,97,0,7318,20
2020-10-04,8704,26,97,0,7326,8
2020-10-05,8731,27,97,0,7330,4
2020-10-06,8759,28,98,1,7360,30
2020-10-07,8789,30,100,2,7385,25
2020-10-08,8823,34,100,0,7416,31
2020-10-09,8855,32,102,2,7445,29
2020-10-10,8886,31,105,3,7468,23
2020-10-11,8919,33,105,0,7476,8
2020-10-12,8954,35,105,0,7477,1
2020-10-13,8989,35,106,1,7511,34
2020-10-14,9027,38,109,3,7539,28
