date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,1,1,0,0,0,0
2020-03-17,1,0,0,0,0,0
2020-03-18,1,0,0,0,0,0
2020-03-19,3,2,0,0,0,0
2020-03-20,5,2,0,0,0,0
2020-03-21,5,0,0,0,0,0
2020-03-22,7,2,0,0,0,0
2020-03-23,7,0,0,0,0,0
2020-03-24,7,0,0,0,0,0
2020-03-25,7,0,0,0,0,0
2020-03-26,7,0,0,0,0,0
2020-03-27,8,1,0,0,0,0
2020-03-28,8,0,0,0,2,2
2020-03-29,9,1,0,0,2,0
2020-03-30,12,3,0,0,2,0
2020-03-31,12,0,0,0,3,1
2020-04-01,12,0,0,0,3,0
2020-04-02,12,0,0,0,3,0
2020-04-03,15,3,0,0,3,0
2020-04-04,18,3,0,0,3,0
2020-04-05,18,0,0,0,3,0
2020-04-06,18,0,0,0,3,0
2020-04-07,20,2,0,0,7,4
2020-04-08,20,0,0,0,7,0
2020-04-09,28,8,0,0,8,1
2020-04-10,29,1,0,0,8,0
2020-04-11,35,6,0,0,9,1
2020-04-12,36,1,0,0,9,0
2020-04-13,51,15,0,0,9,0
2020-04-14,51,0,0,0,9,0
2020-04-15,64,13,0,0,9,0
2020-04-16,73,9,0,0,9,0
2020-04-17,91,18,2,2,10,1
2020-04-18,111,20,2,0,13,3
2020-04-19,150,39,2,0,14,1
2020-04-20,169,19,2,0,14,0
2020-04-21,188,19,2,0,14,0
2020-04-22,216,28,3,1,18,4
2020-04-23,240,24,3,0,20,2
2020-04-24,276,36,3,0,27,7
2020-04-25,316,40,3,0,29,2
2020-04-26,362,46,3,0,37,8
2020-04-27,388,26,3,0,38,1
2020-04-28,423,35,3,0,38,0
2020-04-29,466,43,4,1,41,3
2020-04-30,493,27,4,0,42,1
2020-05-01,511,18,4,0,46,4
2020-05-02,543,32,4,0,59,13
2020-05-03,585,42,4,0,72,13
2020-05-04,618,33,4,0,80,8
2020-05-05,644,26,4,0,90,10
2020-05-06,661,17,4,0,103,13
2020-05-07,686,25,4,0,125,22
2020-05-08,718,32,4,0,143,18
2020-05-09,761,43,4,0,184,41
2020-05-10,807,46,4,0,236,52
2020-05-11,835,28,5,1,263,27
2020-05-12,876,41,5,0,324,61
2020-05-13,896,20,5,0,339,15
2020-05-14,911,15,5,0,404,65
2020-05-15,932,21,5,0,452,48
2020-05-16,967,35,5,0,503,51
2020-05-17,1001,34,5,0,548,45
2020-05-18,1008,7,5,0,588,40
2020-05-19,1020,12,5,0,591,3
2020-05-20,1064,44,5,0,647,56
2020-05-21,1091,27,6,1,687,40
2020-05-22,1161,70,6,0,712,25
2020-05-23,1191,30,7,1,744,32
2020-05-24,1259,68,8,1,762,18
2020-05-25,1323,64,8,0,790,28
2020-05-26,1370,47,8,0,804,14
2020-05-27,1438,68,10,2,836,32
2020-05-28,1495,57,11,1,856,20
2020-05-29,1551,56,13,2,890,34
2020-05-30,1629,78,15,2,950,60
2020-05-31,1683,54,17,2,978,28
2020-06-01,1751,68,17,0,981,3
2020-06-02,1828,77,17,0,981,0
2020-06-03,1904,76,17,0,1013,32
2020-06-04,1967,63,17,0,1076,63
2020-06-05,2042,75,18,1,1115,39
2020-06-06,2121,79,18,0,1157,42
2020-06-07,2182,61,20,2,1186,29
2020-06-08,2260,78,20,0,1206,20
2020-06-09,2300,40,20,0,1218,12
2020-06-10,2360,60,22,2,1327,109
2020-06-11,2421,61,23,1,1424,97
2020-06-12,2479,58,23,0,1478,54
2020-06-13,2508,29,25,2,1578,100
2020-06-14,2547,39,26,1,1617,39
2020-06-15,2600,53,26,0,1703,86
2020-06-16,2648,48,26,0,1724,21
2020-06-17,2693,45,28,2,1838,114
2020-06-18,2734,41,28,0,1986,148
2020-06-19,2777,43,30,2,2006,20
2020-06-20,2820,43,30,0,2029,23
2020-06-21,2869,49,30,0,2068,39
2020-06-22,2916,47,32,2,2099,31
2020-06-23,2952,36,33,1,2196,97
2020-06-24,2986,34,33,0,2236,40
2020-06-25,3026,40,33,0,2300,64
2020-06-26,3076,50,34,1,2363,63
2020-06-27,3117,41,34,0,2411,48
2020-06-28,3148,31,35,1,2453,42
2020-06-29,3179,31,35,0,2485,32
2020-06-30,3214,35,35,0,2522,37
2020-07-01,3246,32,37,2,2643,121
2020-07-02,3276,30,38,1,2711,68
2020-07-03,3321,45,40,2,2747,36
2020-07-04,3354,33,41,1,2804,57
2020-07-05,3404,50,42,1,2916,112
2020-07-06,3459,55,42,0,2969,53
2020-07-07,3512,53,42,0,3004,35
2020-07-08,3557,45,42,0,3077,73
2020-07-09,3614,57,42,0,3172,95
2020-07-10,3669,55,42,0,3234,62
2020-07-11,3727,58,43,1,3297,63
2020-07-12,3779,52,44,1,3344,47
2020-07-13,3833,54,45,1,3375,31
2020-07-14,3877,44,47,2,3414,39
2020-07-15,3933,56,49,2,3509,95
2020-07-16,3990,57,49,0,3613,104
2020-07-17,4046,56,50,1,3686,73
2020-07-18,4091,45,52,2,3759,73
2020-07-19,4142,51,52,0,3845,86
2020-07-20,4198,56,53,1,3862,17
2020-07-21,4256,58,54,1,3928,66
2020-07-22,4302,46,56,2,4059,131
2020-07-23,4349,47,57,1,4175,116
2020-07-24,4404,55,59,2,4284,109
2020-07-25,4462,58,59,0,4398,114
2020-07-26,4511,49,63,4,4398,0
2020-07-27,4570,59,65,2,4400,2
2020-07-28,4617,47,68,3,4423,23
2020-07-29,4665,48,68,0,4432,9
2020-07-30,4723,58,69,1,4458,26
2020-07-31,4789,66,69,0,4469,11
2020-08-01,4839,50,71,2,4479,10
2020-08-02,4888,49,73,2,4479,0
2020-08-03,4952,64,73,0,4482,3
2020-08-04,5013,61,73,0,4496,14
2020-08-05,5046,33,75,2,4505,9
2020-08-06,5095,49,76,1,4517,12
2020-08-07,5153,58,76,0,4527,10
2020-08-08,5213,60,78,2,4539,12
2020-08-09,5261,48,79,1,4539,0
2020-08-10,5311,50,80,1,4543,4
2020-08-11,5352,41,81,1,4558,15
2020-08-12,5408,56,82,1,4572,14
2020-08-13,5463,55,83,1,4588,16
2020-08-14,5525,62,84,1,4606,18
2020-08-15,5579,54,85,1,4622,16
2020-08-16,5631,52,86,1,4629,7
2020-08-17,5694,63,87,1,4642,13
2020-08-18,5745,51,88,1,4657,15
2020-08-19,5802,57,89,1,4682,25
2020-08-20,5862,60,90,1,4700,18
2020-08-21,5926,64,91,1,4736,36
2020-08-22,5986,60,92,1,4791,55
2020-08-23,6047,61,93,1,4834,43
2020-08-24,6110,63,94,1,4834,0
2020-08-25,6173,63,95,1,4902,68
2020-08-26,6235,62,96,1,4965,63
2020-08-27,6298,63,97,1,5018,53
2020-08-28,6361,63,98,1,5047,29
2020-08-29,6426,65,98,0,5048,1
2020-08-30,6490,64,98,0,5059,11
2020-08-31,6555,65,98,0,5059,0
2020-09-01,6619,64,98,0,5066,7
2020-09-02,6683,64,98,0,5078,12
2020-09-03,6748,65,98,0,5138,60
2020-09-04,6812,64,98,0,5149,11
2020-09-05,6877,65,98,0,5172,23
2020-09-06,6940,63,98,0,5172,0
2020-09-07,7002,62,98,0,5172,0
2020-09-08,7065,63,100,2,5187,15
2020-09-09,7125,60,100,0,5252,65
2020-09-10,7190,65,102,2,5281,29
2020-09-11,7255,65,104,2,5300,19
2020-09-12,7321,66,106,2,5314,14
2020-09-13,7383,62,108,2,5315,1
2020-09-14,7449,66,110,2,5315,0
2020-09-15,7512,63,112,2,5374,59
2020-09-16,7572,60,114,2,5426,52
2020-09-17,7634,62,116,2,5460,34
2020-09-18,7701,67,118,2,5493,33
2020-09-19,7769,68,120,2,5512,19
2020-09-20,7839,70,121,1,5521,9
2020-09-21,7907,68,122,1,5522,1
2020-09-22,7974,67,123,1,5545,23
2020-09-23,8040,66,124,1,5588,43
2020-09-24,8111,71,125,1,5605,17
2020-09-25,8171,60,126,1,5610,5
2020-09-26,8233,62,127,1,5647,37
2020-09-27,8302,69,128,1,5652,5
2020-09-28,8373,71,129,1,5658,6
2020-09-29,8446,73,130,1,5695,37
2020-09-30,8521,75,131,1,5716,21
2020-10-01,8593,72,132,1,5771,55
2020-10-02,8668,75,133,1,5782,11
2020-10-03,8745,77,134,1,5817,35
2020-10-04,8823,78,135,1,5829,12
2020-10-05,8903,80,136,1,5830,1
2020-10-06,8984,81,137,1,5851,21
2020-10-07,9064,80,138,1,5890,39
2020-10-08,9142,78,139,1,5925,35
2020-10-09,9222,80,145,6,5984,59
2020-10-10,9303,81,146,1,5999,15
2020-10-11,9393,90,147,1,5999,0
2020-10-12,9493,100,147,0,6025,26
2020-10-13,9594,101,149,2,6058,33
2020-10-14,9693,99,150,1,6133,75
