date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,2,2,0,0,0,0
2020-03-20,2,0,0,0,0,0
2020-03-21,2,0,0,0,0,0
2020-03-22,2,0,0,0,0,0
2020-03-23,2,0,0,0,0,0
2020-03-24,6,4,0,0,0,0
2020-03-25,6,0,0,0,0,0
2020-03-26,6,0,0,0,0,0
2020-03-27,6,0,0,0,0,0
2020-03-28,6,0,0,0,0,0
2020-03-29,6,0,0,0,0,0
2020-03-30,6,0,0,0,0,0
2020-03-31,8,2,0,0,0,0
2020-04-01,12,4,0,0,2,2
2020-04-02,12,0,0,0,2,0
2020-04-03,12,0,0,0,2,0
2020-04-04,14,2,0,0,2,0
2020-04-05,14,0,0,0,4,2
2020-04-06,23,9,0,0,4,0
2020-04-07,23,0,0,0,9,5
2020-04-08,33,10,0,0,9,0
2020-04-09,33,0,0,0,9,0
2020-04-10,37,4,0,0,9,0
2020-04-11,37,0,0,0,10,1
2020-04-12,49,12,0,0,12,2
2020-04-13,60,11,0,0,12,0
2020-04-14,68,8,1,1,16,4
2020-04-15,75,7,1,0,19,3
2020-04-16,89,14,1,0,20,1
2020-04-17,108,19,1,0,24,4
2020-04-18,130,22,5,4,24,0
2020-04-19,156,26,5,0,28,4
2020-04-20,180,24,5,0,28,0
2020-04-21,211,31,6,1,30,2
2020-04-22,236,25,7,1,30,0
2020-04-23,261,25,7,0,30,0
2020-04-24,291,30,7,0,38,8
2020-04-25,313,22,8,1,38,0
2020-04-26,338,25,8,0,42,4
2020-04-27,358,20,8,0,57,15
2020-04-28,420,62,8,0,57,0
2020-04-29,459,39,8,0,57,0
2020-04-30,493,34,9,1,74,17
2020-05-01,529,36,9,0,74,0
2020-05-02,565,36,9,0,84,10
2020-05-03,602,37,9,0,113,29
2020-05-04,636,34,11,2,131,18
2020-05-05,667,31,12,1,140,9
2020-05-06,697,30,12,0,148,8
2020-05-07,731,34,12,0,218,70
2020-05-08,766,35,12,0,261,43
2020-05-09,809,43,12,0,327,66
2020-05-10,848,39,12,0,332,5
2020-05-11,899,51,12,0,342,10
2020-05-12,943,44,12,0,355,13
2020-05-13,983,40,12,0,428,73
2020-05-14,1028,45,12,0,494,66
2020-05-15,1074,46,12,0,552,58
2020-05-16,1113,39,13,1,614,62
2020-05-17,1151,38,13,0,641,27
2020-05-18,1195,44,13,0,653,12
2020-05-19,1246,51,13,0,721,68
2020-05-20,1266,20,13,0,758,37
2020-05-21,1307,41,13,0,837,79
2020-05-22,1362,55,13,0,918,81
2020-05-23,1419,57,14,1,982,64
2020-05-24,1463,44,14,0,1010,28
2020-05-25,1518,55,14,0,1026,16
2020-05-26,1581,63,14,0,1157,131
2020-05-27,1643,62,14,0,1235,78
2020-05-28,1753,110,15,1,1293,58
2020-05-29,1857,104,15,0,1342,49
2020-05-30,1946,89,15,0,1413,71
2020-05-31,2028,82,15,0,1419,6
2020-06-01,2139,111,15,0,1433,14
2020-06-02,2234,95,16,1,1499,66
2020-06-03,2361,127,16,0,1567,68
2020-06-04,2466,105,16,0,1595,28
2020-06-05,2592,126,16,0,1624,29
2020-06-06,2698,106,16,0,1688,64
2020-06-07,2837,139,16,0,1692,4
2020-06-08,3065,228,16,0,1699,7
2020-06-09,3285,220,16,0,1739,40
2020-06-10,3527,242,17,1,1817,78
2020-06-11,3766,239,19,2,1859,42
2020-06-12,3993,227,21,2,1944,85
2020-06-13,4221,228,21,0,1953,9
2020-06-14,4440,219,22,1,1986,33
2020-06-15,4660,220,22,0,2016,30
2020-06-16,4861,201,24,2,2116,100
2020-06-17,5062,201,27,3,2397,281
2020-06-18,5258,196,28,1,2616,219
2020-06-19,5461,203,30,2,2861,245
2020-06-20,5663,202,30,0,3044,183
2020-06-21,5863,200,30,0,3088,44
2020-06-22,6062,199,30,0,3178,90
2020-06-23,6259,197,31,1,3640,462
2020-06-24,6457,198,33,2,4047,407
2020-06-25,6653,196,33,0,4065,18
2020-06-26,6846,193,34,1,4174,109
2020-06-27,7036,190,35,1,4220,46
2020-06-28,7224,188,35,0,4228,8
2020-06-29,7409,185,35,0,4234,6
2020-06-30,7588,179,38,3,4286,52
2020-07-01,7754,166,41,3,4326,40
2020-07-02,7908,154,41,0,4338,12
2020-07-03,8059,151,41,0,4660,322
2020-07-04,8211,152,44,3,4930,270
2020-07-05,8359,148,44,0,4962,32
2020-07-06,8505,146,44,0,5000,38
2020-07-07,8644,139,47,3,5302,302
2020-07-08,8778,134,51,4,5665,363
2020-07-09,8909,131,54,3,5916,251
2020-07-10,9036,127,59,5,6146,230
2020-07-11,9159,123,63,4,6491,345
2020-07-12,9280,121,63,0,6545,54
2020-07-13,9399,119,63,0,6577,32
2020-07-14,9516,117,67,4,6762,185
2020-07-15,9631,115,69,2,6910,148
2020-07-16,9743,112,71,2,7014,104
2020-07-17,9852,109,75,4,7283,269
2020-07-18,9960,108,77,2,7496,213
2020-07-19,10065,105,77,0,7528,32
2020-07-20,10168,103,77,0,7609,81
2020-07-21,10258,90,77,0,7723,114
2020-07-22,10347,89,78,1,7919,196
2020-07-23,10436,89,78,0,8035,116
2020-07-24,10524,88,78,0,8225,190
2020-07-25,10623,99,78,0,8422,197
2020-07-26,10714,91,78,0,8432,10
2020-07-27,10803,89,78,0,8444,12
2020-07-28,10890,87,79,1,8587,143
2020-07-29,10976,86,80,1,8768,181
2020-07-30,11065,89,80,0,8976,208
2020-07-31,11153,88,82,2,9118,142
2020-08-01,11242,89,82,0,9275,157
2020-08-02,11330,88,82,0,9300,25
2020-08-03,11419,89,82,0,9303,3
2020-08-04,11513,94,83,1,9472,169
2020-08-05,11609,96,88,5,9607,135
2020-08-06,11705,96,90,2,9736,129
2020-08-07,11800,95,92,2,9884,148
2020-08-08,11897,97,93,1,10063,179
2020-08-09,11994,97,93,0,10077,14
2020-08-10,12090,96,93,0,10097,20
2020-08-11,12185,95,93,0,10228,131
2020-08-12,12278,93,96,3,10394,166
2020-08-13,12372,94,96,0,10558,164
2020-08-14,12465,93,97,1,10815,257
2020-08-15,12560,95,97,0,10976,161
2020-08-16,12655,95,97,0,11033,57
2020-08-17,12752,97,97,0,11102,69
2020-08-18,12847,95,97,0,11307,205
2020-08-19,12954,107,100,3,11467,160
2020-08-20,13053,99,103,3,11561,94
2020-08-21,13150,97,104,1,11687,126
2020-08-22,13244,94,104,0,11784,97
2020-08-23,13342,98,104,0,11811,27
2020-08-24,13439,97,104,0,11840,29
2020-08-25,13538,99,104,0,12003,163
2020-08-26,13635,97,105,1,12174,171
2020-08-27,13736,101,107,2,12288,114
2020-08-28,13849,113,107,0,12378,90
2020-08-29,13947,98,109,2,12511,133
2020-08-30,14046,99,109,0,12511,0
2020-08-31,14144,98,109,0,12535,24
2020-09-01,14241,97,115,6,12684,149
2020-09-02,14340,99,115,0,12816,132
2020-09-03,14441,101,117,2,13071,255
2020-09-04,14540,99,118,1,13324,253
2020-09-05,14645,105,123,5,13558,234
2020-09-06,14752,107,123,0,13708,150
2020-09-07,14861,109,123,0,13708,0
2020-09-08,14969,108,129,6,13976,268
2020-09-09,15082,113,129,0,14157,181
2020-09-10,15192,110,135,6,14283,126
2020-09-11,15303,111,138,3,14407,124
2020-09-12,15418,115,138,0,14533,126
2020-09-13,15528,110,138,0,14571,38
2020-09-14,15639,111,138,0,14617,46
2020-09-15,15751,112,140,2,14715,98
2020-09-16,15867,116,142,2,14830,115
2020-09-17,15982,115,148,6,14953,123
2020-09-18,16105,123,148,0,15025,72
2020-09-19,16256,151,153,5,15125,100
2020-09-20,16414,158,153,0,15138,13
2020-09-21,16574,160,153,0,15165,27
2020-09-22,16723,149,158,5,15353,188
2020-09-23,16875,152,163,5,15503,150
2020-09-24,17037,162,169,6,15603,100
2020-09-25,17201,164,169,0,15634,31
2020-09-26,17360,159,175,6,15799,165
2020-09-27,17521,161,175,0,15827,28
2020-09-28,17679,158,175,0,15869,42
2020-09-29,17844,165,181,6,16072,203
2020-09-30,18006,162,183,2,16220,148
2020-10-01,18177,171,184,1,16410,190
2020-10-02,18350,173,186,2,16551,141
2020-10-03,18527,177,188,2,16663,112
2020-10-04,18706,179,188,0,16689,26
2020-10-05,18888,182,190,2,16690,1
2020-10-06,19074,186,194,4,16859,169
2020-10-07,19265,191,195,1,16990,131
2020-10-08,19459,194,199,4,17180,190
2020-10-09,19654,195,201,2,17400,220
2020-10-10,19855,201,207,6,17629,229
2020-10-11,20058,203,209,2,17819,190
2020-10-12,20262,204,209,0,17911,92
2020-10-13,20473,211,217,8,18101,190
2020-10-14,20689,216,225,8,18335,234
