date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,2,2,0,0,0,0
2020-03-13,2,0,0,0,0,0
2020-03-14,3,1,0,0,0,0
2020-03-15,3,0,0,0,0,0
2020-03-16,3,0,0,0,0,0
2020-03-17,5,2,0,0,0,0
2020-03-18,5,0,0,0,0,0
2020-03-19,5,0,0,0,0,0
2020-03-20,5,0,0,0,0,0
2020-03-21,7,2,0,0,0,0
2020-03-22,7,0,0,0,0,0
2020-03-23,7,0,0,0,0,0
2020-03-24,7,0,0,0,0,0
2020-03-25,8,1,0,0,1,1
2020-03-26,8,0,0,0,1,0
2020-03-27,8,0,0,0,1,0
2020-03-28,11,3,0,0,1,0
2020-03-29,11,0,0,0,1,0
2020-03-30,12,1,0,0,2,1
2020-03-31,12,0,0,0,2,0
2020-04-01,12,0,0,0,5,3
2020-04-02,19,7,0,0,5,0
2020-04-03,19,0,0,0,5,0
2020-04-04,19,0,0,0,5,0
2020-04-05,19,0,0,0,5,0
2020-04-06,19,0,0,0,5,0
2020-04-07,48,29,0,0,8,3
2020-04-08,49,1,0,0,9,1
2020-04-09,52,3,0,0,9,0
2020-04-10,62,10,0,0,9,0
2020-04-11,65,3,1,1,12,3
2020-04-12,70,5,1,0,16,4
2020-04-13,74,4,1,0,16,0
2020-04-14,79,5,1,0,16,0
2020-04-15,84,5,1,0,24,8
2020-04-16,92,8,1,0,26,2
2020-04-17,104,12,1,0,28,2
2020-04-18,115,11,1,0,30,2
2020-04-19,126,11,1,0,30,0
2020-04-20,138,12,1,0,35,5
2020-04-21,144,6,1,0,41,6
2020-04-22,163,19,1,0,42,1
2020-04-23,171,8,1,0,45,3
2020-04-24,189,18,1,0,48,3
2020-04-25,210,21,1,0,49,1
2020-04-26,236,26,3,2,59,10
2020-04-27,264,28,3,0,59,0
2020-04-28,303,39,3,0,66,7
2020-04-29,326,23,3,0,66,0
2020-04-30,358,32,3,0,66,0
2020-05-01,395,37,5,2,73,7
2020-05-02,438,43,6,1,98,25
2020-05-03,479,41,6,0,114,16
2020-05-04,524,45,9,3,114,0
2020-05-05,566,42,11,2,123,9
2020-05-06,583,17,11,0,143,20
2020-05-07,599,16,11,0,154,11
2020-05-08,637,38,11,0,169,15
2020-05-09,671,34,11,0,175,6
2020-05-10,713,42,11,0,188,13
2020-05-11,753,40,11,0,207,19
2020-05-12,772,19,11,0,216,9
2020-05-13,812,40,11,0,247,31
2020-05-14,848,36,11,0,277,30
2020-05-15,881,33,11,0,323,46
2020-05-16,916,35,11,0,339,16
2020-05-17,952,36,11,0,361,22
2020-05-18,978,26,11,0,383,22
2020-05-19,1010,32,11,0,423,40
2020-05-20,1042,32,11,0,459,36
2020-05-21,1076,34,14,3,465,6
2020-05-22,1117,41,17,3,471,6
2020-05-23,1158,41,18,1,530,59
2020-05-24,1201,43,18,0,534,4
2020-05-25,1244,43,18,0,534,0
